Question no,Question,Answer,Section
1,Hoe kan ik de insulinepomptherapie (Patchpomp) aanvragen?,U kunt contact opnemen met de diabetespoli van ZGT via telefoonnummer 088 708 70 80 of via email: diabetespolizgt@zgt.nl.,"Insulinepomptherapie (Patchpomp) --- Ziekenhuislocatie Hengelo, --- telefoonnummer 088 708 70 80 E-mail: diabetespolizgt@zgt.nl Buiten kantoortijden Centrale lijn ZGT voor spoed, telefoonnummer 088 708 78 78. Altijd telefonisch contact opnemen bij blijvende onverklaarbare hoge bloedsuikers en bij braken. Bij een technische storing van de insulinepomp moet u bellen met de betreffende firma."
2,Wat is het e-mailadres van Ingrid Pasman?,Het e-mailadres van Ingrid Pasman is i.pasman@zgt.nl.,"Overzicht van ondersteunende zorg bij kanker-sociale kaart --- Uiterlijke verzorging --- Workshops uiterlijke verzorging in ZGT ‘Look Good… Feel Better’ Om patiënten met kanker beter te verzorgen, houdt ZGT 4 keer per jaar in Hengelo of Almelo workshops uiterlijke verzorging. Tijdens de workshops krijgen deelnemers tips en adviezen over de verzorging van het uiterlijk en gaan zij zelf aan de slag met huidverzorging en make- up. Een goed verzorgd uiterlijk geeft meer zelfvertrouwen. Dit geldt voor gezonde mensen, maar zeker ook voor mensen die er door ziekte of behandeling soms minder goed uitzien. Kanker en de behandelingen daarvan hebben vaak grote gevolgen voor het uiterlijk. Veel mensen verliezen hun haar of krijgen te maken met huid- en nagelproblemen. Hoewel dit vaak tijdelijke verschijnselen zijn, is extra aandacht en zorg voor deze veranderingen belangrijk voor het welzijn. De workshops ‘Look Good… Feel Better’ helpt de uiterlijke gevolgen van bijvoorbeeld chemotherapie en bestraling te verminderen. Speciaal getrainde schoonheidsspecialisten, visagisten en een kapper/haarwerker zijn aanwezig. Tijdens de twee uur durende bijeenkomsten kan men in een ontspannen sfeer vragen stellen over het veranderende uiterlijk om vervolgens zelf aan de slag te gaan met de door de cosmeticabranche ter beschikking gestelde producten. U kunt kosteloos deelnemen aan de workshop als u onder oncologische behandeling in ZGT bent. Neem daarvoor contact op met Ingrid Pasman, coördinerend oncologieverpleegkundige in ZGT en e-mail naar i.pasman@zgt.nl. Meer informatie vindt u op lookgoodfeelbetter.nl. ZGT houdt de workshop in samenwerking met Stichting Look Good… Feel Better. Sichting Roparun, die met sportieve activiteiten geld inzamelt voor de zorg van mensen met kanker, sponsort de workshops."
3,Waar kan ik terecht met vragen of problemen?,"U kunt altijd bij de verantwoordelijk verpleegkundige terecht, zowel telefonisch als persoonlijk. Dit kan het beste gebeuren op specifieke tijden, zoals 's ochtends voor 7:30 uur en na 11:00 uur, 's middags na 14:30 uur en 's avonds van 19:15 tot 19:30 uur.","Afdeling 5 west (ZGT Almelo) --- Belangrijke informatie --- Bij problemen en vragen kunt u in eerste instantie altijd bij de verantwoordelijk verpleegkundige terecht, zowel telefonisch als persoonlijk. We verzoeken u dit bij voorkeur te doen op de volgende tijden: _x000D_
- ’s morgens bellen voor 7:30 uur en na 11:00 uur _x000D_
- 's middags na 14:30 uur _x000D_
- ’s avonds van 19:15 tot 19:30 uur Een afspraak met de zaalarts kunt u via de verantwoordelijk verpleegkundige maken."
4,Welke informatie wordt verstrekt in de folder Borstvoeding na ontslag?,De folder Borstvoeding na ontslag geeft informatie over begeleiding bij borstvoeding thuis en locaties waar u hulpmiddelen kunt vinden.,Borstvoeding na ontslag uit ZGT --- Borstvoeding na ontslag --- Deze folder geeft u informatie over begeleiding bij borstvoeding thuis en locaties waar u hulpmiddelen kunt vinden. Sommige zorgverzekeraars vergoeden lactatiekundige begeleiding of hulpmiddelen. Dit kunt u nakijken in uw polis of u kunt contact opnemen met uw zorgverzekeraar. Voor inhoudelijke informatie over borstvoeding verwijzen we graag naar de folder Borstvoeding.
6,Is de slaapspecialist bij de bespreking van de resultaten van een PSG dezelfde als bij de eerste intake?,Dit kan een andere specialist zijn dan u bij de eerste intake hebt gesproken.,Polysomnografie ambulant (PSG) --- Resultaten --- Na ongeveer 2 weken bespreekt de slaapspecialist de uitslag en de behandelmogelijkheden met u. Dit kan een andere specialist zijn dan u bij de eerste intake hebt gesproken.
7,Wat voor soort elektroden worden er gebruikt tijdens een Echocardiogram?,Tijdens een Echocardiogram worden kleine metalen elektroden gebruikt. Deze worden op de borst geplaatst om de elektrische activiteit van het hart te meten.,Echocardiogram --- Verloop van het onderzoek --- Voor dit onderzoek vragen wij u het bovenlichaam te ontbloten. Als eerste worden drie plakelektroden op de rug aangebracht om de hartslag te registreren. Daarna gaat u op uw linkerzij liggen en wordt er een soort zender op de huid geplaatst. Op de zender is wat gel aangebracht. Vervolgens wordt het hart vanuit verschillende invalshoeken op het beeldscherm zichtbaar gemaakt. De beelden worden digitaal geregistreerd om ze later verder te analyseren.
8,Wat gebeurt er tijdens de wekelijkse multidisciplinaire bespreking?,Tijdens de wekelijkse multidisciplinaire bespreking worden de uitslagen van het onderzoekstraject besproken door een team van specialisten.,"Afspraak op de multidisciplinaire polikliniek slokdarm-, en maagtumoren --- Wekelijkse multidisciplinaire bespreking --- Nadat bij u het onderzoekstraject is afgerond worden de uitslagen besproken in een team van specialisten, gespecialiseerd in onderzoek en behandeling van slokdarm- en maagkanker. In een wekelijks overleg stellen zij gezamenlijk een behandelplan voor u op. Het behandelvoorstel wordt vervolgens tijdens uw afspraak op de multidisciplinaire polikliniek met u besproken."
9,Hoe verloopt een diagnostische hysteroscopie?,"Een diagnostische hysteroscopie vindt zonder verdoving plaats. De gynaecoloog doet meestal eerst een inwendig onderzoek om de grootte en de stand van de baarmoeder te beoordelen. Daarna wordt soms een speculum (spreider) in de schede gebracht. Zo nodig rekt de gynaecoloog de baarmoederhals iets op. De gynaecoloog brengt vervolgens de kijkbuis in de baarmoederholte. Via de kijkbuis brengen we vloeistof in de baarmoederholte in zodat we beter zicht hebben. Dit veroorzaakt menstruatieachtige pijn. Het is ook mogelijk dat de gynaecoloog geen gebruik maakt van een speculum en tangetje, maar de kijkbuis direct inbrengt in de schede en in de baarmoederhals. Het hele onderzoek duurt ongeveer een kwartier; met kleine ingrepen kan het wat langer duren.","Diagnostische hysteroscopie --- Hoe verloopt het onderzoek? --- Het onderzoek vindt zonder verdoving plaats. U kunt een wat krampend gevoel in de onderbuik ervaren zoals bij een menstruatie. U neemt u plaats op een onderzoekstoel met uw benen in de beensteunen. De gynaecoloog doet meestal eerst een inwendig onderzoek om de grootte en de stand van de baarmoeder te beoordelen. Daarna wordt soms een speculum (spreider) in de schede gebracht. Zo nodig rekt de gynaecoloog de baarmoederhals iets op. Dit kan lichte menstruatie-achtige pijn geven. De gynaecoloog brengt vervolgens de kijkbuis in de baarmoederholte. Via de kijkbuis brengen we vloeistof in de baarmoederholte in zodat we beter zicht hebben. Dit veroorzaakt menstruatieachtige pijn. Het is ook mogelijk dat de gynaecoloog geen gebruik maakt van een speculum en tangetje, maar de kijkbuis direct inbrengt in de schede en in de baarmoederhals. Het hele onderzoek duurt ongeveer een kwartier; met kleine ingrepen kan het wat langer duren."
11,Met welke specialisten kan ik te maken krijgen tijdens mijn behandeling?,"U kunt te maken krijgen met meerdere specialisten, waaronder een MDL-arts, chirurg, radiotherapeut en/of internist-oncoloog, afhankelijk van het behandelvoorstel.","Afspraak op de multidisciplinaire polikliniek slokdarm-, en maagtumoren --- Uw afspraak op de multidisciplinaire polikliniek --- Voor uw behandeling kunt u te maken krijgen met meerdere specialisten. Dit is afhankelijk van het behandelvoorstel. Naast de MDL-arts, kunt u ook een afspraak hebben met een chirurg, radiotherapeut en/of internist- oncoloog. Dit bespaart extra ziekenhuisbezoeken en reistijd."
12,Waar moet ik mij melden als ik op de dag van de opname in het ziekenhuis arriveer?,U moet zich melden bij de receptie in de centrale hal.,"Opname --- De dag van de opname --- U meldt zich op het afgesproken tijdstip bij de receptie in de centrale hal. Hier worden uw gegevens gecontroleerd. Daarna wordt u door de gastenbegeleiding naar de verpleegafdeling begeleid. In het ZGT wordt gemengd verpleegd. Dit betekent dat mannen en vrouwen samen op één kamer liggen. Voordat u naar de operatiekamer of behandelkamer wordt gebracht vinden er een aantal voorbereidingen bij u plaats. _x000D_
- U krijgt een kort gesprek met de verpleegkundige. Hierin worden onder andere uw medicatie, allergieën en dieet gecheckt. _x000D_
- Uw temperatuur wordt gemeten en zo nodig uw pols, bloeddruk en zuurstofgehalte. _x000D_
- Als u een borstvoeding geeft, geef dit dan door aan de verpleegkundige."
14,Wat is het doel van deze folder?,Deze folder is bedoeld om alles nog eens rustig door te lezen.,Bryant-tractie --- Bryant-tractie --- Uw kind is opgenomen vanwege een bovenbeenbreuk. U heeft ongetwijfeld al veel informatie gekregen. Mogelijk heeft u nog vragen. Deze folder is bedoeld om alles nog eens rustig door te lezen.
15,Onder welke voorwaarden kom ik in aanmerking voor vergoeding van vervoerskosten?,"U kunt in aanmerking komen voor vergoeding van vervoerskosten (openbaar vervoer, taxivervoer, eigen auto) onder bepaalde voorwaarden en afhankelijk van uw ziektekostenverzekering. Neem contact op met uw zorgverzekeraar voor meer informatie.","Poliklinische revalidatiebehandeling kinderen --- Vervoerskosten --- Onder bepaalde voorwaarden en afhankelijk van uw ziektekostenverzekering, kunt u in aanmerking komen voor vergoeding van vervoerskosten (openbaar vervoer, taxivervoer, eigen auto). Wij adviseren u contact op te nemen met uw zorgverzekeraar om te informeren of u in aanmerking komt voor vergoeding."
16,Wie kan u verwijzen naar de afdeling radiologie voor antegrade pyelografie?,Uw behandelend medisch specialist kan u verwijzen naar de afdeling radiologie voor antegrade pyelografie.,"Antegrade pyelografie --- Foto’s van de nieren en urineleiders --- (antegrade pyelografie) Uw behandelend medisch specialist heeft u voor het maken van foto’s van de nieren en de urineleiders verwezen naar de afdeling radiologie (röntgen). Dit is een afdeling waar radiologen en radiodiagnostisch laboranten met behulp van verschillende technieken, afbeeldingen van het lichaam maken. Bij het maken van foto’s wordt gebruik gemaakt van röntgenstralen. Deze stralen kunnen verschillende delen in het lichaam zichtbaar maken en geven daarvan een afbeelding op een beeldscherm. Nadat de foto’s gemaakt zijn, worden deze door een radioloog beoordeeld."
17,Wat is de geheimhoudingsplicht van medewerkers op de afdelingen psychiatrie en medische psychologie?,Alle medewerkers van de afdelingen psychiatrie en medische psychologie hebben een geheimhoudingsplicht en gaan vertrouwelijk om met alle gegevens van patiënten.,"D8 Cognitieve gedragstherapie --- Geheimhouding --- Alle medewerkers van de afdelingen psychiatrie en medische psychologie hebben een geheimhoudingsplicht. Zij gaan vertrouwelijk met al uw gegevens om. Van u wordt eveneens verwacht geen informatie over groepsgenoten aan derden te verstrekken. Wij hechten veel waarde aan een vertrouwelijk behandelklimaat. Als u in behandeling komt binnen de psychiatrie van ZGT, wordt een deel van uw dossier inzichtelijk voor alle specialisten die betrokken zijn bij uw behandeling binnen ZGT. Als u hier bezwaar tegen heeft, kunt u dit bespreken met uw psychiater."
18,Bij welke afdeling van ZGT moet ik zijn voor een laparoscopische ingreep aan de blaas?,Voor een laparoscopische ingreep aan de blaas moet u bij de polikliniek urologie van ZGT zijn.,"Laparoscopische ingreep blaas --- Vragen --- Heeft u naar aanleiding van deze folder vragen, neem dan contact op met ZGT de polikliniek urologie."
