id	text	titles
0	Voedingsadviezen na totale maagresectie	Het is belangrijk om voldoende te drinken. Vocht geeft snel een vol gevoel waardoor voldoende inname aan drinkvocht in het gedrang kan komen. Streef naar tenminste 1½ - 2 liter (12-16 kopjes) drinkvocht goed verspreid over de dag. Aan de hand van de urine kunt u controleren of u voldoende drinkt. De urine moet licht geel van kleur zijn en minimaal 1 liter per 24 uur bedragen.
1	Diverticulitis	Divertikels geven meestal geen klachten. Klachten die wel kunnen optreden zijn vage buikpijn, buikkrampen, obstipatie en/of diarree. De klachten ontstaan vaak pas wanneer de divertikels gaan ontsteken. Hoe het proces van diverticulitis zal verlopen, hangt af van waar de divertikels zich in uw darm bevinden, de ernst van het ontstekingsproces en de aanwezigheid van complicaties. Pas als ze ontstoken raken (=diverticulitis), kunnen de volgende klachten ontstaan:  - vaak pijn links in de buik;  - opgezette buik;  - koorts;  - misselijkheid, soms met braken;  - veranderd ontlastingspatroon (hevige diarree of juist ernstige verstopping);  - soms bloed- en slijmverlies uit de anus.
2	Opname kind- en tienerafdeling	Uw kind wordt binnenkort opgenomen of is al opgenomen op de afdeling kindergeneeskunde van ZGT. In deze folder treft u belangrijke informatie aan.
3	Latexprovocatie	Altijd vooraf overleg met de allergoloog. Acebutalol Metoprolol Atenolol Nebilet Bisoprolol Nebivolol Carvedilol Oxprenolol Celiprolol Pindolol Dilanorn Propanolol Emcor Sectral Eucardic Selokeen Kerlon Sotalol Labetalol Viskeen
4	Pre-eclampsie en HELLP syndroom	Mocht u na het lezen van deze folder nog vragen hebben, uw gynaecoloog, verloskundige, verpleegkundige of huisarts is altijd bereid ze te beantwoorden.
5	Het verlies van uw kind, tijdens de zwangerschap of rond de bevalling	Zeker bij een vergevorderde zwangerschap rekenen mensen op een geboortekaartje. Als dat niet komt, roept dat nogal eens pijnlijke vragen op. Daarom is het verstandig te laten weten dat uw baby levenloos geboren is via een kaartje of een overlijdensadvertentie.
6	Allopurinol	borstvoeding Allopurinol lijkt geen invloed te hebben op de vruchtbaarheid van mannen en vrouwen. Het is niet precies bekend of allopurinol schadelijk kan zijn tijdens de zwangerschap. Daarom wordt het gebruik afgeraden, tenzij uw arts anders besluit. Het gebruik van allopurinol tijdens borstvoeding wordt ook ontraden. Bespreek uw zwangerschapswens tijdig met uw reumatoloog.
7	Ambulante flebectomie volgens Müller	Bewegen is goed, maar alles met mate. Vermijd de eerste week na de ingreep intensieve sporten, zoals wielrennen, hardlopen of springsporten. Hierna mag u weer uw normale activiteiten hervatten.
8	Koolhydraat variatielijst diabetes mellitus	De basis van de voeding voor mensen met diabetes bestaat uit de volgende regels:  - Verdeel uw voeding (de koolhydraten) regelmatig over de dag en sla geen maaltijden over (bij gebruik van tabletten voor diabetes of bij één of twee keer daags insuline kan het noodzakelijk zijn een tussendoortje te gebruiken).  - Let op vet, beperk verzadigd vet.  - Gebruik bij voorkeur vezelrijke voedingsmiddelen. Daarnaast zijn er regels voor een goede voeding, zoals die voor iedereen gelden:  - Gebruik 250 gram groente en twee porties fruit per dag.  - Gebruik één keer per week (vette) vis.  - Wees matig met zout.  - Bij voorkeur geen alcohol of maximaal 1 consumptie per dag.  - Eet gevarieerd. De onderwerpen koolhydraten, vetten, voedingsvezels en het lichaamsgewicht worden hierna verder toegelicht.
9	Artrografie	(artrografie) Uw medisch specialist heeft u verwezen voor een artrografie, dit onderzoek vindt plaats op de afdeling radiologie (röntgen). Dit is een afdeling waar radiologen (artsen), arts–assistenten, physician assistants en radiodiagnostisch laboranten met behulp van verschillende technieken, afbeeldingen van het lichaam maken. Bij het maken van foto’s wordt gebruik gemaakt van röntgenstralen. Deze stralen kunnen verschillende delen in het lichaam zichtbaar maken en geven daarvan een afbeelding op een beeldscherm. Nadat de foto’s gemaakt zijn, worden deze door een radioloog beoordeeld.
