topic_id,filename,header,section_text
9,Achillespeesruptuur behandelen met Vacoped,Waar moet u op letten,"Neemt u direct telefonisch contact op met het secretariaat traumachirurgie (op werkdagen tussen 08.00-16.30 uur) wanneer de volgende verschijnselen zich voordoen: 
- Toenemende pijn 
- Toenemende zwelling van de tenen 
- “Doof” gevoel van de tenen Is buiten kantooruren contact met het ziekenhuis nodig? Neem dan contact op met de spoedeisende hulp via telefoonnummer 088 708 78 78"
49,"Capecitabine _temozolomide, patiënteninformatie",Dagbehandeling oncologie:,Telefoonnummers: 088 708 70 76 locatie Almelo 088 708 70 75 locatie Hengelo Buiten kantoortijden via afdeling 5 west: 088 708 34 20
42,Behandeling ijzerinfuus met Monofer bij MDL patiënten,Melden,"Op de dag van de afspraak wordt u verwacht:  Almelo: bij de dagopname, routenummer 1.4  Hengelo: bij de receptie bij de hoofdingang"
56,Adviezen toiletgedrag ontlasten,Vragen,"Heeft u na het lezen van deze informatie nog vragen, neem dan contact op met de afdeling fysiotherapie: Locatie Almelo, telefoon 088 708 32 10. Locatie Hengelo, telefoon 088 708 52 00."
62,Defecatie expertise centrum (DEF poli),Heeft u vragen?,Stel uw vragen gerust aan ons. U kunt bellen met het secretariaat van de polikliniek chirurgie van maandag t/m vrijdag van 08.00 - 16.30 uur. Telefoonnummer: 088 708 52 31. Ook kunt u kijken op onze website: zgt.nl/defecatie-expertise-centrum.
40,Hoofdkoeling bij chemotherapie,Bijwerkingen,"Als de kap door de verpleegkundige op uw hoofd wordt gezet, voelt dat koud aan en kan de kap een licht gevoel in het hoofd geven. De ergste kou voelt u in de eerste tien tot vijftien minuten van de koeling therapie. Na vijftien minuten zal uw lichaam de kou beter verdragen en zullen de bijwerkingen langzaam verdwijnen. Door de kou kunt u last krijgen van hoofdpijn; hiervoor kunt u een pijnstiller (paracetamol) krijgen. Vraagt u tussentijds ook gerust om een deken of een warme drank. Tips vóór het gebruik van de hoofdhuidkoeler De avond voordat u chemotherapie krijgt of op de dag zelf, wast u het haar en doet u er geen haarverzorgingsproducten meer in. Haarspelden en oorbellen dient u voor de behandeling uit te doen. U kunt bijvoorbeeld een vest of sjaal meenemen of warme sokken aantrekken om het koude gevoel te verminderen."
59,Acnes operatie,Wanneer neemt u contact op?,"Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31. 
- Buiten kantooruren kunt u contact opnemen met de spoedeisende hulp, telefoonnummer 088 708 78 78. Neem ook contact op indien u thuis klachten krijgt van onderstaande punten: 
- Koorts (38,5 oC en hoger) 
- Nabloeding 
- Zwelling 
- Aanhoudende pijn"
65,Vochtbeperking,Vragen,Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met uw diëtist. Ze wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl
54,Borstvoeding aan de randprematuur of dysmature baby,Lactatiekundigen IBCLC ZGT,In ZGT zijn drie lactatiekundigen IBCLC werkzaam. Deze zijn (buiten vakantieperiodes om) dagelijks aanwezig. Telefoonnummer 088 708 55 51. Voor meer informatie over voeding verwijzen we u naar onze website zgt.nl.
43,Coloscopie klinisch,Vragen,"Mocht u nog vragen hebben stel ze dan gerust. U kunt bellen naar het MDL-centrum, telefoonnummer 088 708 34 00."
17,Behandeling met methylprednisolon,Tenslotte,"Heeft u naar aanleiding van bovenstaande nog vragen, dan kunt u de verpleegkundige van de afdeling altijd vragen om verdere informatie."
25,Achillespeesruptuur behandelen met Vacoped,Vragen,"Heeft u naar aanleiding van deze folder vragen, neem dan contact op met de poli traumachirurgie van ZGT via telefoonnummer 088 708 52 33"
9,Nierbekkenontsteking (Pyelonefritis),Wanneer neemt u contact op?,"De controleafspraak bij de uroloog krijgt u thuisgestuurd. Bij onderstaande klachten neemt u eerder contact op met het ziekenhuis: 
- Opnieuw koorts. 
- Toename van plasklachten 
- Toename van pijnklachten in rug en/of de zij. 
- Opnieuw zieker voelen. Tijdens kantooruren belt u naar: 
- Polikliniek urologie; Telefoonnummer 088 708 3390 In zeer dringende gevallen, welke niet kunnen wachten tot de volgende werkdag, kunt u buiten kantoortijden bellen met: 
- Spoedeisende Eerste Hulp Telefoonnummer 088 708 7878"
9,Vena testicularis,Neem contact op indien,"- U koorts krijgt (38,5°C of hoger). 
- De lies erg gevoelig/pijnlijk is. 
- Een zwelling in de lies op treedt. 
- De lies rood verkleurt en erg warm aanvoelt. 
- U huiduitslag heeft. Tijdens kantooruren kunt u telefonisch contact opnemen met het secretariaat urologie: 088 708 33 90. Buiten kantoortijden kunt u bij deze klachten en/of andere klachten die niet kunnen wachten tot de volgende werkdag, contact opnemen met de afdeling spoedeisende hulp: 088 708 78 78."
