topic_id,filename,header,section_text
22,Anesthesie volwassenen,Eten en drinken voor de operatie.,"Voor uw veiligheid dient u nuchter te zijn voor de operatie. Dit betekent dat uw maag leeg moet zijn. Anders kan de operatie niet doorgaan, en kan dit forse gezondheidsschade geven. Extra informatie over nuchter zijn voor een operatie kunt u vinden op bladzijde 3 van dit document. U mag tot 6 uur voor de opnametijd normaal ontbijten en normaal drinken. U mag tot 2 uur voor de opnametijd heldere vloeistoffen drinken zoals: water, thee, koffie (zonder melk), heldere appelsap, limonade van siroop. (geen melkproducten) Het is verstandig voor de ingreep niet te roken."
32,Abatacept onderhuidse injectie,Abatacept (Orencia®) per infuus,"Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek."
67,Anesthesie volwassenen,Vormen van anesthesie,"Algehele anesthesie (narcose) Bij deze vorm van anesthesie wordt u volledig in slaap gebracht en verdoofd. Via een infuus (klein slangetje in een bloedvat) worden medicijnen toegediend. Zodra u slaapt, krijgt u een buisje in uw keel en/of luchtpijp. Dit is nodig voor uw ademhaling. Regionale (plaatselijke) anesthesie Bij deze vorm van anesthesie wordt een deel van het lichaam verdoofd. Met een prik kan alles onder de navel (ruggenprik, spinaal) of een onderbeen of arm (blok) worden verdoofd. Deze vormen van anesthesie kunnen gecombineerd worden met een slaapmiddel (sedatie) waardoor u zich niet bewust bent van de ingreep. Voordeel van een plaatselijke verdoving is dat na de ingreep minder vaak misselijkheid optreedt dan na algehele anesthesie. Ook heeft u dan minder snel pijn na de operatie. In sommige gevallen wordt na de prik een dun slangetje achter gelaten. Hierdoor worden pijnstillers gegeven na de ingreep. Dit kan met een prik in de rug (epiduraal) of bij het blok (plexus katheter). Een verdoving van arm of onderbeen (blok) moet een tijdje inwerken. Daarom blijft u langer in de voorbereidingsruimte. U mag in de voorbereidingsruimte en tijdens de ingreep uw eigen iPod/mp3 speler of telefoon (in vliegtuigmodus) mee nemen om muziek te luisteren. Combinatie van algehele en regionale anesthesie Operaties in borst- en buikholte kunnen veel pijn geven na de operatie. Een goede pijnbestrijding is dan prettig en van belang om bijvoorbeeld longcomplicaties en trombose te voorkomen. Regionale verdoving door een ruggenprik waarbij een slangetje wordt achtergelaten in de rug (epiduraal) geeft dan de beste pijnbestrijding. Vervolgens wordt u ook onder algehele anesthesie gebracht."
46,Allopurinol,Wijze van innemen,Allopurinol is een medicijn in de vorm van tabletten van 100 of 300 milligram. Uw reumatoloog vertelt u hoeveel tabletten per dag u moet innemen. De dosis wordt aangepast als u last hebt van bijwerkingen of nierproblemen. Neem de tabletten na de maaltijd in met water.
28,Acnes operatie,Opname en operatie,"Zodra de operatiedatum bekend is, krijgt u hierover in de week voor de operatie telefonisch of schriftelijk bericht. U hoort dan wanneer en waar u in het ziekenhuis verwacht wordt voor opname. Op de operatiedag meldt u zich op het afgesproken tijdstip op de verpleegafdeling. Vanuit de afdeling brengen we u naar de operatiekamer."
23,Ambulante flebectomie volgens Müller,Bewegen,"Bewegen is goed, maar alles met mate. Vermijd de eerste week na de ingreep intensieve sporten, zoals wielrennen, hardlopen of springsporten. Hierna mag u weer uw normale activiteiten hervatten."
7,"Borstvorming bij mannen_gynaecomastie, behandeld door de plastisch chirurg",Behandeling/onderzoek,"Bij fysiologische gynaecomastie in de baby- en puberfase volstaat meestal een lichamelijk onderzoek door de medisch specialist. Wanneer echter een kans op niet- fysiologische borstvorming bestaat, vindt er aanvullend onderzoek plaats door middel van een echo en eventueel een verwijzing naar een internist."
64,Bijzonder resistente micro-organismen (BRMO),Op de verpleegafdeling,"- Als u drager bent van een BRMO wordt dit door de afdeling infectiepreventie geregistreerd in het ziekenhuissysteem. Hierdoor krijgen medewerkers bij het openen van uw dossier een melding waarin staat dat u drager bent van een BRMO en welke extra voorzorgsmaatregelen zij moeten treffen. 
- U verblijft meestal op een éénpersoonskamer, soms op een tweepersoonskamer. Alle medewerkers dragen bij contact met u of uw directe omgeving (bed, infuuspaal en dergelijke) handschoenen en vaak een overschort. Als ze bij u weggaan, trekken ze de handschoenen en het overschort uit. Daarna desinfecteren ze hun handen met handalcohol. Dit wordt contactisolatie genoemd. Bij sommige BRMO’s is het mogelijk dat striktere isolatiemaatregelen noodzakelijk zijn. 
- Wij verzoeken u om uitsluitend gebruik te maken van het toilet en de douche die door de verpleegkundige aan u is toegewezen en altijd uw handen te wassen na het toiletgebruik, bij de wasbak in het toilet."
11,Achillespeesruptuur behandelen met Vacoped,Wat is de oorzaak van een gescheurde achillespees?,"Doordat de pees niet stevig genoeg is aangelegd of omdat er enige verzwakking in is opgetreden, kan een achillespees scheuren (een achillespeesruptuur). Er is altijd een actie van de spieren aan de scheuring vooraf gegaan. Bijna altijd denkt het slachtoffer dat er iemand achter hem een trap, slag of stoot op de kuit heeft gegeven. Er ontstaat hevige pijn laag achter op de kuit of enkel, die erger of vergelijkbaar is met de pijn bij een spierscheur. Lopen lukt daarna niet of nauwelijks meer. Bij onderzoek van het aangedane onderbeen hoeft er niet zo veel zichtbaar te zijn. Bij voelen (palpatie) van de kuit is vaak heel duidelijk een kuiltje (defect) in het verloop van de pees vast te stellen. Het belangrijkste onderzoek is het testen van de achillespeesfunctie: de hiel kan niet meer van de grond getild worden of bij knijpen in de ontspannen kuitspier is er geen beweging van de voet meer op te wekken. Bij twijfel aan de diagnose kan een echo worden aangevraagd. Hierbij wordt de achillespees met behulp van geluidsgolven op een tv-scherm in beeld gebracht."
12,"ABVD, patiënteninformatie",Als u klachten krijgt die u niet vertrouwt mag u altijd contact met ons opnemen.,"Check uw dossier op MijnZGT MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt."
55,Bekkenbodem problemen bij de vrouw,Voorwandverzakking,"De voorkant van de vagina is naar beneden gezakt in het bekken. Omdat de blaas op een deel van deze voorwand rust, is de blaas ook verzakt. Dit noemen we ook wel cystocele."
18,Borstvoeding en diabetes mellitus,Waarom borstvoeding?,"Borstvoeding zorgt voor een betere gezondheid van moeder en baby. De glucosewaardes bij de moeder blijven tijdens de borstvoedingsperiode lager. Hierdoor heeft de moeder vaak minder insuline nodig. De insuline die moeder gebruikt, komt niet in de moedermelk. Borstvoeding geven beschermt tegen het krijgen van Diabetes Mellitus type 2 en overgewicht. De eerste moedermelk, het colostrum, werkt voor het sneller stabiel worden van de glucosespiegel bij de baby. Voor algemene informatie over borstvoeding verwijzen wij u naar de folder ‘Borstvoeding’."
69,Bijschildklierscan,Voorbereidingen op het onderzoek,"Er is geen speciale voorbereiding noodzakelijk. U mag dus normaal eten en drinken en uw gewone dagelijkse bezigheden uitvoeren. 
- Metalen voorwerpen kunnen het onderzoek verstoren. Daarom kan u gevraagd worden sieraden, sleutels en andere metalen voorwerpen te verwijderen of bepaalde kledingstukken uit te trekken. 
- Begeleiding is toegestaan, maar in verband met de beperkte wachtruimte vragen wij u niet meer dan één persoon mee te nemen. 
- Tijdens het onderzoek zelf kan er in principe geen begeleider bij u zijn. 
- Bent u zwanger, denkt u dit te zijn, of geeft u op dit moment borstvoeding, neem dan zo snel mogelijk contact op met de afdeling nucleaire geneeskunde."
44,Buikoverzicht met markers,Belangrijk om te weten,"Zwangerschap Röntgenstralen kunnen schadelijk zijn voor het ongeboren kind. Als u zwanger bent, of denkt te zijn, moet u dit vóór het onderzoek melden."
13,Afdelingsfolder Eerste Hart Hulp,Onderzoeken op de Eerste Hart Hulp,"De onderzoeken op de Eerste Hart Hulp zijn: 
- Lichamelijk onderzoek. Tijdens het lichamelijke onderzoek krijgt u vragen over uw gezondheid en klachten. 
- Bekijken uw hartritme via een monitor. 
- ECG-onderzoek, ook wel hartfilmpje genoemd. 
- Controle van bloeddruk, temperatuur en zuurstofgehalte in uw bloed. 
- Bloedonderzoek. Mogelijk is er aanvullend onderzoek nodig zoals: 
- Röntgenfoto. 
- echo van het hart. 
- inspanningstest (fietstest). 
- Hartkatheterisatie. 
- aanvullend bloedonderzoek."
52,Alvleesklierontsteking (pancreatitis),Wat zijn de behandelingsmogelijkheden?,"De behandeling van pancreatitis kan verschillen per soort. Hieronder wordt daar dieper op ingegaan. Acute pancreatitis Er zal altijd eerst geprobeerd worden de ontsteking spontaan tot rust te laten komen. Dat gebeurt door het maagdarmstelsel niets aan te bieden en alle maagsappen via een slang die door de neus in de maag wordt gebracht, te laten aflopen. Vocht wordt toegediend via een infuus en zo nodig ook voeding. Soms worden er bepaalde medicijnen bij gegeven. Als galwegstenen de veroorzakers zijn van de pancreatitis, dan zal meestal in een vroeg stadium een ERCP worden verricht om eventueel aanwezige stenen te kunnen verwijderen. Wanneer het ziektebeeld niet verbetert met bovengemelde maatregelen, kan soms een operatieve behandeling nodig zijn. Dat is dan een ernstige situatie, waarbij u meestal op een intensive care afdeling verblijft. Bij de operatie wordt het door de ontsteking vernietigde en afgestorven weefsel verwijderd. Het kan zijn dat de chirurg na zo'n operatie besluit de buik geheel open te laten en nog een paar keren daarna de buik opnieuw schoon te maken en zo nodig te spoelen op de intensive care. Deze operatieve behandeling kan ondersteund worden door antibiotica en eventueel andere medicijnen. Bij een ernstige pancreatitis kan langdurig verblijf op een intensive care nodig zijn. Chronische pancreatitis In eerste instantie zal de behandeling gericht zijn op symptoombestrijding, zoals medicijnen tegen de pijn, en medicijnen die eventuele tekorten aan pancreashormonen en/of enzymen kunnen aanvullen. Soms kan een endoscopische behandeling (kijkonderzoek - ERCP) nodig zijn. Wanneer pijnklachten niet meer met medicijnen te regelen zijn, wordt wel eens een operatie voorgesteld. Daarbij kan het gaan om een operatie waarbij het verlittekende deel van de pancreas verwijderd wordt. Of het gaat om een operatie waarbij de afvoergang van de pancreas wordt verbonden met een deel van de dunne darm, om een goede afvloed van de pancreassappen te kunnen bewerkstelligen."
0,Aambeien (heamorroiden),Wat zijn de oorzaken?,"Wat precies de oorzaak van aambeien is, weten we niet. Wat we wel weten is dat meerdere factoren het ontstaan van aambeien bevorderen. We denken dat verstopping een groot aandeel heeft bij het ontstaan van aambeien. Veel mensen eten te weinig voedingsvezels en drinken te weinig. Voedingsvezels verteren niet en houden vocht vast, waardoor de ontlasting zacht en week wordt. Het ontbreken van die voedingsvezels in de voeding heeft dus een harde, droge ontlasting tot gevolg. Daardoor verloopt de stoelgang niet zo gemakkelijk. Men moet hard persen en kracht zetten om de ontlasting kwijt te raken. Dit veroorzaakt druk op de zwellichamen, waardoor ze geïrriteerd raken, opzwellen en uitzakken en er aambeien kunnen ontstaan. Ook het uitstellen van de stoelgang bij aandrang zou aambeien kunnen veroorzaken, omdat de ontlasting dan kan indrogen. Andere mogelijke oorzaken zijn: te weinig lichaamsbeweging, veel zitten en overgewicht. Al deze factoren dragen bij aan verstopping en dus mogelijk ook tot de vorming van aambeien. Bij vrouwen zijn zwangerschap en bevalling een mogelijke oorzaak voor het ontstaan van aambeien, doordat de druk in de buik toeneemt. Daarom zou regelmatig zwaar tillen ook aambeien in de hand kunnen werken. Nog een andere mogelijke oorzaak is erfelijkheid. Er bestaan aanwijzingen dat aambeien familiair bepaald kunnen zijn. Tenslotte lijkt ook stress bij te kunnen dragen aan het ontstaan van aambeien. Wat zijn de klachten? Aambeien kunnen verschillende klachten met zich meebrengen. Het aambeiweefsel kan kwetsbaar worden en dus gemakkelijk bloeden. Als het aambeiweefsel door hoge druk in de anus kapot gaat, bijvoorbeeld door hard persen bij verstopping, kan er helderrood bloed bij of op de ontlasting zitten. Het is ook mogelijk dat er wat slijm en/of dunne ontlasting uit de anus weglekt. Dat kan weer huidirritatie en hinderlijke jeuk veroorzaken. Soms zakt het aambeiweefsel met de ontlasting naar buiten en dat geeft een vervelend en drukkend gevoel (propgevoel) of loze aandrang. Wanneer het aambeiweefsel in de anus flink wordt afgekneld en daardoor dus stuwing in de bloedvaten geeft, ontstaat er vaak een zeer pijnlijke zwelling bij de anus. Er vormt zich dan een bloedstolsel (trombus) in het aambeiweefsel (getromboseerde aambei). Vaak wordt ervoor gekozen om de bloedstolsel poliklinisch onder plaatselijke verdoving via een kleine snede te verwijderen of te starten met een bepaalde crème. Na verloop van tijd verdwijnen de klachten dan meestal weer vanzelf."
48,Amandelen verwijderen (tonsillectomie) bij volwassenen,Naar huis,"U mag de volgende dag naar huis tenzij zich bijzonderheden voordoen. U kunt op eigen gelegenheid naar huis, maar u mag niet zelf een auto besturen. U krijgt alleen een controle afspraak indien de specialist dit nodig acht."
27,Blaas verwijderen en aanleggen neoblaas,De aandoening,"Bij u is blaaskanker geconstateerd, waarbij de tumor diep in of door het blaasslijmvlies is gegroeid. Tijdens een gesprek met de uroloog is besloten dat uw blaas wordt verwijderd. Van een stukje dunne darm wordt een nieuwe blaas (neoblaas) gemaakt die rechtstreeks wordt aangesloten op de plasbuis. De intact gebleven sluitspier zorgt voor de natuurlijke controle over het urineren. Op zgt.nl/blaaskanker leest u meer over de kwaliteit van deze ingreep binnen ons ziekenhuis."
37,Abatacept onderhuidse injectie,Mogelijke bijwerkingen abatacept,"Bijwerkingen kunnen optreden. Meest voorkomend 
- Huiduitslag of jeuk op de plaats van de injectie. Dit is vrijwel altijd mild en op den duur verdwijnen de klachten bij de meeste patiënten. 
- Hoofdpijn, duizeligheid, buikpijn, misselijkheid, diarree en vermoeidheid 
- Milde infecties zoals verkoudheid, griep en blaasontsteking. Soms/zelden voorkomend 
- Bloeddrukverhoging, blozen of opvliegers. 
- Overgevoeligheidsreacties zoals al dan niet jeukende huidafwijkingen, moeilijk ademhalen, pijn op de borst, rillerigheid of lage bloeddruk. Bij ernstigere verschijnselen wordt het gebruik vaak gestopt. 
- Ernstige infecties."
60,Ascites of abcesdrainage onder echogeleiding,Het onderzoek ‘drainage’,"De verpleegkundige of vervoersdienst brengt u van de verpleegafdeling naar de afdeling radiologie waar het onderzoek plaats vindt. In de onderzoekkamer kunt u in uw bed blijven liggen. Om u goed voor te kunnen bereiden vertellen we u wat er tijdens het onderzoek gaat gebeuren. Na de uitleg bepaalt de radioloog door middel van echografie de plaats waar de drain wordt ingebracht. Op deze plaats wordt de huid gedesinfecteerd en verdoofd. De verdovingsprik kan eventueel gevoelig zijn. Hierna wordt er een klein sneetje in de huid gemaakt, waar de naald doorheen kan. De radioloog brengt vervolgens onder echogeleide een naald in de te draineren vochtopeenhoping of abces. Aansluitend wordt de drain op de juiste plek gelegd, waarna de drain wordt vastgeplakt of vastgehecht aan de huid. De drain wordt vervolgens aangesloten op een opvangzak voor het vocht. Een deel van het opgevangen vocht kan apart worden opgevangen voor eventueel nader onderzoek."
61,Acupunctuur  (Nocepta),De behandeling,"Nadat u zich bij de receptie heeft gemeld, wordt u naar de behandelkamer gebracht waar de acupunctuurnaalden worden aangebracht. Tijdens de behandeling zit u op een stoel of ligt u op een behandeltafel. De pijnspecialist zal eerst de huid desinfecteren. Daarna worden de specifieke pijnpunten op het lichaam gestimuleerd door het inbrengen van de naald en soms zelfs met een elektrostimulator. Het plaatsen van de naalden kan even gevoelig zijn, maar het gevoel trekt snel weer weg. Het aanbrengen van de acupunctuurnaaldjes duurt een paar minuten. De naalden blijven ruim 20-25 minuten in uw lichaam. Aan het einde worden zij verwijderd en mag u meteen naar huis. Afhankelijk van de klachten worden 8-10 behandelingen gepland. Na 4-5 behandelingen zal er een evaluatie plaatsvinden om te bepalen in hoeverre het zinvol is om met de behandelingen verder te gaan. Indien er helemaal geen effect is, wordt de behandeling niet meer voortgezet."
26,Bloeddrukdaling bij het opstaan (orthostatische hypotensie),Wat zijn de verschijnselen?,"- Duizeligheid of licht gevoel in het hoofd; 
- Klachten met zien, zoals wazig zien of zwarte vlekken voor de ogen; 
- Wankel ter been, evenwichtsverlies; 
- Vallen; 
- Flauwvallen."
19,Bipolaire enucleatie van de prostaat,Operatie,"Door een voor deze ingreep getrainde uroloog wordt via de plasbuis, uw prostaatklier van de kapsel losgemaakt. Vervolgens wordt de klier verkleind om de stukjes uit te kunnen spoelen. Vergelijk het met een mandarijn pellen zonder de schil rondom kapot te maken. Als de vrucht los is van de schil, kunnen de partjes worden uitgespoeld. Hierdoor ontstaat meer ruimte voor de plasbuis in de prostaat waardoor het plassen na de operatie gemakkelijker zal gaan. Deze operatie is vergelijkbaar met de open subcapsularie prostatectomie, een Hryntschak of een Millin operatie (operaties die met een snee in de onderbuik worden uitgevoerd) maar is veel minder gecompliceerd. En de tijd die u in het ziekenhuis moet blijven is doorgaans veel korter. Ook hele grote prostaten kunnen, anders dan met een conventionele TURP, op deze manier behandeld worden. Meestal kunt u één of twee dagen na de operatie weer naar huis."
45,Aspirine neusprovocatie,B-Blockers,"48 uur van tevoren staken, altijd in overleg met allergoloog. Acebutalol Metoprplol Atenolol Nebilet Bisoprolol Nebivolol Carvedilol Oxprenolol Celiprolol Pindolol Dilanorm Propanolol Emcor Sectral Eucardic Selokeen Kerlon Sotalol Labetalol Viskeen"
33,Actigrafie bij kinderen,Waarom krijgt uw kind dit onderzoek?,In de leeftijd van 0-18 jaar komen bij ongeveer een derde van de kinderen slaapproblemen voor. Deze problemen kunnen door actigrafie objectief worden vastgelegd. De Motionwatch® moet zeven tot veertien dagen gedragen worden en houdt de dagelijkse bewegingen van uw kind bij. Dit geeft inzicht in welke tijden uw kind slaapt en wakker is en kan helpen bij het stellen van een diagnose.
