topic_id,filename,header,section_text
2.0,Afdeling medische psychologie,Het nagesprek,"In het nagesprek worden de resultaten van het onderzoek met u besproken. De resultaten van het testonderzoek worden gerelateerd aan uw klachten, dagelijks functioneren en eventueel aan uw levensgeschiedenis (bij kinderen ontwikkelingsgeschiedenis). Het nagesprek voert u alleen of, in overleg, in aanwezigheid met anderen. Voor kinderen geldt dat tot 12 jaar uw kind niet bij het nagesprek aanwezig is. Is uw kind 12 jaar of ouder dan gebeurt dit in overleg. Vanaf 16 jaar mag uw kind beslissen of u bij het nagesprek aanwezig bent. Soms geeft de duidelijkheid over de oorzaak van de klachten voldoende aangrijpingspunten en is verdere behandeling niet nodig. De psycholoog kan u eventueel adviezen geven hoe u het beste om kunt gaan met de situatie. Vaak volstaan adviezen niet en is verdere behandeling nodig. Afhankelijk van de aard en ernst van de problematiek kan de behandeling vervolgd worden op de afdeling medische psychologie of zal de psycholoog u een voorstel doen voor verwijzing."
46.0,Dagopname,De dag van de opname,"Op het afgesproken tijdstip kunt u zich melden bij de receptie in de centrale hal. Eventueel kan een vrijwilliger van de gastenbegeleiding u naar de verpleegafdeling begeleiden. In het ZGT-ziekenhuis wordt gemengd verpleegd. Dit betekent dat mannen en vrouwen op één kamer liggen. Voordat u naar de behandelkamer of operatiekamer wordt gebracht, vinden er een aantal voorbereidingen plaats zoals: 
- Een anamnese gesprek. 
- Het eventueel controleren van temperatuur, pols en bloeddruk."
32.0,"Afwijkend uitstrijkje, colposcopie en lisexcissie",Samenvatting,"Een uitstrijkje wordt gemaakt om te onderzoeken of u (een voorstadium van) baarmoederhalskanker hebt. Bij patiënten met een afwijkend uitstrijkje is bijna nooit sprake van ontwikkelde baarmoederhalskanker. Bij sommige uitslagen wordt zelfs vaak géén afwijking gevonden die behandeld moet worden. De uitslag van het uitstrijkje kan niet precies aangeven wat er aan de hand is. Daarom is verder onderzoek nodig. U zult op de polikliniek een gynaecoloog zien die gespecialiseerd is in het onderzoek en de behandeling van patiënten met een afwijkend uitstrijkje. Tijdens uw afspraak stelt een arts u enkele vragen. Ook krijgt u informatie over wat er aan de hand kan zijn en over het virus dat de afwijking veroorzaakte. U krijgt ook informatie over hoe het onderzoek gaat. Bij het onderzoek krijgt u een ‘eendenbek’ ingebracht, zoals bij het maken van het uitstrijkje. De baarmoedermond wordt goed bekeken met een apparaat, u kunt soms meekijken. Er wordt kleurstof bij u ingebracht. Dit kan een wat prikkend gevoel geven. Als er een verkleuring te zien is wordt een klein stukje weefsel weggenomen voor onderzoek. Dit doet geen of maar weinig pijn. Na het onderzoek wordt bekeken wat er verder moet worden afgesproken. Sommige afwijkingen kunnen, als we ze niet behandelen, kanker worden. Als dat gebeurt, duurt dat meestal een aantal jaren. Een voorloper van zo’n afwijking is nog niet gevaarlijk voor uw gezondheid. Afhankelijk van de ernst wordt een afwijking wel of niet behandeld. Een behandeling gebeurt tijdens een nieuwe afspraak. Er wordt weer een ‘eendenbek’ ingebracht. De baarmoedermond wordt weer gekleurd. De baarmoedermond zal worden verdoofd. Zo’n verdoving kan een beetje gevoelig zijn. De behandeling daarna is niet pijnlijk. Met een elektrisch snijdende lus zal de afwijking worden weggehaald. Het wondje kan na de behandeling een beetje bloedverlies geven. Na tien dagen neemt het vocht of bloedverlies wat toe. Na drie tot zes weken zal het wondje genezen zijn. Na de behandeling is het voor een goede genezing beter om geen tampon te gebruiken, niet lang te zwemmen of baden, geen geslachtsgemeenschap te hebben en om niet intensief te sporten. Bij de meeste beroepen is het mogelijk de dag na de ingreep te werken. Een half jaar of een jaar na uw eerste bezoek komt u voor controle bij ons terug. Dit is afhankelijk van uw situatie. Er wordt dan een uitstrijkje gemaakt. Er wordt daarbij gekeken of de baarmoedermond normale cellen heeft. Ook wordt gekeken of het virus (humaan papillomavirus = HPV) dat uw afwijking veroorzaakte verdwenen is."
8.0,"Borstvorming bij mannen _ gynaecomastie, behandeld door de chirurg",Borstvorming bij mannen,Gynaecomastie Deze folder geeft u een globaal overzicht van de mogelijke oorzaken en klachten van borstvorming bij de man en de meest gebruikelijke behandelingsmogelijkheden. Het is goed u te realiseren dat bij het vaststellen van een aandoening de situatie voor iedereen weer anders kan zijn.
12.0,(Langdurig) gebroken vliezen,De functie van het vruchtwater,"Het vruchtwater maakt onder andere groei en beweging mogelijk van de baby, net zoals adembewegingen, drinken en slikken. Als de vliezen zijn gebroken, is er minder vruchtwater aanwezig."
26.0,(Langdurig) gebroken vliezen,Vragen,"Mocht u na het lezen van deze folder nog vragen hebben, uw gynaecoloog, verloskundige, verpleegkundige of huisarts is altijd bereid ze te beantwoorden."
31.0,Acupunctuur  (Nocepta),Nacontrole,In overleg met u wordt een afspraak voor de volgende behandeling gepland. Tijdens deze afspraken bespreekt u het resultaat van de behandeling.
0.0,(Langdurig) gebroken vliezen,Contact opnemen,"Wij vragen u contact op te nemen als: 
- Uw temperatuur hoger dan 37,8o C is; 
- Uw vliezen breken vóór uw 37e zwangerschapsweek; 
- Uw vliezen breken wanneer u om medische reden in het ziekenhuis moet bevallen; 
- Uw vruchtwater niet helder is; 
- U zich ziek of niet lekker voelt; 
- U uw baby onvoldoende voelt bewegen; 
- Bij de laatste controle het hoofdje niet was ingedaald."
61.0,Congenitale heupdysplasie,Informatie,Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx
4.0,Borstkliniek Oost-Nederland,Beeldvormend onderzoek,"Mammografie Er is bijna altijd een mammografie (röntgenfoto van de borsten) nodig. Als u naar aanleiding van de foto’s van het bevolkingsonderzoek bent verwezen, worden aanvullende foto’s gemaakt. Een standaardonderzoek bestaat uit foto’s van beide borsten in twee richtingen, waarbij de borst wordt samengedrukt. Dit kan een pijnlijk gevoel geven. Daarna kan de radioloog besluiten dat het nodig is detailfoto’s te maken van een bepaald gebied. Echografie Meestal wordt aansluitend door de radioloog een echografie gemaakt van de afwijking/het gebied waar het om gaat. Soms is het nodig met echografie het weefsel te vergelijken met de andere borst. Daarnaast kan het nodig zijn om de oksel echografisch te onderzoeken. Echogeleide cystepunctie, naaldbiopsie en cytologie Als bij de echografie een afwijking zichtbaar is, kan het nodig zijn om aanvullend een punctie te doen. 
- Als het om een cyste (goedaardige ophoping met vocht) gaat, kan deze geheel worden leeggezogen. Meestal blijft de cyste daarna weg. Voor het leegzuigen is geen verdoving nodig en het cystevocht hoeft niet onderzocht te worden. 
- Gaat het om een vaste (solide) afwijking, dan kan het nodig zijn om weefselonderzoek te doen. De radioloog haalt dan met een naald een klein reepje weefsel uit de afwijking (naaldbiopsie). Dit kan pijnlijk zijn, daarom wordt voor deze punctie een verdoving gegeven. Als er een afwijking in de oksel te zien is, wordt daarin een prik gegeven om cellen op te zuigen (cytologische punctie). Daarbij is geen verdoving nodig, u voelt slechts een kleine prik. De cellen/het weefsel worden opgestuurd naar de patholoog die het zal beoordelen. Röntgengeleide biopsie Als er op het mammogram een afwijking zichtbaar is, die bij echografie niet kan worden teruggevonden (bijvoorbeeld kleine verkalkingen), dan kan geen echogeleide naaldbiopsie verricht worden. In dat geval wordt een afspraak gemaakt voor het verrichten van een stereotactische naaldbiopsie (naaldbiopsie onder röntgenbegeleiding). De cellen/het weefsel worden opgestuurd naar de patholoog die het zal beoordelen. Nadat alle onderzoeken zijn verricht maakt de secretaresse van de chirurg een afspraak voor een volgend polikliniekbezoek binnen twee werkdagen. Wanneer geen aanvullende punctie is verricht wordt u dezelfde dag nog geïnformeerd over de uitslag en het eventuele noodzakelijke behandelbeleid."
