topic_id,filename,header,section_text
9,Aambeien (heamorroiden),Wat zijn geen aambeien?,"Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg."
35,"Anale huidzwellingen, het verwijderen van (excisie anale skintags)",Medicijnen,"Als u bloedverdunners gebruikt, is er iets meer kans op een bloeding. Bij voorkeur worden deze medicijnen voorafgaand aan de operatie tijdelijk gestopt. Bepreek met uw medisch specialist of verpleegkundig specialist wat voor uw situatie van toepassing is. Wanneer u een hartklepvervanging hebt ondergaan (een 'kunstklep') is het noodzakelijk dat u dit ook aan uw behandelend medisch specialist of verpleegkundig specialist meldt. U moet in dit geval vooraf antibiotica moet innemen. Dit geldt soms ook voor andere hartziekten. Bij twijfel kunt u het beste vooraf contact opnemen met uw huisarts of cardioloog."
45,Abatacept onderhuidse injectie,Abatacept (Orencia®) per infuus,"Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek."
50,"Angiografie, dotterbehandeling en_of stentplaatsing",Stentplaatsing,"Indien een dotterbehandeling onvoldoende resultaat geeft zal de interventieradioloog beoordelen of een stent geplaatst kan worden. Een stent is een buisje van metaal (legering) dat het bloedvat openhoudt. Een stent blijft in tegenstelling tot een dotterballon in uw lichaam achter. Als de behandeling klaar is, wordt het werkbuisje verwijderd. Het ontstane gaatje in de slagader wordt 10 tot 15 minuten met de hand dichtgedrukt of wordt door middel van een soort plugje gesloten. De manier van sluiten van het gaatje is afhankelijk van de conditie van de slagader ter plaatse van de aanprikplaats."
17,Adalimumab (Humira) bij IBD,Werkwijze,"- Haal de voorgevulde pen 10 minuten voor de inspuiting uit de koelkast. 
- Zorg voor een rustige omgeving. 
- Controleer op het medicatieoverzicht de datum van injecteren. 
- Controleer bij de Humira voorgevulde pen de houdbaarheidsdatum en dosering. 
- Was uw handen. 
- Bepaal de prikplaats. 
- Reinig de huid op de gekozen injectieplaats met behulp van bijgeleverd alcoholgaasje. Raak de ontsmette huid niet meer aan voor de inspuiting. 
- Verwijder eerst de grijze dop en vervolgens de bordeaux dop. Pas op; druk niet op de bordeaux activeringsknop voordat de pen goed op de huid is geplaatst. 
- Neem de schoongemaakte huid vast in een plooi en plaats, met de andere hand, de voorgevulde pen in een rechte hoek (90 graden) op de huid, zodanig dat u het venster kunt zien. 
- Duw op de bordeaux knop en hoor een luide “klik”. 
- Blijf duwen en tel 10 seconden. 
- De injectie is klaar als de gele indicator volledig zichtbaar is en niet meer beweegt. 
- Trek daarna de voorgevulde pen rechtop van de injectieplaats. 
- Druk een gaasje gedurende 10 seconden op de injectieplaats totdat het eventuele bloeden is gestopt. Wrijf niet op de injectieplaats, breng eventueel een pleister aan. 
- Gebruik de voorgevulde pen nooit opnieuw! 
- Gooi, na het injecteren, de gebruikte voorgevulde pen direct in de speciale container."
30,Benzocaïne,6. BenzocaïneWat is benzocaïne en waar vind je het?,"Benzocaïne is een bekend en veel gebruikt lokaal anestheticum (verdovingsmiddel). Het wordt gebruikt in farmaceutische preparaten en soms in cosmetica. (Tand)Artsen gebruiken benzocaïne, voornamelijk op de slijmvliezen zoals in de mond, om de huid gevoelloos te maken voor een injectie."
1,Aambeien (heamorroiden),Wat kunt u mogelijk zelf doen om aambeien te voorkomen?,"Aambeien kunnen veel klachten veroorzaken en daarom is het beter om het (opnieuw) uitzakken van aambeiweefsel te voorkomen. Hiervoor gelden de volgende adviezen en leefregels: 
- Eet gezond en gevarieerd. Eet vezelrijk (granen, fruit en groenten). Voor extra informatie zie folder ‘Vezelverrijkte voeding’. Drink minstens 1½ à 2 liter per dag. Dit houdt de stoelgang soepel. 
- Ga direct naar het toilet als u aandrang heeft. Anders wordt de ontlasting droger en harder. Stel uw stoelgang dus niet uit. Voorkom hard persen en langdurig toiletbezoek. Probeer te ontspannen als u op het toilet zit. 
- Ga bij jeuk of een branderig gevoel niet overdadig wassen met zeep. Dit kan jeuk en irritatie veroorzaken en/of verergeren. Wel helpt het om de anus met lauw water af te spoelen en daarna goed droog te deppen of de anus te reinigen met zoete olie. Gebruik alleen zacht toiletpapier en geen vochtig toiletpapier. Overgevoeligheid voor bepaalde bestanddelen komt vaak voor. 
- Regelmatig een warm bad zorgt ervoor dat de anus zich kan ontspannen. Ook als er klachten zijn als branderigheid, pijn, jeuk en eczeem rond de anus is een warm zitbad een goed middel ter bestrijding van de klachten (hygiëne). Probeer niet te krabben. Gebruik katoenen ondergoed, dat absorbeert beter en beschadigd de huid minder. 
- LET OP: bij bepaalde zalven en zetpillen. Deze kunnen de pijn, branderigheid en/of de jeuk doen verzachten of (tijdelijk) verdwijnen, maar zullen de aambeien zelf niet doen verdwijnen. 
- Zorg voor voldoende lichaamsbeweging, zeker als u een zittend leven leidt. En als u te zwaar bent, probeer wat af te vallen. 
- Probeer het uitgezakte aambeiweefsel (als u dat heeft) voorzichtig naar binnen te duwen. Soms kan de pijn daardoor verminderen en is er minder kans op inklemming en stuwing in de bloedvaten."
22,Adalimumab (Humira) bij IBD,Algemeen,De oorzaak van ziekte van de ziekte van Crohn en colitis ulcerosa is niet bekend. Elke behandeling met medicijnen is gericht op het onderdrukken van ontstekingsreacties. Hierdoor verminderen de klachten en is de kans op complicaties kleiner. Medicijnen kunnen de darmontsteking onderdrukken maar deze kunnen de ziekte niet definitief genezen. Na het afbouwen van of stoppen met medicijnen kunnen de klachten weer terugkomen.
24,Acnes operatie,Behandeling,"Omdat de pijn zo verschilt per persoon is er niet één behandeling voor ACNES. Sommige patiënten zijn al gerustgesteld nadat deze diagnose is gesteld. Zij kunnen met behulp van adviezen hun activiteiten aanpassen op de pijn. Wanneer de pijn het dagelijks leven toch ernstig verstoort, wordt er wel een behandeling voorgesteld. Grofweg zijn er twee behandelmogelijkheden: (verdovende) injecties of een operatie. Zenuwblokkade Bij sommige pijnproblemen probeert de arts eerst door één of meer injecties vast te stellen welke zenuw de pijn veroorzaakt. Met lokale injecties wordt de beknelde zenuwtak als het ware verdoofd (zenuwblokkade). Het verdovingsmiddel in deze injectie werkt drie tot acht uur. Gedurende die tijd moet u zelf goed opletten of de pijn vermindert en of uw dagelijkse activiteiten nu beter verlopen. Vaak werkt dit direct en zijn patiënten zeer opgelucht. Meestal raakt de verdoving na een aantal uren uitgewerkt. Opvallend is echter dat bij een belangrijk deel van de mensen het pijnstillende effect langer aanhoudt dan de bekende werkingsduur van de ingespoten verdoving. Sommigen melden zelfs dagen tot weken. Bij de mensen bij wie de pijn terugkeert, stellen wij voor om herhaalde injecties te doen. Het uiteindelijke resultaat van de behandeling is meestal pas na een paar dagen tot weken goed te beoordelen. Wij zullen u na enkele weken op de polikliniek terug zien of telefonisch contact met u opnemen om het resultaat van de behandeling te bespreken. Wij kunnen niet garanderen dat u van de pijn afkomt. Het kan zijn dat uw pijnklacht niet met deze injectietherapie kan worden behandeld. Behandeling van pijnklachten die reeds langere tijd bestaan, is vaak een complex en moeizaam verlopend proces. Indien de pijn niet of nauwelijks vermindert en alternatieve behandelingen niet werken, kan eventueel een operatie uitgevoerd worden. De operatieve behandeling De operatie vindt meestal plaats onder algehele narcose. Voor de operatie wordt het pijnpunt zorgvuldig met een stift aangegeven. Op deze plaats wordt een kleine dwarse snede in de huid gemaakt. De betreffende zenuw wordt in eerste instantie los gemaakt van de spierbekleding. Op de plaats waar de zenuw door de rechte buikspier loopt, wordt de zenuw doorgesneden. Aan het einde van de operatie worden de wonden plaatselijk verdoofd. Na de operatie is de pijn daardoor meestal goed te verdragen, vooral in combinatie met pijnstillers thuis zoals voorgeschreven. Het is een relatief kleine ingreep die in principe in dagbehandeling kan plaatsvinden. Effect van de operatie De meeste patiënten zijn na de ingreep vrijwel direct van de oorspronkelijke pijn af. Soms duurt het langer voordat de pijn verdwijnt, de pijn dooft dan als het ware uit. Het pijnsysteem moet dan na lange tijd langzaam tot rust komen. Bij een deel van de patiënten, blijkt de operatie geen effect te hebben gehad. Dit kan pas na enkele weken, wanneer de wond goed genezen is, beoordeeld worden. Er kan dan gekozen worden voor een tweede operatie waarbij de zenuw als het ware dieper wordt doorgeknipt."
51,Adalimumab (Humira) bij IBD,Adalimumab (Humira®),"Bij de ziekte van Crohn en Colitis Ulcerosa Uw behandelend medisch of verpleegkundig specialist heeft met u gesproken over het gebruik van Adalimumab (Humira®). In deze folder krijgt u informatie over de werking en het gebruik van dit medicijn en wat u moet doen in geval van bijwerkingen. Het is echter géén vervanging van de bijsluiter. Hebt u na het lezen van deze folder nog vragen, dan kunt u daarmee terecht bij uw behandelend medisch of verpleegkundig specialist."
