topic_id,filename,header,section_text
10,Adviezen toiletgedrag ontlasten,Adviezen als de ontlasting niet goedkomt,"- Adem een aantal keren rustig in en uit, en beweeg uw buik hierbij goed mee (buikademhaling). 
- Daarna probeert u nogmaals op de juiste manier te persen. 
- Als dan de ontlasting nog niet komt, kantelt u 10 keer het bekken voor- en achterover in het ritme van de ademhaling: o tijdens de uitademing het bekken achterover kantelen en de buik intrekken o tijdens de inademing het bekken voorover kantelen en de buik loslaten. Doe dit in een rustig tempo: door de wisselende druk ontstaat als het ware een massage van de darmen 
- Komt de ontlasting dan niet, terwijl u toch behoorlijke aandrang heeft, probeer dan ongeveer 10 minuten intensief te bewegen. 
- Ga daarna weer naar het toilet, ga ontspannen zitten en probeer of de ontlasting wil komen met de hierboven beschreven tips. 
- Als er na ongeveer 5 minuten nog niets is, ga dan niet hard persen, maar wacht een volgende gelegenheid af. Door dwingen neemt de reflex juist af! Neem tussendoor wat lichaams-beweging."
42,Abatacept onderhuidse injectie,Tandheelkundige ingrepen,"Abatacept mag u meestal in de periode voor, tijdens en na een tandheelkundige ingreep blijven gebruiken. Bij bloedige ingrepen kan wel geadviseerd worden om antibiotica te gebruiken, om het risico op een infectie te verlagen. Het is daarom verstandig om uw reumatoloog tijdig te informeren dat u een ingreep moet ondergaan. Informeer tijdig degene die de ingreep uitvoert dat u wordt behandeld met abatacept."
29,Acnes (Nocepta),Voorbereiding,"- Voor deze behandeling hoeft u niet nuchter te zijn 
- Overige medicatie kunt u gewoon innemen (tot een uur voor de behandeling) ook bloedverdunners, tenzij de pijnspecialist andere afspraken met u heeft gemaakt 
- Na de behandeling mag u de rest van de dag niet actief deelnemen aan het verkeer 
- Regel daarom van tevoren dat er iemand met u meerijdt 
- Draag makkelijk zittende kleding De behandeling De behandeling vindt plaats in de behandelkamer van Nocepta. U kunt zich vooraf melden bij Nocepta in de wachtruimte. Vervolgens wordt u naar de behandelkamer gebracht. Tijdens de behandeling ligt u op uw rug. Met het echoapparaat wordt de juiste positie van de pijnplek bepaald en gemarkeerd. De huid wordt lokaal verdoofd met verdovingsvloeistof. Hierna zal de naald middels echogeleiding worden ingebracht naar de pijnplek in de buikwand. Bij de behandeling middels injectie wordt er een hoeveelheid verdovend medicijn in de buikwand achtergelaten. Dit kunt u voelen als een drukverhoging in de buik. Hierna is de behandeling klaar. Uw buikhuid voelt vaak direct verdoofd aan. Bij de behandeling middels PRF controleert de pijnspecialist de positie van de naald met kleine teststromen. Er wordt aan u gevraagd of u tintelingen voelt. Gezocht wordt naar de plaats waar normaal de pijn optreedt. Als de juiste positie is gevonden wordt de naaldpunt verwarmd door een elektrisch stroompje, dit duurt 3 minuten. Hierna is de behandeling klaar. Tijdens de behandeling kunt u een wat prikkend en brandend gevoel ervaren. Bij de behandeling middels cryoleasie wordt de punt van de naald bevroren gedurende 2 keer 3 minuten."
35,"Anale huidzwellingen, het verwijderen van (excisie anale skintags)",Medicijnen,"Als u bloedverdunners gebruikt, is er iets meer kans op een bloeding. Bij voorkeur worden deze medicijnen voorafgaand aan de operatie tijdelijk gestopt. Bepreek met uw medisch specialist of verpleegkundig specialist wat voor uw situatie van toepassing is. Wanneer u een hartklepvervanging hebt ondergaan (een 'kunstklep') is het noodzakelijk dat u dit ook aan uw behandelend medisch specialist of verpleegkundig specialist meldt. U moet in dit geval vooraf antibiotica moet innemen. Dit geldt soms ook voor andere hartziekten. Bij twijfel kunt u het beste vooraf contact opnemen met uw huisarts of cardioloog."
5,Aambeien (heamorroiden),Wat zijn de behandelingsmogelijkheden?,"Een veel toegepaste behandeling is het terugbrengen van de zwellichamen/het aambeiweefsel naar hun oorspronkelijke plaats. Het uitzakken is dan verholpen en de aambeien kunnen dan ook geen klachten meer geven. Proctoscopie met rubberbandligatie Een tegenwoordig veel toegepaste methode is het afbinden van het overtollige slijmvlies boven het aambeiweefsel met behulp van rubber bandjes (rubberbandligatie). Het slijmvlies sterft door het elastiekje binnen enkele dagen af. Dan laat het rubberbandje los en verlaat het lichaam met de ontlasting. De behandeling kan poliklinisch in ongeveer 5-10 minuten gebeuren. Vaak is er enkele dagen/weken na de eerste behandeling al een goed resultaat te verwachten, maar soms moet de behandeling herhaald worden of wordt er in overleg met u toch besloten over te gaan tot een operatie. Omdat het slijmvlies geen pijnzenuwen bevat, voelt u nauwelijks iets van de behandeling. Een gevoel van aandrang en lichte buikkrampen zijn wel gebruikelijk in de eerste dagen na het plaatsen van de bandjes. Indien er tijdens de behandeling toch sprake is van veel pijn, dan kan ervoor gekozen worden om de behandeling op een ander moment op de operatiekamer onder (algehele) verdoving uit te voeren. Laserbehandeling bij aambeien Het doel van de laserbehandeling is het gecontroleerd krimpen van de aambeien met behoud van de functie. De laserdraad wordt op de operatiekamer met behulp van de proctoscoop in het aambeiweefsel gebracht. De laser geeft energie (hitte) af in de aanvoerende vaten van de aambei en in het aambeiweefsel. Door dit effect kan de aambei niet meer goed doorbloeden en zal deze direct ongeveer 30% afnemen in grootte en verder krimpen. Dit hele proces zet zich ook voort na de laserbehandeling en kan zelfs na zes weken nog merkbaar zijn. Deze behandeling neemt, afhankelijk van de grootte van het aambeiweefsel, over het algemeen 15 tot 30 minuten in beslag. Afhankelijk van de complexiteit van de aambeien, is de behandeling succesvol bij ongeveer 70% van de patiënten. Voor uitgebreide informatie over de rubberbandligatie, zie; folder ‘Proctologiepolikliniek’. Voor uitgebreide informatie over aambei- operaties, zie; folder ‘Longo/PPH procedure’. Voor informatie over de behandeling waarbij aambeien operatief verwijderd worden zie folder `hemorroidectomie`. Voor uitgebreide informatie over de coloscopie kunt u contact opnemen met de polikliniek interne geneeskunde"
16,Ambulante flebectomie volgens Müller,Voor de behandeling,"De volgende punten zijn belangrijk voorafgaand aan de behandeling: 
- Draag op de dag van behandeling makkelijke (lage) schoenen en ruime kleding. Door de watten onder de kous(en) past een strakke broek of schoen soms niet meer. 
- Tijdens de behandeling worden kleefstrips gebruikt. Het verwijderen hiervan kan pijnlijk zijn bij beharing. Daarom raden wij aan eventueel twee dagen voor de behandeling uw benen te scheren. 
- Smeer geen crème of zalf op uw benen op de dag van behandeling. 
- Na de behandeling mag u niet zelf naar huis rijden. Hierom is het belangrijk dat u vooraf vervoer naar huis regelt."
34,"AC kuur à 2 weken, patiënteninformatie",Het verloop van de AC kuur,U begint met een chemokuur. Deze kuur bestaat uit twee medicijnen. 1. Adriamycine (=Doxorubicine) 2. Cyclofosfamide
41,Adalimumab (Humira) bij IBD,Gebruik met andere geneesmiddelen,"TNF-blokkerende middelen kunnen voor zover bekend veilig worden gebruikt naast andere geneesmiddelen. Behalve met andere biologicals; Tofacitinib, Anakinra en Abatacept. De combinatie met andere afweeronderdrukkende medicijnen geeft een licht hogere kans op infecties. Overleg bij twijfel met uw arts of verpleegkundige. TNF- blokkerende middelen kunnen voor zover bekend veilig worden gebruikt naast andere geneesmiddelen, met uitzondering van andere biologicals, tofacitinib, Anakinra en Abatacept. De combinatie met andere afweeronderdrukkende medicijnen geeft een licht hogere kans op infecties."
36,Acnes (Nocepta),Resultaat,Het maximale effect van de behandeling is 6-8 weken na behandelen te beoordelen. De gebruikte verdoving werkt gemiddeld na 1-2 uur uit. Hierna komen de oorspronkelijke pijnklachten weer terug. Gemiddeld duurt het 2-3 weken voordat er een effect van de behandeling met stroom of bevriezing merkbaar wordt. Er volgt altijd een controle afspraak 6-8 weken na de behandeling om het tot dat moment behaalde resultaat te bespreken.
51,Adalimumab (Humira) bij IBD,Adalimumab (Humira®),"Bij de ziekte van Crohn en Colitis Ulcerosa Uw behandelend medisch of verpleegkundig specialist heeft met u gesproken over het gebruik van Adalimumab (Humira®). In deze folder krijgt u informatie over de werking en het gebruik van dit medicijn en wat u moet doen in geval van bijwerkingen. Het is echter géén vervanging van de bijsluiter. Hebt u na het lezen van deze folder nog vragen, dan kunt u daarmee terecht bij uw behandelend medisch of verpleegkundig specialist."
