filename,page number,page text
Afdeling medische psychologie,page_1,"Title: Het nagesprek
In het nagesprek worden de resultaten van het onderzoek met u besproken. De resultaten van het testonderzoek worden gerelateerd aan uw klachten, dagelijks functioneren en eventueel aan uw levensgeschiedenis (bij kinderen ontwikkelingsgeschiedenis). Het nagesprek voert u alleen of, in overleg, in aanwezigheid met anderen. Voor kinderen geldt dat tot 12 jaar uw kind niet bij het nagesprek aanwezig is. Is uw kind 12 jaar of ouder dan gebeurt dit in overleg. Vanaf 16 jaar mag uw kind beslissen of u bij het nagesprek aanwezig bent. Soms geeft de duidelijkheid over de oorzaak van de klachten voldoende aangrijpingspunten en is verdere behandeling niet nodig. De psycholoog kan u eventueel adviezen geven hoe u het beste om kunt gaan met de situatie. Vaak volstaan adviezen niet en is verdere behandeling nodig. Afhankelijk van de aard en ernst van de problematiek kan de behandeling vervolgd worden op de afdeling medische psychologie of zal de psycholoog u een voorstel doen voor verwijzing.

Title: Psychologische behandelingen
De afdeling medische psychologie kent verschillende behandelvormen. Deze worden zowel klinisch (bij opname) als poliklinisch aangeboden. Het gaat daarbij om verschillende vormen van individuele therapie en groepsbehandeling. 
-

Title: Individuele therapie
Bij individuele therapie werkt de psycholoog kortdurend aan uw veranderingsproces. De invalshoek die daarbij gekozen wordt hangt af van uw probleem en uw hulpvraag. De behandeldoelen kunnen verschillen. Soms staat gedragsverandering en het aanleren van vaardigheden voorop. In andere situaties kan het vooral gaan om het vergroten van inzicht in de achtergrond van uw problemen of klachten. De nadruk kan ook liggen op de manier van denken over klachten, problemen of beperkingen. 
-

Title: Groepsbehandeling
Bij groepsbehandeling kan het accent liggen op het verstrekken van informatie (psycho- educatie), aanleren van vaardigheden, leren hanteren van uw problemen en lichamelijke klachten (coping) en komen tot realistische verwachtingen en gedachten.

Title: Samenwerking
De psychologisch medewerkers kunnen bijdragen aan een deel van uw behandeling. Bijvoorbeeld door het oefenen van ontspanningstechnieken. Bij klinische behandeling wordt samengewerkt met andere afdelingen binnen het ziekenhuis. Er zijn altijd meerdere disciplines bij uw behandeling betrokken. In afstemming met het team wordt in overleg met u de gezamenlijke richting bepaald tot realisatie van uw veranderingsproces of dat van uw kind.

Title: Behandeling van kinderen
Bij behandeling van uw kind werkt de psycholoog meestal met een combinatie van praten en spel. Dit om uw kind en zijn of haar problemen te begrijpen en de gewenste veranderingen te laten ontstaan. Ook kan er gekozen worden voor behandeling waarbij u als ouder/verzorger een centrale rol inneemt. U krijgt dan begeleiding in de omgang met het probleem van uw kind waarmee u uw kind helpt om tot verandering te komen.

Title: Beroepsgeheim
De psycholoog heeft geheimhoudingsplicht en verstrekt zonder uw toestemming geen informatie aan derden (buiten het behandelteam). Dit blijft gelden ook na het beëindigen van het contact. De psycholoog mag de geheimhoudingsplicht alleen doorbreken als hij of zij gegronde redenen heeft om te menen dat het doorbreken van de geheimhouding het enige en laatste middel is om direct gevaar voor personen te voorkomen. Of wanneer hij of zij door wettelijke bepalingen of een rechterlijke beslissing daartoe wordt gedwongen."
Dagopname,page_1,"Title: De dag van de opname
Op het afgesproken tijdstip kunt u zich melden bij de receptie in de centrale hal. Eventueel kan een vrijwilliger van de gastenbegeleiding u naar de verpleegafdeling begeleiden. In het ZGT-ziekenhuis wordt gemengd verpleegd. Dit betekent dat mannen en vrouwen op één kamer liggen. Voordat u naar de behandelkamer of operatiekamer wordt gebracht, vinden er een aantal voorbereidingen plaats zoals: 
- Een anamnese gesprek. 
- Het eventueel controleren van temperatuur, pols en bloeddruk.

Title: Na de behandeling
Na de behandeling of operatie komt u terug op de dagopname. De verpleegkundige zorgt ervoor dat de pijnstilling na de behandeling of operatie voldoende is. U krijgt als u voldoende hersteld bent wat te eten en te drinken op de dagopname. Wanneer u weer naar huis kunt, wordt in overleg met u, uw contactpersoon gebeld. Wanneer u nog geen afspraak heeft voor nacontrole op de polikliniek, zorgt de verpleegkundige dat dit geregeld wordt. Verder krijgt u op de afdeling dagopname ontslaginstructies voor thuis mee.

Title: Belangrijk om te weten
Op de afdeling dagopname is er geen bezoekregeling. Voor de rust en privacy van u en andere patiënten mag uw begeleider in principe niet op de kamer wachten (na de) behandeling of operatie. Uw begeleiding kan eventueel elders in het ziekenhuis wachten. U kunt uw mobiele telefoon gewoon gebruiken. Het ZGT-ziekenhuis maakt gebruik van gratis Wifi.

Title: Wat te doen bij complicaties thuis?
Doen zich na de behandeling of operatie problemen voor, dan kunt u de eerste 24 uur contact opnemen met de dagopname. Bereikbaar van maandag tot en met vrijdag van 8.00 tot 17.30 uur. 
- Locatie Almelo, telefoonnummer 088 708 36 67. 
- Locatie Hengelo, telefoonnummer 088 708 55 13. Heeft u klachten en/of vragen die niet kunnen wachten tot de volgende werkdag, dan belt u met de afdeling spoedeisende hulp, telefoonnummer 088 708 78 78.

Title: Veiligheid
ZGT ziet veiligheid als basisvereiste voor goede zorg en dienstverlening. Alle patiënten kunnen er op vertrouwen dat zij veilige en goede zorg ontvangen. In het teken van de patiëntveiligheid en om fouten te voorkomen worden een aantal zaken meerdere keren gecontroleerd. Dit gebeurt door verschillende medewerkers. Zo controleren zij onder andere uw naam, geboortedatum, medicijngebruik en voor welke behandeling of operatie u komt.

Title: Huisregels
ZGT verleent u de best mogelijke zorg. Om dat goed te laten verlopen hanteert ZGT een gedragscode en huisregels. Op zgt.nl/huisregels leest u hierover meer.

Title: Suggesties en klachten
Wij vinden het belangrijk dat patiënten en bezoekers tevreden zijn. Toch kan het voorkomen dat u niet tevreden bent over hoe het in ons ziekenhuis gaat. Als u klachten heeft over uw verzorging, behandeling of hoe er met u wordt omgegaan, bespreek dit met de persoon om wie het gaat of iemand van de afdeling. Zo kan de klacht of het probleem misschien direct worden verholpen. Ook kunt u gebruikmaken van onze klachtenregeling. Kijk op onze website voor meer informatie. zgt.nl/uwmening

Title: Check uw dossier op MijnZGT
MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt."
"Afwijkend uitstrijkje, colposcopie en lisexcissie",page_0,"Title: Afwijkend uitstrijkje, kolposcopie en lisexcisie
U heeft een afspraak bij een gynaecoloog van ZGT omdat u een afwijkend uitstrijkje heeft. Wij willen u graag voorbereiden op uw bezoek. Wij sturen u daarom deze folder met informatie.

Title: Samenvatting
Een uitstrijkje wordt gemaakt om te onderzoeken of u (een voorstadium van) baarmoederhalskanker hebt. Bij patiënten met een afwijkend uitstrijkje is bijna nooit sprake van ontwikkelde baarmoederhalskanker. Bij sommige uitslagen wordt zelfs vaak géén afwijking gevonden die behandeld moet worden. De uitslag van het uitstrijkje kan niet precies aangeven wat er aan de hand is. Daarom is verder onderzoek nodig. U zult op de polikliniek een gynaecoloog zien die gespecialiseerd is in het onderzoek en de behandeling van patiënten met een afwijkend uitstrijkje. Tijdens uw afspraak stelt een arts u enkele vragen. Ook krijgt u informatie over wat er aan de hand kan zijn en over het virus dat de afwijking veroorzaakte. U krijgt ook informatie over hoe het onderzoek gaat. Bij het onderzoek krijgt u een ‘eendenbek’ ingebracht, zoals bij het maken van het uitstrijkje. De baarmoedermond wordt goed bekeken met een apparaat, u kunt soms meekijken. Er wordt kleurstof bij u ingebracht. Dit kan een wat prikkend gevoel geven. Als er een verkleuring te zien is wordt een klein stukje weefsel weggenomen voor onderzoek. Dit doet geen of maar weinig pijn. Na het onderzoek wordt bekeken wat er verder moet worden afgesproken. Sommige afwijkingen kunnen, als we ze niet behandelen, kanker worden. Als dat gebeurt, duurt dat meestal een aantal jaren. Een voorloper van zo’n afwijking is nog niet gevaarlijk voor uw gezondheid. Afhankelijk van de ernst wordt een afwijking wel of niet behandeld. Een behandeling gebeurt tijdens een nieuwe afspraak. Er wordt weer een ‘eendenbek’ ingebracht. De baarmoedermond wordt weer gekleurd. De baarmoedermond zal worden verdoofd. Zo’n verdoving kan een beetje gevoelig zijn. De behandeling daarna is niet pijnlijk. Met een elektrisch snijdende lus zal de afwijking worden weggehaald. Het wondje kan na de behandeling een beetje bloedverlies geven. Na tien dagen neemt het vocht of bloedverlies wat toe. Na drie tot zes weken zal het wondje genezen zijn. Na de behandeling is het voor een goede genezing beter om geen tampon te gebruiken, niet lang te zwemmen of baden, geen geslachtsgemeenschap te hebben en om niet intensief te sporten. Bij de meeste beroepen is het mogelijk de dag na de ingreep te werken. Een half jaar of een jaar na uw eerste bezoek komt u voor controle bij ons terug. Dit is afhankelijk van uw situatie. Er wordt dan een uitstrijkje gemaakt. Er wordt daarbij gekeken of de baarmoedermond normale cellen heeft. Ook wordt gekeken of het virus (humaan papillomavirus = HPV) dat uw afwijking veroorzaakte verdwenen is."
"Borstvorming bij mannen _ gynaecomastie, behandeld door de chirurg",page_0,"Title: Borstvorming bij mannen
Gynaecomastie Deze folder geeft u een globaal overzicht van de mogelijke oorzaken en klachten van borstvorming bij de man en de meest gebruikelijke behandelingsmogelijkheden. Het is goed u te realiseren dat bij het vaststellen van een aandoening de situatie voor iedereen weer anders kan zijn.

Title: Fysiologische borstvorming bij mannen
Gynaecomastie voelt meestal aan als een elastische zwelling van ongeveer twee á drie centimeter achter de tepel. Er zijn verschillende fasen in het leven waarin borstvorming bij de man kan ontstaan. De zwellingen zijn niet ‘abnormaal’, maar een normale reactie van de borstklier op de hormonen. Daarom noemt men dit fysiologische (normale) borstvorming. In de babyfase zwellen kleine klierschijfjes achter de tepel op. In de puberfase kunnen onder invloed van hormonen de borstklieren verder opzwellen. Dat kan bij beide borstgebieden of slechts bij één borstklier het geval zijn. Meestal is deze vergroting kortdurend en verdwijnen de zwellingen na een aantal maanden tot jaren. Vanaf middelbare leeftijd komt het ook voor dat de borstklier vergroot.

Title: Niet-fysiologische (abnormaal) borstvorming bij mannen
Wanneer borstvergroting optreedt die niet binnen de normale reactie van het lichaam valt, spreken we van niet-fysiologisch. Oorzaken van niet-fysiologische borstvorming bij mannen zijn: 
- borstvorming door vetafzetting; 
- bijwerking van bepaalde medicijnen; 
- reactie op stofwisselingsveranderingen bij lever, nier, schildklierziekte; 
- verandering in de productie van hormonen (te geringe productie door de zaadbal) of bij het slikken van hormonen; 
- hormoonproducerende gezwellen van zaadbal of luchtwegen; 
- borstkanker bij de man.

Title: Welke klachten kan borstvorming bij de man geven?
Er kunnen cosmetische bezwaren zijn. Borstvorming kan ook hinderlijk zijn, bijvoorbeeld bij het dragen van bretels of van een rugzak. Sommige mannen hebben pijnklachten door de borstkliervergroting. Maar meestal zal het ontdekken van extra borstvorming de man een gevoel van ongerustheid geven.

Title: Behandeling/onderzoek
Bij fysiologische gynaecomastie in de baby- en puberfase volstaat de arts meestal met een lichamelijk onderzoek. Wanneer er echter kans op niet-fysiologische borstvorming bestaat vindt er aanvullend onderzoek plaats: 
- er kan bloed worden afgenomen om bepaalde stoffen in het bloed te onderzoeken; 
- meestal wordt een röntgenfoto en een echo van de borstklier gemaakt; 
- ook kan de arts een punctie uit laten voeren om weefsel te verkrijgen die onder de microscoop onderzocht worden. Bij een punctie wordt met een holle naald in de zwelling geprikt en worden enkele cellen opgezogen."
(Langdurig) gebroken vliezen,page_0,"Title: (Langdurig) gebroken vliezen
Als de vliezen gebroken zijn, bij een zwangerschapsduur van 37 tot 42 weken, kan het zijn dat de weeën nog even op zich laten wachten en de bevalling dus nog niet begint. De kans is wel groot dat u spontaan weeën krijgt binnen 24 uur. In deze folder leest u wat u kunt verwachten en wat u kunt doen wanneer uw vliezen gebroken zijn.

Title: Vruchtwater
Het vruchtwater is normaal gesproken helder/grijs-wit van kleur met witte vlokjes erin. Wanneer er bijmenging van ontlasting van de baby optreedt kan het vruchtwater groen of bruin verkleuren. Een rode verkleuring ontstaat door bijmenging van wat bloed. Het vruchtwater wordt steeds opnieuw aangemaakt, dus u kunt steeds een beetje vruchtwater blijven verliezen, nadat de vliezen zijn gebroken.

Title: De functie van het vruchtwater
Het vruchtwater maakt onder andere groei en beweging mogelijk van de baby, net zoals adembewegingen, drinken en slikken. Als de vliezen zijn gebroken, is er minder vruchtwater aanwezig.

Title: Risico’s
Het breken van de vliezen geeft een verhoogde kans op een infectie in de baarmoeder. Dit komt omdat de natuurlijke afscherming voor de buitenwereld die de vliezen aan de baarmoeder biedt, nu verbroken is.

Title: Adviezen
Zijn uw vliezen gebroken? Dan adviseren wij u, om bijvoorbeeld het risico op infectie te verkleinen, het volgende te doen: 
- Drie keer per dag rectaal uw temperatuur meten; 
- Verwissel regelmatig uw kraamverband (altijd na toiletbezoek); 
- Geen tampons gebruiken; 
- Geen geslachtsgemeenschap; 
- Ga niet zwemmen of in bad (douchen mag wel).

Title: Contact opnemen
Wij vragen u contact op te nemen als: 
- Uw temperatuur hoger dan 37,8o C is; 
- Uw vliezen breken vóór uw 37e zwangerschapsweek; 
- Uw vliezen breken wanneer u om medische reden in het ziekenhuis moet bevallen; 
- Uw vruchtwater niet helder is; 
- U zich ziek of niet lekker voelt; 
- U uw baby onvoldoende voelt bewegen; 
- Bij de laatste controle het hoofdje niet was ingedaald.

Title: Langdurig gebroken vliezen
Wij spreken van langdurig gebroken vliezen wanneer de vliezen langer dan 24 uur gebroken zijn. Dit is een reden om in het ziekenhuis te bevallen. Voor, tijdens en na de bevalling houden wij uw conditie en die van uw baby in de gaten. Binnen 24 tot 48 uur na het breken van de vliezen wordt u opgenomen op de afdeling geboorte. Daar wordt gestart met het inleiden van de bevalling. Meer informatie vindt u in de folders “Inleiding van de baring” en “Bevalling en kraambed”. Bij controle of bij opname in het ziekenhuis kunt u het volgende verwachten: 
- De indaling van de baby wordt uitwendig bepaald, soms volgt een echo; 
- Er wordt een CTG (cardiotocogram) gemaakt om de conditie van de baby en de weeën activiteit te beoordelen; 
- Vaak wordt het vruchtwaterverlies beoordeeld door onderzoek. Hierbij letten we op geur en kleur van het vruchtwater; 
- Er wordt een vaginakweek afgenomen en zo nodig wordt de urine onderzocht; 
- We meten uw temperatuur en polsslag; 
- Een inwendig onderzoek wordt in principe niet verricht, om de kans op infectie te beperken."
(Langdurig) gebroken vliezen,page_1,"Title: Wat als de vliezen langdurig gebroken zijn
In 95 procent van de gevallen komt de bevalling binnen 72 uur op gang. Wanneer het langer duurt, neemt de kans op een infectie bij moeder en ongeboren baby iets toe. U kunt ervoor kiezen de baring in te laten leiden, of het spontane begin van de bevalling af te wachten. Het volgende is hierbij van belang: 
- Bij het inleiden van de baring bij een eerste kind is er een iets hogere kans op langdurige weeën en kunstverlossing. De kans op een keizersnede is even groot als bij afwachten; 
- Als u het spontane begin van de bevalling wil afwachten mag dat, maar het advies is om niet langer dan 72 uur af te wachten vanwege het oplopen van het infectierisico; 
- Als u tussen 24 tot 48 uur na het breken van de vliezen ingeleid wilt worden, mag dat ook. We spreken hiervoor dan een gunstig tijdstip af; 
- Als u geen uitgesproken keuze heeft, wordt de inleiding gepland op de ochtend nadat de vliezen 48 uur gebroken zijn.

Title: Wat doen bij langdurig gebroken vliezen
- Drie keer per dag rectaal uw temperatuur meten; 
- Verwissel regelmatig uw kraamverband (altijd na toiletbezoek); 
- Geen tampons gebruiken; 
- Geen geslachtsgemeenschap; 
- Ga niet zwemmen of in bad (douchen mag wel); 
- Elke 24 uur worden de controles in het ziekenhuis herhaald (CTG, temperatuur en pols).

Title: Controles bij uw baby
Omdat er bij langdurig gebroken vliezen een verhoogde kans op infectie bestaat, wordt u samen met uw baby na de bevalling minimaal twaalf uur opgenomen op de afdeling moeder en kind. Ook komt de kinderarts langs om uw baby na te kijken. In overleg met de kinderarts wordt ontslag afgesproken. Als uw baby mee naar huis mag, moet u contact opnemen met uw verloskundige als uw baby: 
- Slecht drinkt; 
- Regelmatig kreunt; 
- Een te snelle of te langzame ademhaling heeft; 
- Slap is; 
- Een nare kleur heeft (grauw); 
- Geen constante temperatuur tussen de 36.5º C en 37.5º C heeft, maar een sterk wisselende temperatuur. Meer informatie vind u in de folder “Vroege infectie herkennen bij uw baby”.

Title: Vragen
Mocht u na het lezen van deze folder nog vragen hebben, uw gynaecoloog, verloskundige, verpleegkundige of huisarts is altijd bereid ze te beantwoorden.

Title: Algemene informatie Telefoonnummers
- Voor zwangeren is onze polikliniek/afdeling verloskunde op locatie Almelo bereikbaar op nummer: 088 708 44 16

Title: Check uw dossier op MijnZGT
MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt."
Acupunctuur  (Nocepta),page_1,"Title: Vragen
Als u voorafgaand aan uw behandeling medisch inhoudelijke vragen heeft óf vragen heeft over bijwerkingen na een behandeling anders dan genoemd in de folder, dan kunt u gebruik maken van het telefonisch spreekuur van Nocepta op maandag t/m vrijdag tussen 11:00 en 12:00 uur  088-708 7060. Het secretariaat is op werkdagen te bereiken van 08:30-12:00 uur en van 13:00-15:30 uur op  088-708 5080.

Title: Nacontrole
In overleg met u wordt een afspraak voor de volgende behandeling gepland. Tijdens deze afspraken bespreekt u het resultaat van de behandeling.

Title: Vergoeding
Acupunctuur wordt niet vergoed vanuit de basisverzekering. U betaalt de kosten van € 55,60 vooraf aan de behandeling bij de secretaresse van de polikliniek Pijnbestrijding. Er staat een pin automaat bij de receptie. U krijgt een nota mee voor declaratie bij uw zorgverzekeraar. De vergoeding van de zorgverzekeraar is afhankelijk van hoe u verzekerd bent. Informeert u daarom vooraf bij uw zorgverzekeraar of deze behandeling wordt vergoed."
(Langdurig) gebroken vliezen,page_0,"Title: (Langdurig) gebroken vliezen
Als de vliezen gebroken zijn, bij een zwangerschapsduur van 37 tot 42 weken, kan het zijn dat de weeën nog even op zich laten wachten en de bevalling dus nog niet begint. De kans is wel groot dat u spontaan weeën krijgt binnen 24 uur. In deze folder leest u wat u kunt verwachten en wat u kunt doen wanneer uw vliezen gebroken zijn.

Title: Vruchtwater
Het vruchtwater is normaal gesproken helder/grijs-wit van kleur met witte vlokjes erin. Wanneer er bijmenging van ontlasting van de baby optreedt kan het vruchtwater groen of bruin verkleuren. Een rode verkleuring ontstaat door bijmenging van wat bloed. Het vruchtwater wordt steeds opnieuw aangemaakt, dus u kunt steeds een beetje vruchtwater blijven verliezen, nadat de vliezen zijn gebroken.

Title: De functie van het vruchtwater
Het vruchtwater maakt onder andere groei en beweging mogelijk van de baby, net zoals adembewegingen, drinken en slikken. Als de vliezen zijn gebroken, is er minder vruchtwater aanwezig.

Title: Risico’s
Het breken van de vliezen geeft een verhoogde kans op een infectie in de baarmoeder. Dit komt omdat de natuurlijke afscherming voor de buitenwereld die de vliezen aan de baarmoeder biedt, nu verbroken is.

Title: Adviezen
Zijn uw vliezen gebroken? Dan adviseren wij u, om bijvoorbeeld het risico op infectie te verkleinen, het volgende te doen: 
- Drie keer per dag rectaal uw temperatuur meten; 
- Verwissel regelmatig uw kraamverband (altijd na toiletbezoek); 
- Geen tampons gebruiken; 
- Geen geslachtsgemeenschap; 
- Ga niet zwemmen of in bad (douchen mag wel).

Title: Contact opnemen
Wij vragen u contact op te nemen als: 
- Uw temperatuur hoger dan 37,8o C is; 
- Uw vliezen breken vóór uw 37e zwangerschapsweek; 
- Uw vliezen breken wanneer u om medische reden in het ziekenhuis moet bevallen; 
- Uw vruchtwater niet helder is; 
- U zich ziek of niet lekker voelt; 
- U uw baby onvoldoende voelt bewegen; 
- Bij de laatste controle het hoofdje niet was ingedaald.

Title: Langdurig gebroken vliezen
Wij spreken van langdurig gebroken vliezen wanneer de vliezen langer dan 24 uur gebroken zijn. Dit is een reden om in het ziekenhuis te bevallen. Voor, tijdens en na de bevalling houden wij uw conditie en die van uw baby in de gaten. Binnen 24 tot 48 uur na het breken van de vliezen wordt u opgenomen op de afdeling geboorte. Daar wordt gestart met het inleiden van de bevalling. Meer informatie vindt u in de folders “Inleiding van de baring” en “Bevalling en kraambed”. Bij controle of bij opname in het ziekenhuis kunt u het volgende verwachten: 
- De indaling van de baby wordt uitwendig bepaald, soms volgt een echo; 
- Er wordt een CTG (cardiotocogram) gemaakt om de conditie van de baby en de weeën activiteit te beoordelen; 
- Vaak wordt het vruchtwaterverlies beoordeeld door onderzoek. Hierbij letten we op geur en kleur van het vruchtwater; 
- Er wordt een vaginakweek afgenomen en zo nodig wordt de urine onderzocht; 
- We meten uw temperatuur en polsslag; 
- Een inwendig onderzoek wordt in principe niet verricht, om de kans op infectie te beperken."
Congenitale heupdysplasie,page_3,"Title: Houdingsadviezen
- Uw kind zal meestal op de rug liggen. Leg een opgerolde handdoek of een opgevouwen deken of kussen onder de beentjes zodat het gips niet in de buik duwt; 
- Leg bij buikligging een kussen onder het bovenlichaam, zodat het gips aan de rugzijde vrijkomt; 
- Leg uw kind drie maal daags op de buik om drukplekken te voorkomen. Bouw dit op naar drie maal 60 minuten per keer; 
- Laat de gipsbroek zo veel mogelijk aan alle kanten vrij liggen; 
- Til uw kind nooit alleen onder de oksels op, ondersteun tussen de benen met behulp van een gipsbroekstok; 
- Uw kind mag op schoot genomen worden; 
- Geef uw kind meer tijd om een boertje te laten. Wanneer uw kind krampjes heeft belemmerd het gips het intrekken van de benen. Als uw kind al wat ouder is kunt u rekening houden met gasvormende producten. Ook kunt u wat vaker kleinere porties geven.

Title: Vervoeren
Wanneer uw kind niet meer in de wandelwagen past vanwege de gipsbroek, is het mogelijk een tweelingwandelwagen te huren via de thuiszorg in uw omgeving. Ook een bolderkar kan dan een uitkomst zijn. Maxicosi heeft speciale autostoeltjes ontwikkeld voor kinderen met een spreidbroek of gipsbroek. Indien u al een maxicosi autostoel heeft aangeschaft kunt u deze gratis lenen. Heeft u een andere autostoel dan kunt u deze autostoel tegen een vergoeding huren.

Title: Informatie
Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx

Title: Tot slot
Mocht u na het lezen van deze folder nog vragen hebben dan kunt u die stellen aan uw behandelend specialist. Deze tekst (met uitzondering van het deel dat over de verzorging gaat) is tot stand gekomen door de commissie Voorlichting van de Nederlandse Orthopedische Vereniging en door de NOV geaccordeerd.

Title: Polikliniek kindergeneeskunde
Voor vragen over de ziekenhuisopname kunt u bellen met polikliniek kindergeneeskunde. Telefoonnummer 088 708 31 20.

Title: Check het dossier van uw kind op MijnZGT
MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van het medisch dossier van uw kind inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij hebben klaargezet. Zie voor meer informatie de folder ‘MijnZGT machtiging voor ouders’."
Borstkliniek Oost-Nederland,page_1,"Title: Beeldvormend onderzoek
Mammografie Er is bijna altijd een mammografie (röntgenfoto van de borsten) nodig. Als u naar aanleiding van de foto’s van het bevolkingsonderzoek bent verwezen, worden aanvullende foto’s gemaakt. Een standaardonderzoek bestaat uit foto’s van beide borsten in twee richtingen, waarbij de borst wordt samengedrukt. Dit kan een pijnlijk gevoel geven. Daarna kan de radioloog besluiten dat het nodig is detailfoto’s te maken van een bepaald gebied. Echografie Meestal wordt aansluitend door de radioloog een echografie gemaakt van de afwijking/het gebied waar het om gaat. Soms is het nodig met echografie het weefsel te vergelijken met de andere borst. Daarnaast kan het nodig zijn om de oksel echografisch te onderzoeken. Echogeleide cystepunctie, naaldbiopsie en cytologie Als bij de echografie een afwijking zichtbaar is, kan het nodig zijn om aanvullend een punctie te doen. 
- Als het om een cyste (goedaardige ophoping met vocht) gaat, kan deze geheel worden leeggezogen. Meestal blijft de cyste daarna weg. Voor het leegzuigen is geen verdoving nodig en het cystevocht hoeft niet onderzocht te worden. 
- Gaat het om een vaste (solide) afwijking, dan kan het nodig zijn om weefselonderzoek te doen. De radioloog haalt dan met een naald een klein reepje weefsel uit de afwijking (naaldbiopsie). Dit kan pijnlijk zijn, daarom wordt voor deze punctie een verdoving gegeven. Als er een afwijking in de oksel te zien is, wordt daarin een prik gegeven om cellen op te zuigen (cytologische punctie). Daarbij is geen verdoving nodig, u voelt slechts een kleine prik. De cellen/het weefsel worden opgestuurd naar de patholoog die het zal beoordelen. Röntgengeleide biopsie Als er op het mammogram een afwijking zichtbaar is, die bij echografie niet kan worden teruggevonden (bijvoorbeeld kleine verkalkingen), dan kan geen echogeleide naaldbiopsie verricht worden. In dat geval wordt een afspraak gemaakt voor het verrichten van een stereotactische naaldbiopsie (naaldbiopsie onder röntgenbegeleiding). De cellen/het weefsel worden opgestuurd naar de patholoog die het zal beoordelen. Nadat alle onderzoeken zijn verricht maakt de secretaresse van de chirurg een afspraak voor een volgend polikliniekbezoek binnen twee werkdagen. Wanneer geen aanvullende punctie is verricht wordt u dezelfde dag nog geïnformeerd over de uitslag en het eventuele noodzakelijke behandelbeleid.

Title: De uitslag
Tijdens het tweede polikliniekbezoek wordt de uitslag van de bovengenoemde onderzoeken door de chirurg en soms met de mammacare verpleegkundige met u besproken. Er zal u een voorstel voor behandeling en/of zonodig nader onderzoek worden gedaan. Indien blijkt dat u een operatie zult ondergaan, dan vangt de mammacare verpleegkundige u op na het gesprek met de chirurg. U kunt dan samen met de mammacare verpleegkundige alles nog even op een rijtje zetten.

Title: Vragen
Heeft u na het lezen van deze folder nog vragen? Dan kunt u contact opnemen met de Borstkliniek Oost-Nederland, telefoonnummer 088 708 52 32 of per e-mail mammapoli@zgt.nl. Neemt u tijdens uw eerste bezoek het ingevulde vragenformulier mee."
