filename,page number,page text
Aambeien (heamorroiden),page_2,"Title: Wat zijn geen aambeien?
Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.

Title: Wat kunt u mogelijk zelf doen om aambeien te voorkomen?
Aambeien kunnen veel klachten veroorzaken en daarom is het beter om het (opnieuw) uitzakken van aambeiweefsel te voorkomen. Hiervoor gelden de volgende adviezen en leefregels: 
- Eet gezond en gevarieerd. Eet vezelrijk (granen, fruit en groenten). Voor extra informatie zie folder ‘Vezelverrijkte voeding’. Drink minstens 1½ à 2 liter per dag. Dit houdt de stoelgang soepel. 
- Ga direct naar het toilet als u aandrang heeft. Anders wordt de ontlasting droger en harder. Stel uw stoelgang dus niet uit. Voorkom hard persen en langdurig toiletbezoek. Probeer te ontspannen als u op het toilet zit. 
- Ga bij jeuk of een branderig gevoel niet overdadig wassen met zeep. Dit kan jeuk en irritatie veroorzaken en/of verergeren. Wel helpt het om de anus met lauw water af te spoelen en daarna goed droog te deppen of de anus te reinigen met zoete olie. Gebruik alleen zacht toiletpapier en geen vochtig toiletpapier. Overgevoeligheid voor bepaalde bestanddelen komt vaak voor. 
- Regelmatig een warm bad zorgt ervoor dat de anus zich kan ontspannen. Ook als er klachten zijn als branderigheid, pijn, jeuk en eczeem rond de anus is een warm zitbad een goed middel ter bestrijding van de klachten (hygiëne). Probeer niet te krabben. Gebruik katoenen ondergoed, dat absorbeert beter en beschadigd de huid minder. 
- LET OP: bij bepaalde zalven en zetpillen. Deze kunnen de pijn, branderigheid en/of de jeuk doen verzachten of (tijdelijk) verdwijnen, maar zullen de aambeien zelf niet doen verdwijnen. 
- Zorg voor voldoende lichaamsbeweging, zeker als u een zittend leven leidt. En als u te zwaar bent, probeer wat af te vallen. 
- Probeer het uitgezakte aambeiweefsel (als u dat heeft) voorzichtig naar binnen te duwen. Soms kan de pijn daardoor verminderen en is er minder kans op inklemming en stuwing in de bloedvaten."
"Anale huidzwellingen, het verwijderen van (excisie anale skintags)",page_0,"Title: Het verwijderen van anale huidzwellingen
(excisie anale skintags) Uw medisch specialist heeft u verwezen voor het verwijderen van anale huidzwellingen. In deze folder leest u over de aandoening en de behandeling.

Title: Wat zijn anale huidzwellingen
Anale huidzwellingen/flapjes zijn zacht aanvoelende huidzwellingen rond de anus. Het zijn uitgerekte huidplooien die vaak ontstaan nadat u aambeien heeft gehad (ook wel mariske of skintag genoemd). Ze worden soms verward met aambeien, omdat ze gelijktijdig kunnen voorkomen. Ze zijn volkomen onschuldig, bloeden niet en doen geen pijn. Wel is het door de onregelmatigheid van de plooien wat moeilijker om de anus goed schoon te houden. Wanneer er restjes ontlasting achterblijven tussen de plooien kan dat irritatie of jeuk veroorzaken. Dat kan een reden zijn om de skintags weg te halen. Omdat skintags vaak het gevolg zijn van aambeien, kunt u proberen het ontstaan van aambeien te voorkomen. Een goede stoelgang is daarbij belangrijk: vezelrijk eten en voldoende water drinken (minimaal twee liter per dag). Ook beweging is goed voor de stoelgang. Verder is een goede hygiëne belangrijk om jeuk en uitslag te voorkomen. Wanneer toiletpapier niet voldoende is om alles goed schoon te krijgen, is een nat washandje of regelmatig sproeien met de douchekop aan te raden. Vochtig toiletpapier wordt ontraden (vanwege de conserveringsmiddelen, deze kunnen jeukklachten veroorzaken). Aangezien aambeien de onderliggende oorzaak zijn, dient eerst te worden onderzocht in hoeverre hiervoor behandeling noodzakelijk is: zie folder aambeien. Soms kan een behandeling van de aambeien met rubberbandligaties (RBL) al voldoende resultaat geven, zodat aanvullende verwijdering niet nodig is. Indien skintags na RBL-behandeling nog steeds klachten geven kan een excisie worden voorgesteld. Hierbij worden de skintags operatief verwijderd, bij voorkeur onder narcose.

Title: Voorbereiding op de operatie
Voorafgaand aan de operatie hoeft u thuis geen dieet te volgen of andere voorbereidingen te treffen. U wordt op de dag van de operatie opgenomen. Het is belangrijk dat u op de dag van de operatie nuchter bent. Wat dit voor u betekent leest u in de folder die u krijgt van de polikliniek preoperatieve screening en anesthesie .

Title: Medicijnen
Als u bloedverdunners gebruikt, is er iets meer kans op een bloeding. Bij voorkeur worden deze medicijnen voorafgaand aan de operatie tijdelijk gestopt. Bepreek met uw medisch specialist of verpleegkundig specialist wat voor uw situatie van toepassing is. Wanneer u een hartklepvervanging hebt ondergaan (een 'kunstklep') is het noodzakelijk dat u dit ook aan uw behandelend medisch specialist of verpleegkundig specialist meldt. U moet in dit geval vooraf antibiotica moet innemen. Dit geldt soms ook voor andere hartziekten. Bij twijfel kunt u het beste vooraf contact opnemen met uw huisarts of cardioloog."
Abatacept onderhuidse injectie,page_0,"Title: Abatacept (Orencia ®) per onderhuidse injectie
Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.

Title: Het effect van abatacept
Abatacept wordt gebruikt bij de behandeling van reumatoïde artritis. Abatacept kan de oorzaak van uw reumatische aandoening niet wegnemen. Wel kan het uw ziekte remmen. Abatacept voorkomt de activatie van bepaalde ontstekingscellen (“T-cellen”) die bij reumatoïde artritis mede verantwoordelijk zijn voor de gewrichtsontstekingen. Daardoor verminderen de ontstekingen en kunnen klachten als pijn, stijfheid en zwelling van de gewrichten na enige tijd afnemen. Ook heeft het een remmend effect op het ontstaan van gewrichtsbeschadigingen. Het kan enkele weken duren voordat u merkt dat abatacept begint te werken. Een nadeel is dat uw afweersysteem geremd wordt waardoor u vatbaarder bent voor infecties.

Title: Mogelijke bijwerkingen abatacept
Bijwerkingen kunnen optreden. Meest voorkomend 
- Huiduitslag of jeuk op de plaats van de injectie. Dit is vrijwel altijd mild en op den duur verdwijnen de klachten bij de meeste patiënten. 
- Hoofdpijn, duizeligheid, buikpijn, misselijkheid, diarree en vermoeidheid 
- Milde infecties zoals verkoudheid, griep en blaasontsteking. Soms/zelden voorkomend 
- Bloeddrukverhoging, blozen of opvliegers. 
- Overgevoeligheidsreacties zoals al dan niet jeukende huidafwijkingen, moeilijk ademhalen, pijn op de borst, rillerigheid of lage bloeddruk. Bij ernstigere verschijnselen wordt het gebruik vaak gestopt. 
- Ernstige infecties.

Title: Wijze van toediening
Abatacept wordt toegediend via onderhuidse injecties. De gebruikelijke dosering is één keer per week 125 milligram. De injecties kunnen door u of door iemand in uw omgeving worden toegediend. Spuitinstructies krijgt u in het ziekenhuis. Tijdens deze instructies wordt precies uitgelegd hoe u uzelf kunt spuiten. Bewaar het medicijn altijd in de koelkast (niet invriezen) en gebruik het volgens de instructie van de reumaverpleegkundige, apotheek en informatie van de fabrikant. Als abatacept bij u goed werkt dan kan het voor onbepaalde tijd worden gegeven.

Title: Waarschuwingen
- Voordat u met de medicatie mag starten wordt u eerst onderzocht op tuberculose en hepatitis B. 
- Neem voor iedere toediening altijd de “patiëntvragenlijst voor toediening biologicals” door zodat u weet of u abatacept op dat moment mag gebruiken. 
- Neem contact op met uw reumatoloog of huisarts bij: koorts, koude rillingen, ernstige infectie, ernstig ziek zijn en bijwerkingen. 
- Gebruik géén abatacept tijdens het gebruik van antibiotica, koorts of ernstige infectie. Maak eerst de kuur af en wacht totdat de koorts of ernstige infectie weg is en u zich weer goed voelt."
"Angiografie, dotterbehandeling en_of stentplaatsing",page_2,"Title: Verloop van de behandeling
U wordt behandeld door een interventieradioloog geassisteerd door interventielaboranten. Het streven is u anderhalf uur na opname te behandelen, echter kan het tijdstip uitlopen in verband met spoed patiënten. U wordt in een bed naar de OK gebracht. Gedurende uw verblijf op de OK worden meerdere keren vragen aan u gesteld, dit in verband met de veiligheidscontrole. U kunt op onze website meer lezen over deze veiligheidscontrole (Patiëntenfolders van ZGT/ Time-Out Procedure). In de ontvangstruimte van de OK wordt in uw arm een infuusnaaldje ingebracht. Daarna neemt een interventielaborant u mee naar de interventiekamer. Tijdens de behandeling bewaakt de interventielaborant uw bloeddruk en het zuurstofgehalte in het bloed. De aanprikplaats wordt ontsmet en verdoofd, dit kan even gevoelig zijn. De interventieradioloog maakt een kleine opening in de huid en prikt de slagader aan. Vervolgens brengt hij een werkbuisje in. Door dit werkbuisje worden de katheters en/of materialen ingebracht die hij nodig heeft. Om slagaders zichtbaar te maken wordt gebruik gemaakt van röntgendoorlichting en een contrastmiddel. Na het inspuiten van het contrastmiddel kunt u een warm gevoel krijgen of het gevoel hebben dat u plast, dit gevoel verdwijnt meestal binnen een minuut. Vervolgens worden foto’s gemaakt, u krijgt instructies tijdens het maken van deze foto's. Aan de hand van de gemaakte foto’s bepaalt de interventieradioloog de verdere behandeling. Dit kan een dotter en/of een stentplaatsing zijn.

Title: Dotteren
Dotteren wordt ook wel ballondilatatie of PTA genoemd (Percutane Transluminale Angioplastiek). Hierbij wordt de slagader ter plaatse van de vernauwing onder hoge druk opgerekt met behulp van een ballonnetje. Het is mogelijk dat u het oprekken van de vernauwing even voelt. Nadat het opblazen van de ballon is opgeheven, is dit gevoel weg.

Title: Stentplaatsing
Indien een dotterbehandeling onvoldoende resultaat geeft zal de interventieradioloog beoordelen of een stent geplaatst kan worden. Een stent is een buisje van metaal (legering) dat het bloedvat openhoudt. Een stent blijft in tegenstelling tot een dotterballon in uw lichaam achter. Als de behandeling klaar is, wordt het werkbuisje verwijderd. Het ontstane gaatje in de slagader wordt 10 tot 15 minuten met de hand dichtgedrukt of wordt door middel van een soort plugje gesloten. De manier van sluiten van het gaatje is afhankelijk van de conditie van de slagader ter plaatse van de aanprikplaats.

Title: Duur
De duur van de behandeling is moeilijk te voorspellen maar doorgaans duurt het 60 tot 90 minuten.

Title: Na afloop van de behandeling
Afhankelijk van welke techniek wordt toegepast om het gaatje in de lies te dichten, krijgt u de volgende instructies om een nabloeding te voorkomen.

Title: Sluiten door middel van afdrukken met de hand
- U krijgt een drukverband, deze moet blijven zitten tot de volgende ochtend. 
- De eerste 6 uur na de behandeling moet u plat in bed blijven liggen. 
- Na 6 uur moet u nog steeds in bed blijven, maar mag u zitten. Onder begeleiding van een verpleegkundige is toiletbezoek toegestaan. 
- U moet het been waarin u bent aangeprikt ontspannen laten liggen. Tot de volgende ochtend mag u uw been niet optrekken. 
- Als u een warm gevoel krijgt in de lies of u ziet dat het nabloedt waarschuw dan direct de verpleegkundige."
Adalimumab (Humira) bij IBD,page_3,"Title: Werkwijze
- Haal de voorgevulde pen 10 minuten voor de inspuiting uit de koelkast. 
- Zorg voor een rustige omgeving. 
- Controleer op het medicatieoverzicht de datum van injecteren. 
- Controleer bij de Humira voorgevulde pen de houdbaarheidsdatum en dosering. 
- Was uw handen. 
- Bepaal de prikplaats. 
- Reinig de huid op de gekozen injectieplaats met behulp van bijgeleverd alcoholgaasje. Raak de ontsmette huid niet meer aan voor de inspuiting. 
- Verwijder eerst de grijze dop en vervolgens de bordeaux dop. Pas op; druk niet op de bordeaux activeringsknop voordat de pen goed op de huid is geplaatst. 
- Neem de schoongemaakte huid vast in een plooi en plaats, met de andere hand, de voorgevulde pen in een rechte hoek (90 graden) op de huid, zodanig dat u het venster kunt zien. 
- Duw op de bordeaux knop en hoor een luide “klik”. 
- Blijf duwen en tel 10 seconden. 
- De injectie is klaar als de gele indicator volledig zichtbaar is en niet meer beweegt. 
- Trek daarna de voorgevulde pen rechtop van de injectieplaats. 
- Druk een gaasje gedurende 10 seconden op de injectieplaats totdat het eventuele bloeden is gestopt. Wrijf niet op de injectieplaats, breng eventueel een pleister aan. 
- Gebruik de voorgevulde pen nooit opnieuw! 
- Gooi, na het injecteren, de gebruikte voorgevulde pen direct in de speciale container.

Title: Voorgevulde injectiespuit Benodigde materialen
- Medicatieoverzicht 
- Voorgevulde injectiespuit 
- Naaldencontainer 
- Afvalzakje

Title: Werkwijze 
- Haal de Humira voorgevulde injectiespuit 10 minuten voor de inspuiting uit de koelkast. 
- Zorg voor een rustige omgeving. 
- Controleer op het medicatieoverzicht de datum van injecteren. 
- Controleer bij de Humira voorgevulde injectiespuit de houdbaarheidsdatum en dosering. 
- Was uw handen. 
- Bepaal de prikplaats. 
- Reinig de huid op de gekozen injectieplaats met behulp van bijgeleverd alcoholgaasje. Raak de ontsmette huid niet meer aan voor de inspuiting. 
- Haal de dop van de naald van de injectiespuit en raak de naald vooral niet aan. De naald mag nergens mee in aanraking komen. 
- Neem de schoongemaakte huid in een plooi vast en plaats, met de andere hand, de naald in een hoek van 45 graden ten opzichte van de inspuitingsplaats op de huid. 
- Breng met een snelle korte beweging de naald helemaal in de huid. 
- Laat de huid met de andere hand los. 
- Spuit uw geneesmiddel traag in: tel 20- 30 seconden om de spuit leeg te maken. 
- Als de injectiespuit leeg is, trekt u de naald uit de huid, in dezelfde hoek van 45 graden. 
- Druk een gaasje gedurende 10 seconden op de injectieplaats totdat het eventuele bloeden is gestopt. Wrijf niet op de injectieplaats, breng eventueel een pleister aan. 
- Gebruik de voorgevulde injectiespuit nooit opnieuw. 
- Gooi, na het injecteren, de gebruikte voorgevulde injectiespuit direct in de speciale container."
Benzocaïne,page_0,"Title: 6. BenzocaïneWat is benzocaïne en waar vind je het?
Benzocaïne is een bekend en veel gebruikt lokaal anestheticum (verdovingsmiddel). Het wordt gebruikt in farmaceutische preparaten en soms in cosmetica. (Tand)Artsen gebruiken benzocaïne, voornamelijk op de slijmvliezen zoals in de mond, om de huid gevoelloos te maken voor een injectie.

Title: Preparaten met benzocaïne
- Wond- en brandzalven; 
- Aftersun; 
- Aambeienpreparaten; 
- Mondspoelingen; 
- Zuigtabletten tegen zere keel; 
- Bepaalde crèmes. Benzocaïne is een para-aminobenzoaat zuur (PABA) derivaat en geeft een kruisreactie met andere benzoaatzuren, parafenyleendiamine (in haarverf), sulfonamides, zonnebrandcrèmes en thiazide diuretica.

Title: Wat zijn de reacties bij een benzocaïne allergie?
Benzocaïne overgevoeligheid laat een allergische contact dermatitis zien. Injecties met benzocaïne kunnen soms een zwelling van het mondslijmvlies geven. In zeldzame gevallen kunnen er ernstiger reacties optreden zoals urticaria of anafylaxie. dermatitis bij benzocaïne allergie

Title: Ben ik allergisch voor benzocaïne?
Een allergie voor benzocaïne kan men aantonen door middel van een plakproef.

Title: Kruisreacties
Para-aminobenzoaat zuur base 
- Procaïne; 
- Butethamine; 
- Propocaïne; 
- Butethamine; 
- Propocaïne. Meta-aminobenzoaat zuur base 
- Metabutethamine. Benzoaat zuur base 
- Meprylcaïne; 
- Isobucaïne.

Title: Behandeling van een allergie voor benzocaïne
Vermijd contact met producten die benzocaïne bevatten. Bij dermatitis behandelen met een crème/zalf met corticosteroïden.

Title: Hoe kan ik benzocaïne vermijden?
Lees goed de etiketten en vermijd producten met benzocaïne of met een van de alternatieve namen. Vermijd ook de stoffen die een kruisreactie kunnen geven. Vraag uw apotheker om advies bij het kiezen van een alternatief product. Waarschuw uw (huis)arts en tandarts voor het feit dat u allergisch bent voor benzocaïne.

Title: Alternatieve namen voor benzocaïne
- Ethyl aminobenzoaat; 
- Ethyl 4-aminobenzoaat; 
- 4-aminobenzoaat zuur ethyl ester; 
- P-aminobenzoaat zuur ethyl ester."
Aambeien (heamorroiden),page_2,"Title: Wat zijn geen aambeien?
Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.

Title: Wat kunt u mogelijk zelf doen om aambeien te voorkomen?
Aambeien kunnen veel klachten veroorzaken en daarom is het beter om het (opnieuw) uitzakken van aambeiweefsel te voorkomen. Hiervoor gelden de volgende adviezen en leefregels: 
- Eet gezond en gevarieerd. Eet vezelrijk (granen, fruit en groenten). Voor extra informatie zie folder ‘Vezelverrijkte voeding’. Drink minstens 1½ à 2 liter per dag. Dit houdt de stoelgang soepel. 
- Ga direct naar het toilet als u aandrang heeft. Anders wordt de ontlasting droger en harder. Stel uw stoelgang dus niet uit. Voorkom hard persen en langdurig toiletbezoek. Probeer te ontspannen als u op het toilet zit. 
- Ga bij jeuk of een branderig gevoel niet overdadig wassen met zeep. Dit kan jeuk en irritatie veroorzaken en/of verergeren. Wel helpt het om de anus met lauw water af te spoelen en daarna goed droog te deppen of de anus te reinigen met zoete olie. Gebruik alleen zacht toiletpapier en geen vochtig toiletpapier. Overgevoeligheid voor bepaalde bestanddelen komt vaak voor. 
- Regelmatig een warm bad zorgt ervoor dat de anus zich kan ontspannen. Ook als er klachten zijn als branderigheid, pijn, jeuk en eczeem rond de anus is een warm zitbad een goed middel ter bestrijding van de klachten (hygiëne). Probeer niet te krabben. Gebruik katoenen ondergoed, dat absorbeert beter en beschadigd de huid minder. 
- LET OP: bij bepaalde zalven en zetpillen. Deze kunnen de pijn, branderigheid en/of de jeuk doen verzachten of (tijdelijk) verdwijnen, maar zullen de aambeien zelf niet doen verdwijnen. 
- Zorg voor voldoende lichaamsbeweging, zeker als u een zittend leven leidt. En als u te zwaar bent, probeer wat af te vallen. 
- Probeer het uitgezakte aambeiweefsel (als u dat heeft) voorzichtig naar binnen te duwen. Soms kan de pijn daardoor verminderen en is er minder kans op inklemming en stuwing in de bloedvaten."
Adalimumab (Humira) bij IBD,page_0,"Title: Adalimumab (Humira®)
Bij de ziekte van Crohn en Colitis Ulcerosa Uw behandelend medisch of verpleegkundig specialist heeft met u gesproken over het gebruik van Adalimumab (Humira®). In deze folder krijgt u informatie over de werking en het gebruik van dit medicijn en wat u moet doen in geval van bijwerkingen. Het is echter géén vervanging van de bijsluiter. Hebt u na het lezen van deze folder nog vragen, dan kunt u daarmee terecht bij uw behandelend medisch of verpleegkundig specialist.

Title: Algemeen
De oorzaak van ziekte van de ziekte van Crohn en colitis ulcerosa is niet bekend. Elke behandeling met medicijnen is gericht op het onderdrukken van ontstekingsreacties. Hierdoor verminderen de klachten en is de kans op complicaties kleiner. Medicijnen kunnen de darmontsteking onderdrukken maar deze kunnen de ziekte niet definitief genezen. Na het afbouwen van of stoppen met medicijnen kunnen de klachten weer terugkomen.

Title: Werking
Adalimumab behoort tot de biologische middelen tegen de ziekte van Crohn en colitis ulcerosa. Hoewel de precieze oorzaak van beide ziektes niet bekend is, wordt bij patiënten een verhoogde hoeveelheid van het ontstekingseiwit TNF alfa gevonden. Dit eiwit speelt een rol bij het ontstaan en in stand houden van de ontsteking van het darmslijmvlies. Adalimumab blokkeert de effecten van TNF alfa. Daardoor wordt de ontsteking in de darm geremd en nemen de klachten (zoals diarree en buikpijn) af. Ook voelen veel patiënten zich over het algemeen minder moe en kunnen zij beter functioneren in het dagelijks leven. Het effect van Adalimumab is over het algemeen binnen enkele weken merkbaar.

Title: Voorzorgsmaatregelen
Voordat u start met Adalimumab is het belangrijk om sluimerende of actieve infecties uit te sluiten of te behandelen. Tuberculose is een infectie die zich soms jarenlang ongemerkt in de longen ophoudt zonder problemen te geven. Het immuunsysteem houdt de bacteriën dan onder controle. Het gebruik van Adalimumab kan ertoe leiden dat de infectie actief wordt. Daarom zult u voor het starten met de behandeling op tuberculose onderzocht worden. Ook Hepatitis B en C kunnen worden gecontroleerd, en soms ook HIV. Het is belangrijk dat u zelf let op algemene verschijnselen van infecties. Klachten die hierbij kunnen passen zijn: 
- gezwollen lymfeklieren in bijvoorbeeld hals en liezen; 
- aanhoudend hoesten; 
- plotseling gewichtsverlies; 
- koorts. Het is ook belangrijk dat u let op andere bronnen van infecties zoals wonden of problemen met het gebit. Als u denkt dat u een infectie heeft, meld dit dan aan uw behandelende medisch of verpleegkundig specialist. Adalimumab mag namelijk niet worden gebruikt als u een ernstige infectie heeft."
Acnes operatie,page_1,"Title: Behandeling
Omdat de pijn zo verschilt per persoon is er niet één behandeling voor ACNES. Sommige patiënten zijn al gerustgesteld nadat deze diagnose is gesteld. Zij kunnen met behulp van adviezen hun activiteiten aanpassen op de pijn. Wanneer de pijn het dagelijks leven toch ernstig verstoort, wordt er wel een behandeling voorgesteld. Grofweg zijn er twee behandelmogelijkheden: (verdovende) injecties of een operatie. Zenuwblokkade Bij sommige pijnproblemen probeert de arts eerst door één of meer injecties vast te stellen welke zenuw de pijn veroorzaakt. Met lokale injecties wordt de beknelde zenuwtak als het ware verdoofd (zenuwblokkade). Het verdovingsmiddel in deze injectie werkt drie tot acht uur. Gedurende die tijd moet u zelf goed opletten of de pijn vermindert en of uw dagelijkse activiteiten nu beter verlopen. Vaak werkt dit direct en zijn patiënten zeer opgelucht. Meestal raakt de verdoving na een aantal uren uitgewerkt. Opvallend is echter dat bij een belangrijk deel van de mensen het pijnstillende effect langer aanhoudt dan de bekende werkingsduur van de ingespoten verdoving. Sommigen melden zelfs dagen tot weken. Bij de mensen bij wie de pijn terugkeert, stellen wij voor om herhaalde injecties te doen. Het uiteindelijke resultaat van de behandeling is meestal pas na een paar dagen tot weken goed te beoordelen. Wij zullen u na enkele weken op de polikliniek terug zien of telefonisch contact met u opnemen om het resultaat van de behandeling te bespreken. Wij kunnen niet garanderen dat u van de pijn afkomt. Het kan zijn dat uw pijnklacht niet met deze injectietherapie kan worden behandeld. Behandeling van pijnklachten die reeds langere tijd bestaan, is vaak een complex en moeizaam verlopend proces. Indien de pijn niet of nauwelijks vermindert en alternatieve behandelingen niet werken, kan eventueel een operatie uitgevoerd worden. De operatieve behandeling De operatie vindt meestal plaats onder algehele narcose. Voor de operatie wordt het pijnpunt zorgvuldig met een stift aangegeven. Op deze plaats wordt een kleine dwarse snede in de huid gemaakt. De betreffende zenuw wordt in eerste instantie los gemaakt van de spierbekleding. Op de plaats waar de zenuw door de rechte buikspier loopt, wordt de zenuw doorgesneden. Aan het einde van de operatie worden de wonden plaatselijk verdoofd. Na de operatie is de pijn daardoor meestal goed te verdragen, vooral in combinatie met pijnstillers thuis zoals voorgeschreven. Het is een relatief kleine ingreep die in principe in dagbehandeling kan plaatsvinden. Effect van de operatie De meeste patiënten zijn na de ingreep vrijwel direct van de oorspronkelijke pijn af. Soms duurt het langer voordat de pijn verdwijnt, de pijn dooft dan als het ware uit. Het pijnsysteem moet dan na lange tijd langzaam tot rust komen. Bij een deel van de patiënten, blijkt de operatie geen effect te hebben gehad. Dit kan pas na enkele weken, wanneer de wond goed genezen is, beoordeeld worden. Er kan dan gekozen worden voor een tweede operatie waarbij de zenuw als het ware dieper wordt doorgeknipt."
Adalimumab (Humira) bij IBD,page_0,"Title: Adalimumab (Humira®)
Bij de ziekte van Crohn en Colitis Ulcerosa Uw behandelend medisch of verpleegkundig specialist heeft met u gesproken over het gebruik van Adalimumab (Humira®). In deze folder krijgt u informatie over de werking en het gebruik van dit medicijn en wat u moet doen in geval van bijwerkingen. Het is echter géén vervanging van de bijsluiter. Hebt u na het lezen van deze folder nog vragen, dan kunt u daarmee terecht bij uw behandelend medisch of verpleegkundig specialist.

Title: Algemeen
De oorzaak van ziekte van de ziekte van Crohn en colitis ulcerosa is niet bekend. Elke behandeling met medicijnen is gericht op het onderdrukken van ontstekingsreacties. Hierdoor verminderen de klachten en is de kans op complicaties kleiner. Medicijnen kunnen de darmontsteking onderdrukken maar deze kunnen de ziekte niet definitief genezen. Na het afbouwen van of stoppen met medicijnen kunnen de klachten weer terugkomen.

Title: Werking
Adalimumab behoort tot de biologische middelen tegen de ziekte van Crohn en colitis ulcerosa. Hoewel de precieze oorzaak van beide ziektes niet bekend is, wordt bij patiënten een verhoogde hoeveelheid van het ontstekingseiwit TNF alfa gevonden. Dit eiwit speelt een rol bij het ontstaan en in stand houden van de ontsteking van het darmslijmvlies. Adalimumab blokkeert de effecten van TNF alfa. Daardoor wordt de ontsteking in de darm geremd en nemen de klachten (zoals diarree en buikpijn) af. Ook voelen veel patiënten zich over het algemeen minder moe en kunnen zij beter functioneren in het dagelijks leven. Het effect van Adalimumab is over het algemeen binnen enkele weken merkbaar.

Title: Voorzorgsmaatregelen
Voordat u start met Adalimumab is het belangrijk om sluimerende of actieve infecties uit te sluiten of te behandelen. Tuberculose is een infectie die zich soms jarenlang ongemerkt in de longen ophoudt zonder problemen te geven. Het immuunsysteem houdt de bacteriën dan onder controle. Het gebruik van Adalimumab kan ertoe leiden dat de infectie actief wordt. Daarom zult u voor het starten met de behandeling op tuberculose onderzocht worden. Ook Hepatitis B en C kunnen worden gecontroleerd, en soms ook HIV. Het is belangrijk dat u zelf let op algemene verschijnselen van infecties. Klachten die hierbij kunnen passen zijn: 
- gezwollen lymfeklieren in bijvoorbeeld hals en liezen; 
- aanhoudend hoesten; 
- plotseling gewichtsverlies; 
- koorts. Het is ook belangrijk dat u let op andere bronnen van infecties zoals wonden of problemen met het gebit. Als u denkt dat u een infectie heeft, meld dit dan aan uw behandelende medisch of verpleegkundig specialist. Adalimumab mag namelijk niet worden gebruikt als u een ernstige infectie heeft."
