filename,page number,page text
Adviezen toiletgedrag ontlasten,page_0,"Title: Adviezen ten aanzien van het ontlasten
In deze folder krijgt u informatie over hoe u het beste naar het toilet kunt gaan voor het ontlasten. Goed toiletgedrag is belangrijk voor het goed functioneren van uw darmen en kan bijdragen aan een goede gezondheid. Ga naar het toilet zodra u aandrang voelt en stel het niet uit. Aandrang kan bijvoorbeeld ontstaan binnen een half uur na de maaltijd, na het ontwaken of na het drinken van koffie. Aandrang voor ontlasting uitstellen, betekent vaak dat de aandrang verdwijnt en voorlopig niet meer terugkomt. Dit kan tot verstopping leiden. Neem altijd rustig de tijd om naar het toilet te gaan. Hoe rustiger, hoe effectiever. Een normale frequentie voor ontlasting varieert van 3x per dag tot 1x per 3 dagen.

Title: Toilethouding en toiletgedrag
- Ga goed op de toiletbril zitten, de billen moeten goed contact maken met de toiletbril. Het is niet de bedoeling dat u op het puntje gaat zitten of er boven gaat hangen. 
- De voeten moeten plat op de grond steunen, als dit niet lukt, gebruik dan een opstapje of een voetenbankje. 
- Laat uw broek zakken tot op uw enkels, zodat u wat wijdbeens kunt gaan zitten en steun met de ellebogen op uw bovenbenen. 
- Ga ontspannen op het toilet zitten, met een iets bolle onderrug.

Title: Uit: E. Versprille
- Ontspan de bekkenbodem en pers eventueel rustig mee. Dit doet u door de onderbuik iets op te bollen en de taille iets breed te maken, terwijl u uitademt. 
- Richt de persdruk naar uw anus, uw anus als het ware ‘heel lichtjes open zetten’. 
- U hoeft dus niet hard te persen, maar goed gericht naar beneden en daarbij de bekkenbodem ontspannen: de reflex doet de rest. 
- Let erop: alleen persen als er ook sprake is van aandrang! 
- Altijd van voor naar achteren afvegen. 
- Tot slot de bekkenbodemspieren goed aanspannen en weer helemaal ontspannen en daarna pas opstaan.

Title: Adviezen als de ontlasting niet goedkomt
- Adem een aantal keren rustig in en uit, en beweeg uw buik hierbij goed mee (buikademhaling). 
- Daarna probeert u nogmaals op de juiste manier te persen. 
- Als dan de ontlasting nog niet komt, kantelt u 10 keer het bekken voor- en achterover in het ritme van de ademhaling: o tijdens de uitademing het bekken achterover kantelen en de buik intrekken o tijdens de inademing het bekken voorover kantelen en de buik loslaten. Doe dit in een rustig tempo: door de wisselende druk ontstaat als het ware een massage van de darmen 
- Komt de ontlasting dan niet, terwijl u toch behoorlijke aandrang heeft, probeer dan ongeveer 10 minuten intensief te bewegen. 
- Ga daarna weer naar het toilet, ga ontspannen zitten en probeer of de ontlasting wil komen met de hierboven beschreven tips. 
- Als er na ongeveer 5 minuten nog niets is, ga dan niet hard persen, maar wacht een volgende gelegenheid af. Door dwingen neemt de reflex juist af! Neem tussendoor wat lichaams-beweging."
Abatacept onderhuidse injectie,page_1,"Title: Tandheelkundige ingrepen
Abatacept mag u meestal in de periode voor, tijdens en na een tandheelkundige ingreep blijven gebruiken. Bij bloedige ingrepen kan wel geadviseerd worden om antibiotica te gebruiken, om het risico op een infectie te verlagen. Het is daarom verstandig om uw reumatoloog tijdig te informeren dat u een ingreep moet ondergaan. Informeer tijdig degene die de ingreep uitvoert dat u wordt behandeld met abatacept.

Title: Geplande operaties
Abatacept wordt bij voorkeur niet gestart/gegeven gedurende de 2 maanden voordat een geplande operatie plaatsvindt. Met de injectie wordt gewacht totdat de wond goed genezen is en er geen tekenen van infectie zijn. Het is daarom verstandig om uw reumatoloog tijdig (bij voorkeur minimaal 3 maanden vooraf) te informeren dat u een operatie moet ondergaan. Informeer tijdig degene die de operatie uitvoert dat u wordt behandeld met abatacept.

Title: Reizen en vaccinaties (inentingen)
Griepvaccinatie,coronavaccinatie,pneumo kokkenvaccinatie Kunt u veilig laten toedienen tijdens de behandeling met reumaremmers aangezien het geen levend verzwakt vaccin bevat. Toediening hiervan wordt zelfs aanbevolen. Reisvaccinaties Heeft u een reis naar een (tropisch) land in de planning waarvoor reisvaccinaties nodig zijn (denk aan gebieden als Afrika en Zuid- Amerika) of gaat u naar een land zonder goede medische en hygiënische voorzieningen? In dat geval is het verstandig om uw reumatoloog of reumaverpleegkundige tijdig (zo mogelijk één jaar van te voren) hiervan op de hoogte te stellen. Het reizen naar landen waarvoor toediening van een ‘levend verzwakte vaccinatie’ vereist is of waar bepaalde besmettelijke ziekten zoals TBC (tuberculose) en gele koorts voorkomen, wordt afgeraden. Tijdens het gebruik van abatacept mag u geen ‘levend verzwakte vaccinaties’ toegediend krijgen. Voorbeelden hiervan zijn vaccinaties tegen gele koorts, pokken, poliovirus, BCG (tegen tuberculose) en BMR (tegen bof, mazelen en rode hond). Door reumaremmers kunnen vaccinaties minder effectief zijn. Uw reumatoloog, reumaverpleegkundige en/of degene die de vaccinaties zal toedienen kan u meer uitleg en adviezen hierover geven.

Title: Vruchtbaarheid, zwangerschap en borstvoeding
Neem tijdig contact op (minimaal drie maanden voordat u zwanger wilt worden) met uw reumatoloog of reumaverpleegkundige om te overleggen of abatacept invloed heeft op de vruchtbaarheid (dit geldt ook voor mannen), het ongeboren kind, de zwangerschap zelf en borstvoeding. Indien u tijdens het gebruik van abatacept onverwacht zwanger wordt neem dan contact op met uw reumatoloog of huisarts.

Title: Vragen
Heeft u na het lezen van deze informatie nog vragen, neem dan contact op met uw reumatoloog, reumaverpleegkundige of bezoek onze website. Telefoonnummer polikliniek reumatologie: 
- 088 708 34 03 Website afdeling reumatologie: 
- zgt.nl/reumatologie

Title: Disclaimer
Deze patiëntfolder is een verkorte versie van de officiële bijsluiter en vervangt deze niet.

Title: Check uw dossier op MijnZGT
MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt."
Acnes (Nocepta),page_1,"Title: Voorbereiding
- Voor deze behandeling hoeft u niet nuchter te zijn 
- Overige medicatie kunt u gewoon innemen (tot een uur voor de behandeling) ook bloedverdunners, tenzij de pijnspecialist andere afspraken met u heeft gemaakt 
- Na de behandeling mag u de rest van de dag niet actief deelnemen aan het verkeer 
- Regel daarom van tevoren dat er iemand met u meerijdt 
- Draag makkelijk zittende kleding De behandeling De behandeling vindt plaats in de behandelkamer van Nocepta. U kunt zich vooraf melden bij Nocepta in de wachtruimte. Vervolgens wordt u naar de behandelkamer gebracht. Tijdens de behandeling ligt u op uw rug. Met het echoapparaat wordt de juiste positie van de pijnplek bepaald en gemarkeerd. De huid wordt lokaal verdoofd met verdovingsvloeistof. Hierna zal de naald middels echogeleiding worden ingebracht naar de pijnplek in de buikwand. Bij de behandeling middels injectie wordt er een hoeveelheid verdovend medicijn in de buikwand achtergelaten. Dit kunt u voelen als een drukverhoging in de buik. Hierna is de behandeling klaar. Uw buikhuid voelt vaak direct verdoofd aan. Bij de behandeling middels PRF controleert de pijnspecialist de positie van de naald met kleine teststromen. Er wordt aan u gevraagd of u tintelingen voelt. Gezocht wordt naar de plaats waar normaal de pijn optreedt. Als de juiste positie is gevonden wordt de naaldpunt verwarmd door een elektrisch stroompje, dit duurt 3 minuten. Hierna is de behandeling klaar. Tijdens de behandeling kunt u een wat prikkend en brandend gevoel ervaren. Bij de behandeling middels cryoleasie wordt de punt van de naald bevroren gedurende 2 keer 3 minuten.

Title: Na de behandeling
De behandelingen duren ongeveer 20 minuten. Na de behandeling gaat u naar de aftercare. U kunt een verdoofd gevoel of krachtsvermindering hebben aan de behandelde kant, reden waarom u na de behandeling niet zelf actief deel mag nemen aan het verkeer.

Title: Resultaat
Het maximale effect van de behandeling is 6-8 weken na behandelen te beoordelen. De gebruikte verdoving werkt gemiddeld na 1-2 uur uit. Hierna komen de oorspronkelijke pijnklachten weer terug. Gemiddeld duurt het 2-3 weken voordat er een effect van de behandeling met stroom of bevriezing merkbaar wordt. Er volgt altijd een controle afspraak 6-8 weken na de behandeling om het tot dat moment behaalde resultaat te bespreken.

Title: Risico's en/of bijwerkingen
De volgende bijwerkingen en complicaties kunnen optreden. Ernstige complicaties komen zelden voor. 
- Er kan na de behandeling napijn optreden. Deze pijn kan enkele weken aanhouden, maar is vrijwel altijd van tijdelijke aard. U kunt hiervoor een pijnstiller innemen (Paracetamol volgens bijsluiter). 
- Er kan een bloeduitstorting in de buikwand optreden als gevolg van de prik. 
- Wanneer u koorts ontwikkelt, neem dan zo spoedig mogelijk contact op met uw pijnspecialist."
"Anale huidzwellingen, het verwijderen van (excisie anale skintags)",page_0,"Title: Het verwijderen van anale huidzwellingen
(excisie anale skintags) Uw medisch specialist heeft u verwezen voor het verwijderen van anale huidzwellingen. In deze folder leest u over de aandoening en de behandeling.

Title: Wat zijn anale huidzwellingen
Anale huidzwellingen/flapjes zijn zacht aanvoelende huidzwellingen rond de anus. Het zijn uitgerekte huidplooien die vaak ontstaan nadat u aambeien heeft gehad (ook wel mariske of skintag genoemd). Ze worden soms verward met aambeien, omdat ze gelijktijdig kunnen voorkomen. Ze zijn volkomen onschuldig, bloeden niet en doen geen pijn. Wel is het door de onregelmatigheid van de plooien wat moeilijker om de anus goed schoon te houden. Wanneer er restjes ontlasting achterblijven tussen de plooien kan dat irritatie of jeuk veroorzaken. Dat kan een reden zijn om de skintags weg te halen. Omdat skintags vaak het gevolg zijn van aambeien, kunt u proberen het ontstaan van aambeien te voorkomen. Een goede stoelgang is daarbij belangrijk: vezelrijk eten en voldoende water drinken (minimaal twee liter per dag). Ook beweging is goed voor de stoelgang. Verder is een goede hygiëne belangrijk om jeuk en uitslag te voorkomen. Wanneer toiletpapier niet voldoende is om alles goed schoon te krijgen, is een nat washandje of regelmatig sproeien met de douchekop aan te raden. Vochtig toiletpapier wordt ontraden (vanwege de conserveringsmiddelen, deze kunnen jeukklachten veroorzaken). Aangezien aambeien de onderliggende oorzaak zijn, dient eerst te worden onderzocht in hoeverre hiervoor behandeling noodzakelijk is: zie folder aambeien. Soms kan een behandeling van de aambeien met rubberbandligaties (RBL) al voldoende resultaat geven, zodat aanvullende verwijdering niet nodig is. Indien skintags na RBL-behandeling nog steeds klachten geven kan een excisie worden voorgesteld. Hierbij worden de skintags operatief verwijderd, bij voorkeur onder narcose.

Title: Voorbereiding op de operatie
Voorafgaand aan de operatie hoeft u thuis geen dieet te volgen of andere voorbereidingen te treffen. U wordt op de dag van de operatie opgenomen. Het is belangrijk dat u op de dag van de operatie nuchter bent. Wat dit voor u betekent leest u in de folder die u krijgt van de polikliniek preoperatieve screening en anesthesie .

Title: Medicijnen
Als u bloedverdunners gebruikt, is er iets meer kans op een bloeding. Bij voorkeur worden deze medicijnen voorafgaand aan de operatie tijdelijk gestopt. Bepreek met uw medisch specialist of verpleegkundig specialist wat voor uw situatie van toepassing is. Wanneer u een hartklepvervanging hebt ondergaan (een 'kunstklep') is het noodzakelijk dat u dit ook aan uw behandelend medisch specialist of verpleegkundig specialist meldt. U moet in dit geval vooraf antibiotica moet innemen. Dit geldt soms ook voor andere hartziekten. Bij twijfel kunt u het beste vooraf contact opnemen met uw huisarts of cardioloog."
Aambeien (heamorroiden),page_3,"Title: Wanneer is verdere behandeling nodig?
Wanneer ondanks het nemen van bovengenoemde maatregelen en leefregels de klachten toch voortduren, is verdere behandeling nodig of aan te raden.

Title: Zijn er nog (aanvullende) onderzoeken nodig?
De klachten die aambeien kunnen geven, kunnen ook voorkomen bij andere afwijkingen van de endeldarm of de anus. Het is daarom belangrijk dat er goed onderzoek wordt verricht en gekeken wordt naar de anus, het anale kanaal en het begin van de endeldarm. Dit onderzoek noemen we een proctoscopie. Zo nodig moet de gehele darm bekeken worden. Dit noemen we een coloscopie. Dit komt vooral voor bij patiënten boven de vijftig jaar. Bij jongere patiënten is over het algemeen het onderzoek van de anus en het anale kanaal voldoende.

Title: Wat zijn de behandelingsmogelijkheden?
Een veel toegepaste behandeling is het terugbrengen van de zwellichamen/het aambeiweefsel naar hun oorspronkelijke plaats. Het uitzakken is dan verholpen en de aambeien kunnen dan ook geen klachten meer geven. Proctoscopie met rubberbandligatie Een tegenwoordig veel toegepaste methode is het afbinden van het overtollige slijmvlies boven het aambeiweefsel met behulp van rubber bandjes (rubberbandligatie). Het slijmvlies sterft door het elastiekje binnen enkele dagen af. Dan laat het rubberbandje los en verlaat het lichaam met de ontlasting. De behandeling kan poliklinisch in ongeveer 5-10 minuten gebeuren. Vaak is er enkele dagen/weken na de eerste behandeling al een goed resultaat te verwachten, maar soms moet de behandeling herhaald worden of wordt er in overleg met u toch besloten over te gaan tot een operatie. Omdat het slijmvlies geen pijnzenuwen bevat, voelt u nauwelijks iets van de behandeling. Een gevoel van aandrang en lichte buikkrampen zijn wel gebruikelijk in de eerste dagen na het plaatsen van de bandjes. Indien er tijdens de behandeling toch sprake is van veel pijn, dan kan ervoor gekozen worden om de behandeling op een ander moment op de operatiekamer onder (algehele) verdoving uit te voeren. Laserbehandeling bij aambeien Het doel van de laserbehandeling is het gecontroleerd krimpen van de aambeien met behoud van de functie. De laserdraad wordt op de operatiekamer met behulp van de proctoscoop in het aambeiweefsel gebracht. De laser geeft energie (hitte) af in de aanvoerende vaten van de aambei en in het aambeiweefsel. Door dit effect kan de aambei niet meer goed doorbloeden en zal deze direct ongeveer 30% afnemen in grootte en verder krimpen. Dit hele proces zet zich ook voort na de laserbehandeling en kan zelfs na zes weken nog merkbaar zijn. Deze behandeling neemt, afhankelijk van de grootte van het aambeiweefsel, over het algemeen 15 tot 30 minuten in beslag. Afhankelijk van de complexiteit van de aambeien, is de behandeling succesvol bij ongeveer 70% van de patiënten. Voor uitgebreide informatie over de rubberbandligatie, zie; folder ‘Proctologiepolikliniek’. Voor uitgebreide informatie over aambei- operaties, zie; folder ‘Longo/PPH procedure’. Voor informatie over de behandeling waarbij aambeien operatief verwijderd worden zie folder `hemorroidectomie`. Voor uitgebreide informatie over de coloscopie kunt u contact opnemen met de polikliniek interne geneeskunde"
Ambulante flebectomie volgens Müller,page_1,"Title: Voor de behandeling
De volgende punten zijn belangrijk voorafgaand aan de behandeling: 
- Draag op de dag van behandeling makkelijke (lage) schoenen en ruime kleding. Door de watten onder de kous(en) past een strakke broek of schoen soms niet meer. 
- Tijdens de behandeling worden kleefstrips gebruikt. Het verwijderen hiervan kan pijnlijk zijn bij beharing. Daarom raden wij aan eventueel twee dagen voor de behandeling uw benen te scheren. 
- Smeer geen crème of zalf op uw benen op de dag van behandeling. 
- Na de behandeling mag u niet zelf naar huis rijden. Hierom is het belangrijk dat u vooraf vervoer naar huis regelt.

Title: De behandeling
De behandelaar tekent voorafgaand aan de ingreep met een huidstift het verloop van de spatader af terwijl u rechtop staat. Vervolgens neemt u plaats op de behandeltafel en wordt uw been gedesinfecteerd en rondom in steriele doeken gepakt. Hierna krijgt u enkele prikken in het been om de huid te verdoven. De behandelaar maakt met een mesje kleine sneetjes in de verdoofde huid. Via deze sneetjes wordt de spatader losgemaakt en met een soort haakje naar buiten getrokken. Als de spatader is verwijderd, worden er meestal hechtingen geplaatst. In sommige gevallen volstaan hechtpleisters (steristrips). Over het behandelde gebied wordt een wattenstreng aangebracht en u krijgt een steunkous om. Hiermee wordt de vorming van bloeduitstortingen beperkt.

Title: Mogelijke bijwerkingen
De meest voorkomende bijwerkingen van de behandeling zijn: 
- Bloeduitstorting (blauwe plek). Dit ontstaat vrijwel bij iedereen na de ingreep. Dit kan een pijnlijk gevoel geven en er lelijk uitzien. Het verdwijnt vanzelf en kan geen kwaad. 
- Blaren of oppervlakkige wondjes van de hechtpleister. Ook dit kan een pijnlijk gevoel geven en er lelijk uitzien. Het verdwijnt vanzelf en kan geen kwaad. 
- Donkere verkleuring (pigmentatie) van de huid boven de behandelde spatader. Deze verkleuring verdwijnt meestal na verloop van tijd. Mensen met een donkerder huidtype hebben een grotere kans op blijvende pigmentatie. 
- Er bestaat een kleine kans op een trombosebeen.

Title: Na de behandeling
Houd na de behandeling rekening met het volgende. 
- U heeft een steunkous om. Deze kous dient u de eerste twee dagen dag en nacht te dragen. Laat de wattenstreng ook deze twee dagen onder de kous zitten. 
- Hierna draagt u de kous nog drie dagen, alleen overdag. Trek de kous aan bij het opstaan, trek de kous uit bij het naar bed gaan. In totaal draagt u de kous dus vijf dagen. Dit is belangrijk voor het slagen van de behandeling. 
- De kous mag niet nat worden. Als u wilt douchen, adviseren wij u om een vuilniszak om het been te doen en deze dan af te plakken.

Title: Bewegen
Bewegen is goed, maar alles met mate. Vermijd de eerste week na de ingreep intensieve sporten, zoals wielrennen, hardlopen of springsporten. Hierna mag u weer uw normale activiteiten hervatten.

Title: Pijn
Het is mogelijk dat u pijn na de ingreep ervaart. U mag vier keer daags een paracetamol van vijfhonderd milligram innemen. Houdt de pijn aan, ondanks de paracetamol? Neem contact op met de polikliniek."
"AC kuur à 2 weken, patiënteninformatie",page_0,"Title: Het verloop van de AC kuur
U begint met een chemokuur. Deze kuur bestaat uit twee medicijnen. 1. Adriamycine (=Doxorubicine) 2. Cyclofosfamide

Title: Wijze van toediening:
De medicijnen worden u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De toediening duurt ongeveer één uur. De kuur wordt afhankelijk van de bloeduitslagen om de twee weken gegeven. Naast de algemene bijwerkingen kunnen de volgende specifieke bijwerkingen optreden: 
- Bij koorts boven de 38,5° moet u contact met ons opnemen. 
- Uw haar gaat uitvallen. Dit is van tijdelijke aard en begint meestal twee à drie weken na de eerste toediening. Haaruitval begint meestal met een pijnlijke hoofdhuid. Een machtiging voor een eventueel haarwerk kunt u vragen aan de oncologieverpleegkundige. 
- Door adriamycine, is tot enkele dagen na de kuur rood verkleuring van de urine en soms het traanvocht mogelijk. Dit is onschuldig. Het kan mogelijk aanleiding geven tot verkleuring van contactlenzen. Het is daarom aan te raden deze de eerste 48 uur na toediening niet te dragen. 
- Cyclofosfamide kan klachten geven die lijken op een blaasontsteking. Het is daarom van belang dat u gedurende de eerste dagen na de kuur veel drinkt (anderhalf tot twee liter). 
- Resten cytostatica kunnen tot dag zeven in het lichaamsvocht (onder meer urine, ontlasting, sperma, speeksel en braaksel) aanwezig zijn. In het ziekenhuis krijgt u adviezen over hoe u hiermee om kunt gaan. Als u klachten krijgt die u niet vertrouwt mag u altijd contact met ons opnemen

Title: Check uw dossier op MijnZGT
MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt."
Adalimumab (Humira) bij IBD,page_1,"Title: Gebruik en doseringen
Adalimumab wordt één keer per twee weken via onderhuidse injecties gegeven. In de eerste vier weken wordt Adalimumab in een hogere dosering gegeven. Dit kan verschillen per patiënt. Na deze periode is de gebruikelijke dosering 40mg per twee weken. De injectie wordt door uzelf toegediend. Het zelf spuiten kunt u goed aanleren. U ontvangt de spuitinstructies van de verpleegkundig specialist. Wilt u de injectie liever niet zelf toedienen, dan kan bijvoorbeeld een familielid getraind worden. Na verloop van tijd kan de werking van Adalimumab afnemen. Soms is dan een wekelijkse injectie nodig. Adalimumab wordt soms als enige middel gebruikt (monotherapie). U kunt het ook gebruiken in combinatie met andere middelen. De combinatie van geneesmiddelen werkt vaak beter en zorgt voor een betere werking van Adalimumab. Als u tijdens het gebruik van Adalimumab verschijnselen van een infectie heeft, zoals koorts, hoesten of diarree, overleeg dan altijd met uw medisch of verpleegkundig specialist. Vaak zal de medicatie worden onderbroken totdat de infectie weer over is. U dient Adalimumab in de koelkast te bewaren.

Title: Bijwerkingen
Meest voorkomend: 
- milde infecties zoals verkoudheid en griep; 
- hoofdpijn, huiduitslag (netelroos), misselijkheid en diarree; 
- allergische reacties zoals huiduitslag en jeuk. Zelden: 
- Tijdens gebruik van Adalimumab kan bij patiënten die lijden aan ernstig hartfalen verslechtering in de hartfunctie optreden. Adalimumab wordt daarom niet gegeven bij ernstig hartfalen. Bij mild hartfalen zal de arts goed controleren of er geen verslechtering in de hartfunctie optreedt. 
- Tijdens de behandeling zijn ernstige infecties beschreven (circa 1% per jaar). Als u klachten of symptomen hebt die kunnen passen bij een ernstige infectie, zoals hoge koorts, ernstige kortademigheid of hoesten, raadpleeg dan uw arts. Zeer zelden: 
- zijn tijdens anti-TNF behandeling andere autoimmuunziekten ontstaan zoals multiple sclerose (MS). Meld tintelingen, krachtsverlies of slechter zien aan uw arts.

Title: Gebruik met andere geneesmiddelen
TNF-blokkerende middelen kunnen voor zover bekend veilig worden gebruikt naast andere geneesmiddelen. Behalve met andere biologicals; Tofacitinib, Anakinra en Abatacept. De combinatie met andere afweeronderdrukkende medicijnen geeft een licht hogere kans op infecties. Overleg bij twijfel met uw arts of verpleegkundige. TNF- blokkerende middelen kunnen voor zover bekend veilig worden gebruikt naast andere geneesmiddelen, met uitzondering van andere biologicals, tofacitinib, Anakinra en Abatacept. De combinatie met andere afweeronderdrukkende medicijnen geeft een licht hogere kans op infecties."
Acnes (Nocepta),page_1,"Title: Voorbereiding
- Voor deze behandeling hoeft u niet nuchter te zijn 
- Overige medicatie kunt u gewoon innemen (tot een uur voor de behandeling) ook bloedverdunners, tenzij de pijnspecialist andere afspraken met u heeft gemaakt 
- Na de behandeling mag u de rest van de dag niet actief deelnemen aan het verkeer 
- Regel daarom van tevoren dat er iemand met u meerijdt 
- Draag makkelijk zittende kleding De behandeling De behandeling vindt plaats in de behandelkamer van Nocepta. U kunt zich vooraf melden bij Nocepta in de wachtruimte. Vervolgens wordt u naar de behandelkamer gebracht. Tijdens de behandeling ligt u op uw rug. Met het echoapparaat wordt de juiste positie van de pijnplek bepaald en gemarkeerd. De huid wordt lokaal verdoofd met verdovingsvloeistof. Hierna zal de naald middels echogeleiding worden ingebracht naar de pijnplek in de buikwand. Bij de behandeling middels injectie wordt er een hoeveelheid verdovend medicijn in de buikwand achtergelaten. Dit kunt u voelen als een drukverhoging in de buik. Hierna is de behandeling klaar. Uw buikhuid voelt vaak direct verdoofd aan. Bij de behandeling middels PRF controleert de pijnspecialist de positie van de naald met kleine teststromen. Er wordt aan u gevraagd of u tintelingen voelt. Gezocht wordt naar de plaats waar normaal de pijn optreedt. Als de juiste positie is gevonden wordt de naaldpunt verwarmd door een elektrisch stroompje, dit duurt 3 minuten. Hierna is de behandeling klaar. Tijdens de behandeling kunt u een wat prikkend en brandend gevoel ervaren. Bij de behandeling middels cryoleasie wordt de punt van de naald bevroren gedurende 2 keer 3 minuten.

Title: Na de behandeling
De behandelingen duren ongeveer 20 minuten. Na de behandeling gaat u naar de aftercare. U kunt een verdoofd gevoel of krachtsvermindering hebben aan de behandelde kant, reden waarom u na de behandeling niet zelf actief deel mag nemen aan het verkeer.

Title: Resultaat
Het maximale effect van de behandeling is 6-8 weken na behandelen te beoordelen. De gebruikte verdoving werkt gemiddeld na 1-2 uur uit. Hierna komen de oorspronkelijke pijnklachten weer terug. Gemiddeld duurt het 2-3 weken voordat er een effect van de behandeling met stroom of bevriezing merkbaar wordt. Er volgt altijd een controle afspraak 6-8 weken na de behandeling om het tot dat moment behaalde resultaat te bespreken.

Title: Risico's en/of bijwerkingen
De volgende bijwerkingen en complicaties kunnen optreden. Ernstige complicaties komen zelden voor. 
- Er kan na de behandeling napijn optreden. Deze pijn kan enkele weken aanhouden, maar is vrijwel altijd van tijdelijke aard. U kunt hiervoor een pijnstiller innemen (Paracetamol volgens bijsluiter). 
- Er kan een bloeduitstorting in de buikwand optreden als gevolg van de prik. 
- Wanneer u koorts ontwikkelt, neem dan zo spoedig mogelijk contact op met uw pijnspecialist."
Adalimumab (Humira) bij IBD,page_0,"Title: Adalimumab (Humira®)
Bij de ziekte van Crohn en Colitis Ulcerosa Uw behandelend medisch of verpleegkundig specialist heeft met u gesproken over het gebruik van Adalimumab (Humira®). In deze folder krijgt u informatie over de werking en het gebruik van dit medicijn en wat u moet doen in geval van bijwerkingen. Het is echter géén vervanging van de bijsluiter. Hebt u na het lezen van deze folder nog vragen, dan kunt u daarmee terecht bij uw behandelend medisch of verpleegkundig specialist.

Title: Algemeen
De oorzaak van ziekte van de ziekte van Crohn en colitis ulcerosa is niet bekend. Elke behandeling met medicijnen is gericht op het onderdrukken van ontstekingsreacties. Hierdoor verminderen de klachten en is de kans op complicaties kleiner. Medicijnen kunnen de darmontsteking onderdrukken maar deze kunnen de ziekte niet definitief genezen. Na het afbouwen van of stoppen met medicijnen kunnen de klachten weer terugkomen.

Title: Werking
Adalimumab behoort tot de biologische middelen tegen de ziekte van Crohn en colitis ulcerosa. Hoewel de precieze oorzaak van beide ziektes niet bekend is, wordt bij patiënten een verhoogde hoeveelheid van het ontstekingseiwit TNF alfa gevonden. Dit eiwit speelt een rol bij het ontstaan en in stand houden van de ontsteking van het darmslijmvlies. Adalimumab blokkeert de effecten van TNF alfa. Daardoor wordt de ontsteking in de darm geremd en nemen de klachten (zoals diarree en buikpijn) af. Ook voelen veel patiënten zich over het algemeen minder moe en kunnen zij beter functioneren in het dagelijks leven. Het effect van Adalimumab is over het algemeen binnen enkele weken merkbaar.

Title: Voorzorgsmaatregelen
Voordat u start met Adalimumab is het belangrijk om sluimerende of actieve infecties uit te sluiten of te behandelen. Tuberculose is een infectie die zich soms jarenlang ongemerkt in de longen ophoudt zonder problemen te geven. Het immuunsysteem houdt de bacteriën dan onder controle. Het gebruik van Adalimumab kan ertoe leiden dat de infectie actief wordt. Daarom zult u voor het starten met de behandeling op tuberculose onderzocht worden. Ook Hepatitis B en C kunnen worden gecontroleerd, en soms ook HIV. Het is belangrijk dat u zelf let op algemene verschijnselen van infecties. Klachten die hierbij kunnen passen zijn: 
- gezwollen lymfeklieren in bijvoorbeeld hals en liezen; 
- aanhoudend hoesten; 
- plotseling gewichtsverlies; 
- koorts. Het is ook belangrijk dat u let op andere bronnen van infecties zoals wonden of problemen met het gebit. Als u denkt dat u een infectie heeft, meld dit dan aan uw behandelende medisch of verpleegkundig specialist. Adalimumab mag namelijk niet worden gebruikt als u een ernstige infectie heeft."
