,topic_id,filename,header,section_text,Document,Context Entities,Question,Answer,Fact
0,55.0,Gemalen voeding,Vragen,Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,55.0: Gemalen voeding: Vragen: Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,"[{'entityType': 'Phone', 'value': '+31887083220'}, {'entityType': 'Email', 'value': 'dietisten@zgt.nl'}, {'entityType': 'ORG', 'value': 'ZGT'}, {'entityType': 'ORG', 'value': 'zgt.nl'}]",Naar welk telefoonnummer kan ik bellen voor vragen over gemalen voeding?,U kunt bellen naar het telefoonnummer 088-708-3220 van de afdeling diëtetiek van ZGT.,"{'entityType': 'Phone', 'value': '+31887083220'}"
1,55.0,Gemalen voeding,Vragen,Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,55.0: Gemalen voeding: Vragen: Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,"[{'entityType': 'Phone', 'value': '+31887083220'}, {'entityType': 'Email', 'value': 'dietisten@zgt.nl'}, {'entityType': 'ORG', 'value': 'ZGT'}, {'entityType': 'ORG', 'value': 'zgt.nl'}]",Wie kan mijn vragen beantwoorden over gemalen voeding?,De diëtist van ZGT staat klaar om uw vragen over gemalen voeding te beantwoorden.,"{'entityType': 'Phone', 'value': '+31887083220'}"
2,55.0,Gemalen voeding,Vragen,Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,55.0: Gemalen voeding: Vragen: Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,"[{'entityType': 'Phone', 'value': '+31887083220'}, {'entityType': 'Email', 'value': 'dietisten@zgt.nl'}, {'entityType': 'ORG', 'value': 'ZGT'}, {'entityType': 'ORG', 'value': 'zgt.nl'}]",Op welke dagen en tijden is de afdeling diëtetiek bereikbaar?,De afdeling diëtetiek is op werkdagen bereikbaar van 8.30 tot 12.30 uur.,"{'entityType': 'Phone', 'value': '+31887083220'}"
3,55.0,Gemalen voeding,Vragen,Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,55.0: Gemalen voeding: Vragen: Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,"[{'entityType': 'Phone', 'value': '+31887083220'}, {'entityType': 'Email', 'value': 'dietisten@zgt.nl'}, {'entityType': 'ORG', 'value': 'ZGT'}, {'entityType': 'ORG', 'value': 'zgt.nl'}]",Wat is het e-mailadres van de diëtisten van ZGT?,Het e-mailadres van de diëtisten van ZGT is dietisten@zgt.nl.,"{'entityType': 'Phone', 'value': '+31887083220'}"
4,55.0,Gemalen voeding,Vragen,Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,55.0: Gemalen voeding: Vragen: Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,"[{'entityType': 'Phone', 'value': '+31887083220'}, {'entityType': 'Email', 'value': 'dietisten@zgt.nl'}, {'entityType': 'ORG', 'value': 'ZGT'}, {'entityType': 'ORG', 'value': 'zgt.nl'}]",Kan ik bij de afdeling diëtetiek terecht voor vragen over gemalen voeding?,"Ja, u kunt bij de afdeling diëtetiek terecht voor vragen over gemalen voeding.","{'entityType': 'Phone', 'value': '+31887083220'}"
5,55.0,Gemalen voeding,Vragen,Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,55.0: Gemalen voeding: Vragen: Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,"[{'entityType': 'Phone', 'value': '+31887083220'}, {'entityType': 'Email', 'value': 'dietisten@zgt.nl'}, {'entityType': 'ORG', 'value': 'ZGT'}, {'entityType': 'ORG', 'value': 'zgt.nl'}]",Vragen: Heeft u na het lezen van deze folder nog vragen?,"Ja, u kunt contact opnemen met de diëtist.","{'entityType': 'Email', 'value': 'dietisten@zgt.nl'}"
6,55.0,Gemalen voeding,Vragen,Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,55.0: Gemalen voeding: Vragen: Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,"[{'entityType': 'Phone', 'value': '+31887083220'}, {'entityType': 'Email', 'value': 'dietisten@zgt.nl'}, {'entityType': 'ORG', 'value': 'ZGT'}, {'entityType': 'ORG', 'value': 'zgt.nl'}]",Hoe kunt u de diëtist bereiken?,U kunt de diëtist bereiken via telefoonnummer 088 708 32 20.,"{'entityType': 'Email', 'value': 'dietisten@zgt.nl'}"
7,55.0,Gemalen voeding,Vragen,Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,55.0: Gemalen voeding: Vragen: Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,"[{'entityType': 'Phone', 'value': '+31887083220'}, {'entityType': 'Email', 'value': 'dietisten@zgt.nl'}, {'entityType': 'ORG', 'value': 'ZGT'}, {'entityType': 'ORG', 'value': 'zgt.nl'}]",Wat zijn de openingstijden van de diëtist?,De diëtist is bereikbaar op werkdagen van 8.30 - 12.30 uur.,"{'entityType': 'Email', 'value': 'dietisten@zgt.nl'}"
8,55.0,Gemalen voeding,Vragen,Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,55.0: Gemalen voeding: Vragen: Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,"[{'entityType': 'Phone', 'value': '+31887083220'}, {'entityType': 'Email', 'value': 'dietisten@zgt.nl'}, {'entityType': 'ORG', 'value': 'ZGT'}, {'entityType': 'ORG', 'value': 'zgt.nl'}]",Wat is het e-mailadres van de diëtist?,Het e-mailadres van de diëtist is dietisten@zgt.nl.,"{'entityType': 'Email', 'value': 'dietisten@zgt.nl'}"
9,55.0,Gemalen voeding,Vragen,Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,55.0: Gemalen voeding: Vragen: Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,"[{'entityType': 'Phone', 'value': '+31887083220'}, {'entityType': 'Email', 'value': 'dietisten@zgt.nl'}, {'entityType': 'ORG', 'value': 'ZGT'}, {'entityType': 'ORG', 'value': 'zgt.nl'}]",Waar kunt u terecht met uw vragen?,U kunt uw vragen stellen aan de diëtist via e-mail of telefoon.,"{'entityType': 'Email', 'value': 'dietisten@zgt.nl'}"
