,Unnamed: 0,topic_id,filename,header,section_text,Document,Question,Answer
0,0,0.0,"Echografie, armen _ benen (spieren & gewrichten)",Afzeggen van het onderzoek,"Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.","0.0: Echografie, armen _ benen (spieren & gewrichten): Afzeggen van het onderzoek: Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.",Hoe kan ik een afspraak afzeggen voor een echografie onderzoek van armen en benen?,U kunt de afspraak voor een echografie onderzoek van armen en benen afzeggen door contact op te nemen met de afdeling radiologie via telefoonnummer 088 708 37 00.
1,1,0.0,"Echografie, armen _ benen (spieren & gewrichten)",Afzeggen van het onderzoek,"Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.","0.0: Echografie, armen _ benen (spieren & gewrichten): Afzeggen van het onderzoek: Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.",Wat moet ik doen als ik de afspraak voor een echografie onderzoek van armen en benen niet kan nakomen?,"Als u de afspraak voor een echografie onderzoek van armen en benen niet kunt nakomen, moet u dit zo snel mogelijk melden aan de afdeling radiologie via telefoonnummer 088 708 37 00."
2,2,0.0,"Echografie, armen _ benen (spieren & gewrichten)",Afzeggen van het onderzoek,"Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.","0.0: Echografie, armen _ benen (spieren & gewrichten): Afzeggen van het onderzoek: Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.",Wat gebeurt er als ik de afspraak voor een echografie onderzoek van armen en benen niet afzeg?,"Als u de afspraak voor een echografie onderzoek van armen en benen niet tijdig afzegt, kan de onderzoek tijd verloren gaan."
3,3,0.0,"Echografie, armen _ benen (spieren & gewrichten)",Afzeggen van het onderzoek,"Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.","0.0: Echografie, armen _ benen (spieren & gewrichten): Afzeggen van het onderzoek: Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.",Wat is het telefoonnummer van de afdeling radiologie?,Het telefoonnummer van de afdeling radiologie is 088 708 37 00.
4,4,0.0,"Echografie, armen _ benen (spieren & gewrichten)",Afzeggen van het onderzoek,"Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.","0.0: Echografie, armen _ benen (spieren & gewrichten): Afzeggen van het onderzoek: Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.",Hoe kan ik contact opnemen met de afdeling radiologie?,U kunt contact opnemen met de afdeling radiologie door te bellen naar 088 708 37 00.
5,5,0.0,"Echografie, armen _ benen (spieren & gewrichten)",Afzeggen van het onderzoek,"Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.","0.0: Echografie, armen _ benen (spieren & gewrichten): Afzeggen van het onderzoek: Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.",Wat is de procedure voor het afzeggen van een echografie voor armen en benen?,"Om een afspraak voor een echografie voor armen en benen af te zeggen, dient u contact op te nemen met de afdeling radiologie via het telefoonnummer 088 708 37 00."
6,6,0.0,"Echografie, armen _ benen (spieren & gewrichten)",Afzeggen van het onderzoek,"Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.","0.0: Echografie, armen _ benen (spieren & gewrichten): Afzeggen van het onderzoek: Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.",Wat moet ik doen als ik mijn afspraak voor een echografie voor armen en benen niet kan nakomen?,"Indien u om wat voor reden dan ook de afspraak niet kunt nakomen, dient u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00."
7,7,0.0,"Echografie, armen _ benen (spieren & gewrichten)",Afzeggen van het onderzoek,"Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.","0.0: Echografie, armen _ benen (spieren & gewrichten): Afzeggen van het onderzoek: Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.",Waar kan ik terecht voor het verzetten van mijn afspraak voor een echografie voor armen en benen?,U kunt uw afspraak voor een echografie voor armen en benen verzetten door contact op te nemen met de afdeling radiologie via telefoonnummer 088 708 37 00.
8,8,0.0,"Echografie, armen _ benen (spieren & gewrichten)",Afzeggen van het onderzoek,"Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.","0.0: Echografie, armen _ benen (spieren & gewrichten): Afzeggen van het onderzoek: Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.",Wat is het telefoonnummer van de afdeling radiologie voor het afzeggen van een echografie voor armen en benen?,Het telefoonnummer van de afdeling radiologie voor het afzeggen van een echografie voor armen en benen is 088 708 37 00.
9,9,0.0,"Echografie, armen _ benen (spieren & gewrichten)",Afzeggen van het onderzoek,"Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.","0.0: Echografie, armen _ benen (spieren & gewrichten): Afzeggen van het onderzoek: Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.",Waar moet ik mijn afzegging voor een echografie voor armen en benen melden?,U dient uw afzegging voor een echografie voor armen en benen te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00.
