,Unnamed: 0,topic_id,filename,header,section_text,Document,Question,Answer
0,0,45,Abatacept onderhuidse injectie,Abatacept (Orencia®) per infuus,"Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.","45: Abatacept onderhuidse injectie: Abatacept (Orencia®) per infuus: Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.",Wat is abatacept en waar wordt het voor gebruikt?,Abatacept is een biologische reumaremmer die wordt voorgeschreven door reumatologen voor de behandeling van reumatische aandoeningen.
1,1,45,Abatacept onderhuidse injectie,Abatacept (Orencia®) per infuus,"Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.","45: Abatacept onderhuidse injectie: Abatacept (Orencia®) per infuus: Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.",Welke belangrijke informatie moet ik weten voordat ik abatacept gebruik?,Het is belangrijk dat u de bijsluiter van de apotheek leest voordat u abatacept gaat gebruiken.
2,2,45,Abatacept onderhuidse injectie,Abatacept (Orencia®) per infuus,"Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.","45: Abatacept onderhuidse injectie: Abatacept (Orencia®) per infuus: Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.",Hoe wordt abatacept toegediend?,Abatacept kan onderhuids worden geïnjecteerd of via een infuus worden toegediend.
3,3,45,Abatacept onderhuidse injectie,Abatacept (Orencia®) per infuus,"Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.","45: Abatacept onderhuidse injectie: Abatacept (Orencia®) per infuus: Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.",Waarom is het belangrijk om de bijsluiter te lezen?,Het is belangrijk om de bijsluiter te lezen om goed geïnformeerd te zijn over het gebruik van abatacept.
4,4,45,Abatacept onderhuidse injectie,Abatacept (Orencia®) per infuus,"Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.","45: Abatacept onderhuidse injectie: Abatacept (Orencia®) per infuus: Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.",Welke rol speelt uw reumatoloog bij het voorschrijven van abatacept?,Uw reumatoloog heeft abatacept voorgeschreven en kan u meer informatie geven over het gebruik en de effectiviteit ervan.
5,5,45,Abatacept onderhuidse injectie,Abatacept (Orencia®) per infuus,"Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.","45: Abatacept onderhuidse injectie: Abatacept (Orencia®) per infuus: Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.",Wat is Abatacept en waarvoor wordt het voorgeschreven?,Abatacept is een biologische reumaremmer die wordt voorgeschreven door reumatologen voor de behandeling van reumatische aandoeningen.
6,6,45,Abatacept onderhuidse injectie,Abatacept (Orencia®) per infuus,"Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.","45: Abatacept onderhuidse injectie: Abatacept (Orencia®) per infuus: Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.",Hoe moet ik Abatacept gebruiken?,Om Abatacept goed te gebruiken is het belangrijk om naast deze folder ook de bijsluiter van de apotheek te lezen.
7,7,45,Abatacept onderhuidse injectie,Abatacept (Orencia®) per infuus,"Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.","45: Abatacept onderhuidse injectie: Abatacept (Orencia®) per infuus: Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.",Wat zijn de bijwerkingen van Abatacept?,De bijwerkingen van Abatacept kunnen variëren en zijn te vinden in de bijsluiter van de apotheek.
8,8,45,Abatacept onderhuidse injectie,Abatacept (Orencia®) per infuus,"Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.","45: Abatacept onderhuidse injectie: Abatacept (Orencia®) per infuus: Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.",Wat moet ik doen als ik een dosis Abatacept heb gemist?,"Als u een dosis Abatacept hebt gemist, neem dan zo snel mogelijk contact op met uw arts voor advies."
9,9,45,Abatacept onderhuidse injectie,Abatacept (Orencia®) per infuus,"Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.","45: Abatacept onderhuidse injectie: Abatacept (Orencia®) per infuus: Uw reumatoloog heeft u abatacept voorgeschreven voor de behandeling van uw reumatische aandoening. Dit is een biologische reumaremmer. Om dit medicijn goed te gebruiken, is het belangrijk dat u er een aantal dingen over weet. Lees daarom behalve deze folder ook de bijsluiter van de apotheek.",Hoe vaak wordt Abatacept toegediend?,"Het is afhankelijk van de specifieke reumatische aandoening, maar Abatacept kan worden toegediend als onderhuidse injectie of per infuus."
