,topic_id,filename,header,section_text,Document,Question,Answer
0,1,Vloeibare voeding na (sub)totale maagresectie,Warme maaltijd,"Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten","1: Vloeibare voeding na (sub)totale maagresectie: Warme maaltijd: Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten",Kan ik na een (sub)totale maagresectie nog steeds een warme maaltijd eten?,"Ja, na een (sub)totale maagresectie kunt u nog steeds een warme maaltijd eten. Het is belangrijk dat u voeding kiest die gemakkelijk gemalen kan worden en dat u deze zo nodig met bouillon of jus verdunt."
1,1,Vloeibare voeding na (sub)totale maagresectie,Warme maaltijd,"Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten","1: Vloeibare voeding na (sub)totale maagresectie: Warme maaltijd: Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten","Welke soorten vlees, vis of kip kan ik het beste eten na een (sub)totale maagresectie?","Na een (sub)totale maagresectie kunt u het beste gemalen vlees, gestoofde vis of gemalen kip eten. Het is belangrijk om voeding te kiezen die gemakkelijk te malen is."
2,1,Vloeibare voeding na (sub)totale maagresectie,Warme maaltijd,"Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten","1: Vloeibare voeding na (sub)totale maagresectie: Warme maaltijd: Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten",Welke soorten groenten kan ik het beste eten na een (sub)totale maagresectie?,"Na een (sub)totale maagresectie kunt u het beste diepvriesgroenten, fijngemaakte stamppot, gezeefde paprika en courgette eten. Het is belangrijk om voeding te kiezen die gemakkelijk te malen is."
3,1,Vloeibare voeding na (sub)totale maagresectie,Warme maaltijd,"Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten","1: Vloeibare voeding na (sub)totale maagresectie: Warme maaltijd: Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten",Kan ik na een (sub)totale maagresectie nog steeds soep eten?,"Ja, na een (sub)totale maagresectie kunt u nog steeds soep eten. Het is belangrijk om soep te kiezen uit blik of een pakje en deze zo nodig te malen."
4,1,Vloeibare voeding na (sub)totale maagresectie,Warme maaltijd,"Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten","1: Vloeibare voeding na (sub)totale maagresectie: Warme maaltijd: Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten","Kan ik na een (sub)totale maagresectie nog steeds rijst, pasta of aardappelen eten?","Ja, na een (sub)totale maagresectie kunt u nog steeds rijst, pasta of aardappelen eten. Het is belangrijk om deze voeding goed te malen en zo nodig te verdunnen met bouillon of jus."
5,1,Vloeibare voeding na (sub)totale maagresectie,Warme maaltijd,"Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten","1: Vloeibare voeding na (sub)totale maagresectie: Warme maaltijd: Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten",Hoe kan ik mijn voeding op smaak maken na een (sub)totale maagresectie?,"Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat."
6,1,Vloeibare voeding na (sub)totale maagresectie,Warme maaltijd,"Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten","1: Vloeibare voeding na (sub)totale maagresectie: Warme maaltijd: Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten",Welke voedingsmiddelen kan ik het beste fijnmalen na een maagresectie?,"Gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes)."
7,1,Vloeibare voeding na (sub)totale maagresectie,Warme maaltijd,"Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten","1: Vloeibare voeding na (sub)totale maagresectie: Warme maaltijd: Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten",Welke menucombinaties zijn geschikt voor patiënten na een (sub)totale maagresectie?,"Voorbeelden van menucombinaties zijn: ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk. Rijst met goulash, paprika, tomaat en bouillon. Gemalen rookworst, stamppot boerenkool en bouillon. Visragout, worteltjes, aardappelpuree en melk. Spaghetti bolognese met extra saus, paprika, ui en courgette. Kipragout, bietjes, aardappelen en bouillon. Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes. Gemalen runderlapje, sperziebonen, aardappelen en jus. Rijst met gehakt in roomsaus en doperwten."
8,1,Vloeibare voeding na (sub)totale maagresectie,Warme maaltijd,"Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten","1: Vloeibare voeding na (sub)totale maagresectie: Warme maaltijd: Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten",Welke specifieke voedingsmiddelen kan ik het beste vermijden na een maagresectie?,"Het wordt afgeraden om natriumbicarbonaat te gebruiken als medicatie de oorzaak is van de verstopping, omdat dit de verstopping groter kan maken. Daarnaast wordt het afraden om voerdraad of koolzuurhoudend bronwater of frisdranken te gebruiken, omdat dit kan leiden tot perforatie."
9,1,Vloeibare voeding na (sub)totale maagresectie,Warme maaltijd,"Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten","1: Vloeibare voeding na (sub)totale maagresectie: Warme maaltijd: Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten",Welke voedingsmiddelen kan ik het beste vermijden bij het doorspoelen van een verstopte voedingssonde?,"Het wordt afgeraden om natriumbicarbonaat te gebruiken als medicatie de oorzaak is van de verstopping, omdat dit de verstopping groter kan maken. Daarnaast wordt het afraden om voerdraad of koolzuurhoudend bronwater of frisdranken te gebruiken, omdat dit kan leiden tot perforatie."
