,topic_id,filename,header,section_text,Document,Context Entities,Question,Answer,Fact
0,61.0,Congenitale heupdysplasie,Informatie,Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,61.0: Congenitale heupdysplasie: Informatie: Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,"[{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}, {'entityType': 'ORG', 'value': 'Vereniging aangeboren heupafwijkingen'}, {'entityType': 'LOC', 'value': 'Oudstraat'}, {'entityType': 'LOC', 'value': 'IJSSELSTEIN'}, {'entityType': 'ORG', 'value': 'maxi-cosi.nl'}]",Wat is de naam van de organisatie die informatie verstrekt over congenitale heupdysplasie?,De Vereniging aangeboren heupafwijkingen verstrekt informatie over congenitale heupdysplasie.,"{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}"
1,61.0,Congenitale heupdysplasie,Informatie,Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,61.0: Congenitale heupdysplasie: Informatie: Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,"[{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}, {'entityType': 'ORG', 'value': 'Vereniging aangeboren heupafwijkingen'}, {'entityType': 'LOC', 'value': 'Oudstraat'}, {'entityType': 'LOC', 'value': 'IJSSELSTEIN'}, {'entityType': 'ORG', 'value': 'maxi-cosi.nl'}]",Wat is het adres van de Vereniging aangeboren heupafwijkingen?,Het adres van de Vereniging aangeboren heupafwijkingen is Oudstraat 2 3404 HC IJSSELSTEIN.,"{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}"
2,61.0,Congenitale heupdysplasie,Informatie,Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,61.0: Congenitale heupdysplasie: Informatie: Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,"[{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}, {'entityType': 'ORG', 'value': 'Vereniging aangeboren heupafwijkingen'}, {'entityType': 'LOC', 'value': 'Oudstraat'}, {'entityType': 'LOC', 'value': 'IJSSELSTEIN'}, {'entityType': 'ORG', 'value': 'maxi-cosi.nl'}]",Wat is het e-mailadres van de Vereniging aangeboren heupafwijkingen?,Het e-mailadres van de Vereniging aangeboren heupafwijkingen is info@heupafwijkingen.nl.,"{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}"
3,61.0,Congenitale heupdysplasie,Informatie,Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,61.0: Congenitale heupdysplasie: Informatie: Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,"[{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}, {'entityType': 'ORG', 'value': 'Vereniging aangeboren heupafwijkingen'}, {'entityType': 'LOC', 'value': 'Oudstraat'}, {'entityType': 'LOC', 'value': 'IJSSELSTEIN'}, {'entityType': 'ORG', 'value': 'maxi-cosi.nl'}]",Wat is de website van de Vereniging aangeboren heupafwijkingen?,De website van de Vereniging aangeboren heupafwijkingen is heupafwijkingen.nl.,"{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}"
4,61.0,Congenitale heupdysplasie,Informatie,Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,61.0: Congenitale heupdysplasie: Informatie: Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,"[{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}, {'entityType': 'ORG', 'value': 'Vereniging aangeboren heupafwijkingen'}, {'entityType': 'LOC', 'value': 'Oudstraat'}, {'entityType': 'LOC', 'value': 'IJSSELSTEIN'}, {'entityType': 'ORG', 'value': 'maxi-cosi.nl'}]",Waar kan ik meer informatie vinden over heupdysplasie in relatie tot het gebruik van een maxi-cosi?,Meer informatie over heupdysplasie in relatie tot het gebruik van een maxi-cosi is te vinden op maxi-cosi.nl/nl-nl/service/heupdysplasie-service.aspx.,"{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}"
5,61.0,Congenitale heupdysplasie,Informatie,Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,61.0: Congenitale heupdysplasie: Informatie: Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,"[{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}, {'entityType': 'ORG', 'value': 'Vereniging aangeboren heupafwijkingen'}, {'entityType': 'LOC', 'value': 'Oudstraat'}, {'entityType': 'LOC', 'value': 'IJSSELSTEIN'}, {'entityType': 'ORG', 'value': 'maxi-cosi.nl'}]",Wat is de volledige naam en locatie van de Vereniging aangeboren heupafwijkingen?,De Vereniging aangeboren heupafwijkingen is gevestigd op de Oudstraat 2 in IJsselstein.,"{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}"
6,61.0,Congenitale heupdysplasie,Informatie,Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,61.0: Congenitale heupdysplasie: Informatie: Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,"[{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}, {'entityType': 'ORG', 'value': 'Vereniging aangeboren heupafwijkingen'}, {'entityType': 'LOC', 'value': 'Oudstraat'}, {'entityType': 'LOC', 'value': 'IJSSELSTEIN'}, {'entityType': 'ORG', 'value': 'maxi-cosi.nl'}]",Wat is het e-mailadres van de Vereniging aangeboren heupafwijkingen?,Het e-mailadres van de Vereniging aangeboren heupafwijkingen is info@heupafwijkingen.nl.,"{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}"
7,61.0,Congenitale heupdysplasie,Informatie,Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,61.0: Congenitale heupdysplasie: Informatie: Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,"[{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}, {'entityType': 'ORG', 'value': 'Vereniging aangeboren heupafwijkingen'}, {'entityType': 'LOC', 'value': 'Oudstraat'}, {'entityType': 'LOC', 'value': 'IJSSELSTEIN'}, {'entityType': 'ORG', 'value': 'maxi-cosi.nl'}]",Welke informatie kan worden gevonden op de website heupafwijkingen.nl?,Op de website heupafwijkingen.nl is informatie te vinden over aangeboren heupafwijkingen.,"{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}"
8,61.0,Congenitale heupdysplasie,Informatie,Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,61.0: Congenitale heupdysplasie: Informatie: Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,"[{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}, {'entityType': 'ORG', 'value': 'Vereniging aangeboren heupafwijkingen'}, {'entityType': 'LOC', 'value': 'Oudstraat'}, {'entityType': 'LOC', 'value': 'IJSSELSTEIN'}, {'entityType': 'ORG', 'value': 'maxi-cosi.nl'}]",Wat is het telefoonnummer van Vereniging aangeboren heupafwijkingen?,Helaas is het telefoonnummer van de Vereniging aangeboren heupafwijkingen niet vermeld in de tekst.,"{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}"
9,61.0,Congenitale heupdysplasie,Informatie,Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,61.0: Congenitale heupdysplasie: Informatie: Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,"[{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}, {'entityType': 'ORG', 'value': 'Vereniging aangeboren heupafwijkingen'}, {'entityType': 'LOC', 'value': 'Oudstraat'}, {'entityType': 'LOC', 'value': 'IJSSELSTEIN'}, {'entityType': 'ORG', 'value': 'maxi-cosi.nl'}]",Welke informatie is te vinden op de website maxi-cosi.nl over heupdysplasie?,Op de website maxi-cosi.nl is informatie te vinden over de service voor heupdysplasie.,"{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}"
10,55.0,Gemalen voeding,Vragen,Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,55.0: Gemalen voeding: Vragen: Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,"[{'entityType': 'Phone', 'value': '+31887083220'}, {'entityType': 'Email', 'value': 'dietisten@zgt.nl'}, {'entityType': 'ORG', 'value': 'ZGT'}, {'entityType': 'ORG', 'value': 'zgt.nl'}]",Wat is het telefoonnummer van de afdeling diëtetiek van ZGT?,Het telefoonnummer van de afdeling diëtetiek van ZGT is 088 708 32 20.,"{'entityType': 'Phone', 'value': '+31887083220'}"
11,55.0,Gemalen voeding,Vragen,Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,55.0: Gemalen voeding: Vragen: Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,"[{'entityType': 'Phone', 'value': '+31887083220'}, {'entityType': 'Email', 'value': 'dietisten@zgt.nl'}, {'entityType': 'ORG', 'value': 'ZGT'}, {'entityType': 'ORG', 'value': 'zgt.nl'}]",Op welke tijden is de diëtist bereikbaar op werkdagen?,De diëtist is bereikbaar op werkdagen van 8.30 - 12.30 uur.,"{'entityType': 'Phone', 'value': '+31887083220'}"
12,55.0,Gemalen voeding,Vragen,Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,55.0: Gemalen voeding: Vragen: Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,"[{'entityType': 'Phone', 'value': '+31887083220'}, {'entityType': 'Email', 'value': 'dietisten@zgt.nl'}, {'entityType': 'ORG', 'value': 'ZGT'}, {'entityType': 'ORG', 'value': 'zgt.nl'}]",Hoe kunt u de diëtist bereiken?,U kunt de diëtist bereiken via telefoonnummer 088 708 32 20 of per e-mail op dietisten@zgt.nl.,"{'entityType': 'Phone', 'value': '+31887083220'}"
13,55.0,Gemalen voeding,Vragen,Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,55.0: Gemalen voeding: Vragen: Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,"[{'entityType': 'Phone', 'value': '+31887083220'}, {'entityType': 'Email', 'value': 'dietisten@zgt.nl'}, {'entityType': 'ORG', 'value': 'ZGT'}, {'entityType': 'ORG', 'value': 'zgt.nl'}]",Wat is het e-mailadres van de diëtist van ZGT?,Het e-mailadres van de diëtist van ZGT is dietisten@zgt.nl.,"{'entityType': 'Phone', 'value': '+31887083220'}"
