,topic_id,filename,header,section_text,Fact,Question,Answer
523,0.0,"Angiografie, dotterbehandeling en_of stentplaatsing",Neem contact op indien,"- U koorts krijgt (38,5°C of hoger). 
- De lies erg gevoelig/pijnlijk is. 
- Een zwelling in de lies optreedt. 
- De lies rood verkleurt en erg warm aanvoelt. 
- Uw been gevoelloos of pijnlijk aanvoelt. 
- U huiduitslag heeft. Tijdens kantooruren kunt u contact opnemen met het secretariaat vaatchirurgie, telefoonnummer 088 708 52 43. Heeft u klachten die niet tot de volgende dag kunnen wachten, dan kunt u buiten kantooruren contact opnemen met de afdeling spoedeisende hulp, telefoonnummer 088 708 78 78.","{'entityType': 'Phone', 'value': '+31887085243'}",Wat moet ik doen als mijn lies rood verkleurt en erg warm aanvoelt?,Neem contact op met het secretariaat vaatchirurgie op telefoonnummer 088 708 52 43.
310,0.0,Autonoom Functie Onderzoek (AFO),Belangrijke telefoonnummers,"Voor het maken en wijzigen van afspraken kunt u contact opnemen met het secretariaat neurologie, telefoonnummer 088 708 43 20, locatie Almelo. Voor vragen over het onderzoek kunt u contact opnemen met de KNF-afdeling, telefoonnummer 088 708 33 13, locatie Almelo.","{'entityType': 'Phone', 'value': '+31887084320'}",Wat is het algemene telefoonnummer van de locatie Almelo?,Het algemene telefoonnummer van de locatie Almelo is 088 708 43 20.
533,0.0,CT schedel kind  (ZGT Almelo),Verhindering,"Wanneer u en uw kind door omstandigheden niet kunt komen, neem dan zo spoedig mogelijk telefonisch contact met ons op. Op werkdagen zijn wij tussen 08.00 en 16.30 uur telefonisch bereikbaar op het volgende telefoonnummer: 088 708 37 00.","{'entityType': 'Phone', 'value': '+31887083700'}",Hoe kan ik ZGT Almelo bereiken op werkdagen?,U kunt ZGT Almelo telefonisch bereiken op het telefoonnummer 088 708 37 00 op werkdagen tussen 08.00 en 16.30 uur.
546,0.0,Coloscopie klinisch,Vragen,"Mocht u nog vragen hebben stel ze dan gerust. U kunt bellen naar het MDL-centrum, telefoonnummer 088 708 34 00.","{'entityType': 'Phone', 'value': '+31887083400'}",Welk centrum kan ik bellen voor vragen over een coloscopie?,U kunt het MDL-centrum bellen op 088 708 34 00.
353,0.0,Ductaal carcinoom in situ (DCIS),Vragen,Heeft u na het lezen van deze folder vragen? Neem dan contact op met uw medisch specialist of mammacareverpleegkundige van de Borstkliniek Oost-Nederland in Hengelo via telefoonnummer 088 708 52 32 of e-mail: mammapoli@zgt.nl,"{'entityType': 'Phone', 'value': '+31887085232'}",Heeft u vragen na het lezen van de folder over Ductaal carcinoom in situ (DCIS)?,"Ja, u kunt contact opnemen met uw medisch specialist of mammacareverpleegkundige van de Borstkliniek Oost-Nederland in Hengelo via telefoonnummer 088 708 52 32 of e-mail: mammapoli@zgt.nl."
225,0.0,Echopunctie,Vragen,"Mocht u na het lezen van deze folder nog vragen hebben, stel ze dan gerust. De specialist of verpleegkundige wil ze graag beantwoorden. Op werkdagen is de afdeling radiologie tussen 08.30 – 12.30 uur en van 13.00 - 16.30 uur telefonisch bereikbaar op het volgende telefoonnummer: 088 708 37 00.","{'entityType': 'Phone', 'value': '+31887083700'}",Waar kan ik terecht met vragen over een echopunctie?,U kunt gerust vragen stellen aan de specialist of verpleegkundige van de afdeling radiologie. Zij zijn bereikbaar op werkdagen tussen 08.30 – 12.30 uur en van 13.00 - 16.30 uur op het telefoonnummer 088 708 37 00.
95,0.0,Hartrevalidatie cardiologie,Vragen,Voor vragen zijn wij op werkdagen van 8.00 - 12.00 uur en van 13.00 - 16.30 uur telefonisch bereikbaar op 088 708 33 00. Of per e-mail: hartrevalidatie@zgt.nl Vermeld in de e-mail uw achternaam en geboortedatum.,"{'entityType': 'Email', 'value': 'hartrevalidatie@zgt.nl'}",Hoe kan ik hartrevalidatie aanvragen?,U kunt hartrevalidatie aanvragen door ons te bellen op 088 708 33 00 of een e-mail te sturen naar hartrevalidatie@zgt.nl.
125,0.0,Opname kind- en tienerafdeling,Polikliniek kindergeneeskunde,Telefoonnummer 088 708 31 20. De polikliniek kindergeneeskunde grenst aan de kind- en tienerafdeling en staat daar mee in verbinding. Te vinden op routenummer 0.11.,"{'entityType': 'Phone', 'value': '+31887083120'}",Wat is de naam van de polikliniek kindergeneeskunde?,De naam van de polikliniek kindergeneeskunde is telefoonnummer 088 708 31 20.
83,0.0,Patiëntenportaal KNO,Contact,"Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)","{'entityType': 'Phone', 'value': '+31887083350'}",Wanneer kan ik bellen naar het telefoonnummer 088 708 33 50 bij ZGT?,U kunt bellen naar het telefoonnummer 088 708 33 50 bij ZGT tijdens kantooruren.
489,0.0,"Schisis, lipsluiting",Victor Veau stichting,Telefoonnummer 06 30 37 73 65 E-mail: secretariaat@schisis-team.nl. Kijk voor meer informatie ook op: schisis-team.nl.,"{'entityType': 'Email', 'value': 'secretariaat@schisis-team.nl'}",Wat is het e-mailadres van het secretariaat van de Schisis Team NL?,Het e-mailadres van het secretariaat van de Schisis Team NL is secretariaat@schisis-team.nl.
