,topic_id,filename,header,section_text,Document,Question,Answer
0,9,Aambeien (heamorroiden),Wat zijn geen aambeien?,"Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.","9: Aambeien (heamorroiden): Wat zijn geen aambeien?: Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.",Wat zijn zogenaamde skintags of marisken?,Skintags of marisken zijn uitpuilende huidflapjes/huidplooitjes aan de rand van de anus.
1,9,Aambeien (heamorroiden),Wat zijn geen aambeien?,"Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.","9: Aambeien (heamorroiden): Wat zijn geen aambeien?: Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.",Waar bevinden skintags zich?,Skintags bevinden zich rondom de anus en worden niet chirurgisch verwijderd vanwege mogelijke complicaties.
2,9,Aambeien (heamorroiden),Wat zijn geen aambeien?,"Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.","9: Aambeien (heamorroiden): Wat zijn geen aambeien?: Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.",Wat veroorzaakt anale kloofjes?,Anale kloofjes worden veroorzaakt door kleine wondjes in de huid van het anale kanaal.
3,9,Aambeien (heamorroiden),Wat zijn geen aambeien?,"Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.","9: Aambeien (heamorroiden): Wat zijn geen aambeien?: Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.",Welke behandeling wordt meestal als eerste gebruikt voor anale fissuren?,In eerste instantie wordt een anale fissuur behandeld met een crème.
4,9,Aambeien (heamorroiden),Wat zijn geen aambeien?,"Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.","9: Aambeien (heamorroiden): Wat zijn geen aambeien?: Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.",Wat zijn condylomen?,Condylomen zijn wratachtige afwijkingen rondom de anus die veroorzaakt worden door een (seksueel) overdraagbaar virus.
5,9,Aambeien (heamorroiden),Wat zijn geen aambeien?,"Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.","9: Aambeien (heamorroiden): Wat zijn geen aambeien?: Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.",Wat zijn skintags of marisken?,Skintags of marisken zijn kleine huidflapjes of huidplooitjes die aan de rand van de anus kunnen voorkomen.
6,9,Aambeien (heamorroiden),Wat zijn geen aambeien?,"Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.","9: Aambeien (heamorroiden): Wat zijn geen aambeien?: Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.",Worden skintags of marisken chirurgisch verwijderd?,"In principe worden skintags of marisken niet chirurgisch verwijderd, omdat ze vaak terugkomen en een operatie littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting kan veroorzaken."
7,9,Aambeien (heamorroiden),Wat zijn geen aambeien?,"Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.","9: Aambeien (heamorroiden): Wat zijn geen aambeien?: Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.",Wat zijn anale kloofjes?,"Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal die vaak een heftige, scherpe pijn tijdens en na de stoelgang veroorzaken."
8,9,Aambeien (heamorroiden),Wat zijn geen aambeien?,"Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.","9: Aambeien (heamorroiden): Wat zijn geen aambeien?: Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.",Hoe worden anale kloofjes behandeld?,Anale kloofjes worden in eerste instantie behandeld met een crème. Voor uitgebreide informatie over een anale kloofjes zie de folder ‘Anale kloofjes’.
9,9,Aambeien (heamorroiden),Wat zijn geen aambeien?,"Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.","9: Aambeien (heamorroiden): Wat zijn geen aambeien?: Regelmatig zitten er aan de rand van de anus uitpuilende huidflapjes/huidplooitjes. Ze worden ook wel skintags of marisken genoemd. Soms zijn ze erg opvallend maar zijn onschuldig van aard. Deze skintags worden in principe niet chirurgisch verwijderd. Zij bevinden zich namelijk rondom de anus (operatie geeft littekenvorming en mogelijk vernauwing en verlies van vocht/dunne ontlasting) en komen regelmatig weer terug. Soms geven de skintags wel klachten door zwelling of omdat ze hinderen bij het schoonmaken van de anus, dan moet de medisch specialist of verpleegkundig specialist bekijken of een operatie toch noodzakelijk/mogelijk is. Anale kloofjes zijn kleine wondjes in de huid van het anale kanaal. Deze wondjes veroorzaken vaak een heftige, scherpe pijn tijdens en na de stoelgang. Ze worden ook wel anale fissuren genoemd. Soms is deze pijn zo hevig, dat u zich nauwelijks meer durft te ontlasten. Anale fissuren zijn soms hardnekkig en chronisch van aard. In eerste instantie wordt de anale fissuur behandeld met een crème. Voor uitgebreide informatie over een anale fissuur zie folder ‘Anale fissuur’. Soms bestaan er wratachtige afwijkingen rondom de anus. Dit zijn zogenaamde condylomen (wratten) en worden veroorzaakt door een (seksueel) overdraagbaar virus. Soms is een behandeling door chirurg of dermatoloog noodzakelijk, maar vaak gaan ze vanzelf weer weg.",Wat zijn condylomen (wratten)?,Condylomen (wratten) zijn wratachtige afwijkingen rondom de anus die worden veroorzaakt door een (seksueel) overdraagbaar virus.
