,topic_id,filename,header,section_text,Document,Question,Answer
0,0.0,Patiëntenportaal KNO,Contact,"Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)","0.0: Patiëntenportaal KNO: Contact: Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)",Wat is het telefoonnummer van de polikliniek keel-neus-oorheelkunde?,Het telefoonnummer van de polikliniek keel-neus-oorheelkunde is 088 708 33 50 (tijdens kantooruren).
1,0.0,Patiëntenportaal KNO,Contact,"Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)","0.0: Patiëntenportaal KNO: Contact: Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)",Waar kan ik terecht voor vragen over het gebruik van het patiëntenportaal MijnZGT?,"Voor vragen over het gebruik van het patiëntenportaal MijnZGT kunt u contact opnemen met ZGT, polikliniek keel-neus-oorheelkunde."
2,0.0,Patiëntenportaal KNO,Contact,"Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)","0.0: Patiëntenportaal KNO: Contact: Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)",Is het patiëntenportaal MijnZGT ook beschikbaar voor KNO-patiënten?,"Ja, het patiëntenportaal MijnZGT is ook beschikbaar voor KNO-patiënten."
3,0.0,Patiëntenportaal KNO,Contact,"Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)","0.0: Patiëntenportaal KNO: Contact: Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)",Wat is het webadres van het patiëntenportaal MijnZGT?,Het webadres van het patiëntenportaal MijnZGT is https://www.mijnzgt.nl.
4,0.0,Patiëntenportaal KNO,Contact,"Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)","0.0: Patiëntenportaal KNO: Contact: Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)",Wat is het algemene telefoonnummer van ZGT?,Het algemene telefoonnummer van ZGT is 088 708 7878.
5,0.0,Patiëntenportaal KNO,Contact,"Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)","0.0: Patiëntenportaal KNO: Contact: Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)",Hoe kan ik contact opnemen met ZGT voor vragen over het patiëntenportaal MijnZGT?,"U kunt contact opnemen met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)."
6,0.0,Patiëntenportaal KNO,Contact,"Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)","0.0: Patiëntenportaal KNO: Contact: Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)",Waar kan ik terecht voor vragen over het gebruiken van het patiëntenportaal MijnZGT?,"U kunt terecht bij ZGT, polikliniek keel-neus- oorheelkunde."
7,0.0,Patiëntenportaal KNO,Contact,"Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)","0.0: Patiëntenportaal KNO: Contact: Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)",Wat is het telefoonnummer van ZGT voor vragen over het patiëntenportaal MijnZGT?,Het telefoonnummer van ZGT is 088 708 33 50 (tijdens kantooruren).
8,0.0,Patiëntenportaal KNO,Contact,"Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)","0.0: Patiëntenportaal KNO: Contact: Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)",Kan ik buiten kantooruren contact opnemen met ZGT voor vragen over het patiëntenportaal MijnZGT?,"Nee, u kunt alleen tijdens kantooruren contact opnemen met ZGT voor vragen over het patiëntenportaal MijnZGT."
9,0.0,Patiëntenportaal KNO,Contact,"Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)","0.0: Patiëntenportaal KNO: Contact: Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)",Waar kan ik terecht voor vragen over het patiëntenportaal MijnZGT?,"U kunt terecht bij ZGT, polikliniek keel-neus- oorheelkunde, telefoonnummer 088 708 33 50 (tijdens kantooruren)."
10,0.0,Koemelkallergietest diagnose,Polikliniek kindergeneeskunde,Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,0.0: Koemelkallergietest diagnose: Polikliniek kindergeneeskunde: Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,Wat is de diagnose van de koemelkallergietest?,De diagnose van de koemelkallergietest wordt gesteld bij de polikliniek kindergeneeskunde. Voor meer informatie kunt u bellen naar 088 708 31 20.
11,0.0,Koemelkallergietest diagnose,Polikliniek kindergeneeskunde,Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,0.0: Koemelkallergietest diagnose: Polikliniek kindergeneeskunde: Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,Hoe kom ik in contact met de polikliniek kindergeneeskunde?,U kunt contact opnemen met de polikliniek kindergeneeskunde via telefoonnummer 088 708 31 20.
12,0.0,Koemelkallergietest diagnose,Polikliniek kindergeneeskunde,Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,0.0: Koemelkallergietest diagnose: Polikliniek kindergeneeskunde: Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,Wat is het telefoonnummer voor het annuleren van de testdag?,Het telefoonnummer voor het annuleren van de testdag is 088 708 44 50.
13,0.0,Koemelkallergietest diagnose,Polikliniek kindergeneeskunde,Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,0.0: Koemelkallergietest diagnose: Polikliniek kindergeneeskunde: Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,Wat is het belangrijkste om te onthouden bij het annuleren van de testdag?,Het is belangrijk om te bellen naar 088 708 44 50 als u de testdag moet annuleren.
14,0.0,Koemelkallergietest diagnose,Polikliniek kindergeneeskunde,Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,0.0: Koemelkallergietest diagnose: Polikliniek kindergeneeskunde: Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,Waar moet ik naartoe bellen als ik de testdag moet annuleren?,U wordt verzocht om te bellen naar 088 708 44 50 als u de testdag moet annuleren.
15,0.0,Koemelkallergietest diagnose,Polikliniek kindergeneeskunde,Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,0.0: Koemelkallergietest diagnose: Polikliniek kindergeneeskunde: Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,Wat is de procedure voor het annuleren van een testdag?,"Om een testdag te annuleren, bel naar 088 708 44 50."
16,0.0,Koemelkallergietest diagnose,Polikliniek kindergeneeskunde,Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,0.0: Koemelkallergietest diagnose: Polikliniek kindergeneeskunde: Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,Hoe kom ik in contact met de polikliniek kindergeneeskunde?,U kunt de polikliniek kindergeneeskunde bereiken op telefoonnummer 088 708 31 20.
17,0.0,Koemelkallergietest diagnose,Polikliniek kindergeneeskunde,Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,0.0: Koemelkallergietest diagnose: Polikliniek kindergeneeskunde: Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,Aan wie moet ik bellen als ik de testdag moet annuleren?,Bel naar 088 708 44 50 als u de testdag moet annuleren.
18,0.0,Koemelkallergietest diagnose,Polikliniek kindergeneeskunde,Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,0.0: Koemelkallergietest diagnose: Polikliniek kindergeneeskunde: Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,Wat is het telefoonnummer van de polikliniek kindergeneeskunde?,Het telefoonnummer van de polikliniek kindergeneeskunde is 088 708 31 20.
19,0.0,Koemelkallergietest diagnose,Polikliniek kindergeneeskunde,Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,0.0: Koemelkallergietest diagnose: Polikliniek kindergeneeskunde: Telefoonnummer 088 708 31 20 Indien u de testdag moet annuleren wordt u verzocht te bellen naar 088 708 44 50,Welk nummer moet ik bellen als ik de testdag moet annuleren?,Bel naar 088 708 44 50 om de testdag te annuleren.
20,0.0,Dagopname bij kinderen,Verpleegafdeling kindergeneeskunde,"Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.","0.0: Dagopname bij kinderen: Verpleegafdeling kindergeneeskunde: Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.",Wat is het telefoonnummer van de verpleegafdeling kindergeneeskunde op ziekenhuislocatie Almelo?,Het telefoonnummer van de verpleegafdeling kindergeneeskunde op ziekenhuislocatie Almelo is 088 708 31 20.
21,0.0,Dagopname bij kinderen,Verpleegafdeling kindergeneeskunde,"Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.","0.0: Dagopname bij kinderen: Verpleegafdeling kindergeneeskunde: Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.",Wat is de procedure voor een dagopname bij kinderen op de verpleegafdeling kindergeneeskunde?,De procedure voor een dagopname bij kinderen op de verpleegafdeling kindergeneeskunde is te vinden op de documentinformatie.
22,0.0,Dagopname bij kinderen,Verpleegafdeling kindergeneeskunde,"Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.","0.0: Dagopname bij kinderen: Verpleegafdeling kindergeneeskunde: Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.",Welke locatie moet ik bezoeken voor een dagopname bij kinderen op de verpleegafdeling kindergeneeskunde?,U moet de ziekenhuislocatie Almelo bezoeken voor een dagopname bij kinderen op de verpleegafdeling kindergeneeskunde.
23,0.0,Dagopname bij kinderen,Verpleegafdeling kindergeneeskunde,"Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.","0.0: Dagopname bij kinderen: Verpleegafdeling kindergeneeskunde: Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.",Wat is het telefoonnummer om een afspraak te maken voor een dagopname bij kinderen op de verpleegafdeling kindergeneeskunde?,Het telefoonnummer om een afspraak te maken voor een dagopname bij kinderen op de verpleegafdeling kindergeneeskunde is 088 708 31 20.
24,0.0,Dagopname bij kinderen,Verpleegafdeling kindergeneeskunde,"Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.","0.0: Dagopname bij kinderen: Verpleegafdeling kindergeneeskunde: Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.",Wat is het algemene doel van de verpleegafdeling kindergeneeskunde op ziekenhuislocatie Almelo?,Het algemene doel van de verpleegafdeling kindergeneeskunde op ziekenhuislocatie Almelo is het bieden van zorg aan kinderen die een dagopname nodig hebben.
25,0.0,Dagopname bij kinderen,Verpleegafdeling kindergeneeskunde,"Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.","0.0: Dagopname bij kinderen: Verpleegafdeling kindergeneeskunde: Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.",Wat is het telefoonnummer van de Verpleegafdeling Kindergeneeskunde in Almelo?,Het telefoonnummer van de Verpleegafdeling Kindergeneeskunde in Almelo is 088 708 31 20.
26,0.0,Dagopname bij kinderen,Verpleegafdeling kindergeneeskunde,"Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.","0.0: Dagopname bij kinderen: Verpleegafdeling kindergeneeskunde: Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.",Welke afdeling van het ziekenhuis is verantwoordelijk voor dagopnames bij kinderen?,De Verpleegafdeling Kindergeneeskunde op de Ziekenhuislocatie Almelo is verantwoordelijk voor dagopnames bij kinderen.
27,0.0,Dagopname bij kinderen,Verpleegafdeling kindergeneeskunde,"Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.","0.0: Dagopname bij kinderen: Verpleegafdeling kindergeneeskunde: Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.",Wat is het algemene telefoonnummer van de Ziekenhuislocatie Almelo?,Het algemene telefoonnummer van de Ziekenhuislocatie Almelo is 088 708 31 20.
28,0.0,Dagopname bij kinderen,Verpleegafdeling kindergeneeskunde,"Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.","0.0: Dagopname bij kinderen: Verpleegafdeling kindergeneeskunde: Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.",Welke specifieke locatie van het ziekenhuis heeft een Verpleegafdeling Kindergeneeskunde?,De Ziekenhuislocatie Almelo heeft een Verpleegafdeling Kindergeneeskunde.
29,0.0,Dagopname bij kinderen,Verpleegafdeling kindergeneeskunde,"Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.","0.0: Dagopname bij kinderen: Verpleegafdeling kindergeneeskunde: Ziekenhuislocatie Almelo, telefoonnummer 088 708 31 20.",Hoe kan ik contact opnemen met de Verpleegafdeling Kindergeneeskunde in Almelo?,U kunt contact opnemen met de Verpleegafdeling Kindergeneeskunde in Almelo door te bellen naar 088 708 31 20.
30,0.0,CT schedel kind  (ZGT Almelo),Verhindering,"Wanneer u en uw kind door omstandigheden niet kunt komen, neem dan zo spoedig mogelijk telefonisch contact met ons op. Op werkdagen zijn wij tussen 08.00 en 16.30 uur telefonisch bereikbaar op het volgende telefoonnummer: 088 708 37 00.","0.0: CT schedel kind  (ZGT Almelo): Verhindering: Wanneer u en uw kind door omstandigheden niet kunt komen, neem dan zo spoedig mogelijk telefonisch contact met ons op. Op werkdagen zijn wij tussen 08.00 en 16.30 uur telefonisch bereikbaar op het volgende telefoonnummer: 088 708 37 00.",Wat is de locatie van ZGT Almelo en hoe kan ik telefonisch contact opnemen?,ZGT Almelo bevindt zich op 088 708 37 00 en is op werkdagen tussen 08.00 en 16.30 uur telefonisch bereikbaar.
31,0.0,CT schedel kind  (ZGT Almelo),Verhindering,"Wanneer u en uw kind door omstandigheden niet kunt komen, neem dan zo spoedig mogelijk telefonisch contact met ons op. Op werkdagen zijn wij tussen 08.00 en 16.30 uur telefonisch bereikbaar op het volgende telefoonnummer: 088 708 37 00.","0.0: CT schedel kind  (ZGT Almelo): Verhindering: Wanneer u en uw kind door omstandigheden niet kunt komen, neem dan zo spoedig mogelijk telefonisch contact met ons op. Op werkdagen zijn wij tussen 08.00 en 16.30 uur telefonisch bereikbaar op het volgende telefoonnummer: 088 708 37 00.",Wat te doen als ik en mijn kind niet kunnen komen voor het CT schedel onderzoek?,"In geval van verhindering, neem zo spoedig mogelijk telefonisch contact op met ZGT Almelo op 088 708 37 00."
