,topic_id,filename,header,section_text,Question,Answer
29,0.0,(Langdurig) gebroken vliezen,Contact opnemen,"Wij vragen u contact op te nemen als: 
- Uw temperatuur hoger dan 37,8o C is; 
- Uw vliezen breken vóór uw 37e zwangerschapsweek; 
- Uw vliezen breken wanneer u om medische reden in het ziekenhuis moet bevallen; 
- Uw vruchtwater niet helder is; 
- U zich ziek of niet lekker voelt; 
- U uw baby onvoldoende voelt bewegen; 
- Bij de laatste controle het hoofdje niet was ingedaald.","Moet ik contact opnemen als mijn temperatuur hoger is dan 37,8o C bij (langdurig) gebroken vliezen?","Ja, u moet contact opnemen als uw temperatuur hoger is dan 37,8o C bij (langdurig) gebroken vliezen."
156,0.0,Aambeien (heamorroiden),Vragen,"Deze folder is niet bedoeld als vervanging van mondelinge informatie, maar als aanvulling hierop. Hierdoor is het mogelijk alles nog eens rustig na te lezen. Heeft u na het lezen van deze folder nog vragen, stel deze dan gerust aan uw behandelend medisch specialist of verpleegkundig specialist. Ook kunt u van maandag tot en met vrijdag van 8.00 tot 12.30 uur en van 13.30 tot 16.30 uur bellen met het secretariaat van de polikliniek heelkunde, telefoonnummer 088 708 52 31. Op onze website zgt.nl/proctologiepolikliniek vindt u meer informatie over de proctologiepolikliniek, proctologische aandoeningen en de behandelingen.",Waar kan ik terecht voor vragen over aambeien en hun behandeling?,U kunt op werkdagen bellen met het secretariaat van de polikliniek heelkunde of uw vragen stellen aan uw behandelend medisch specialist of verpleegkundig specialist.
135,0.0,Anale fissuur,Vragen,"Deze brochure is niet bedoeld als vervanging van mondelinge informatie, maar als aanvulling hierop. Hierdoor is het mogelijk alles nog eens rustig na te lezen. Heeft u na het lezen van deze folder nog vragen, stel deze dan gerust aan uw behandelend arts of verpleegkundig specialist. Ook kunt u van maandag tot en met vrijdag van 08.00 - 16.30 uur bellen met het secretariaat van de polikliniek chirurgie, telefoonnummer 088 708 52 31.",Kan deze brochure een mondelinge informatie vervangen?,"Nee, deze brochure is niet bedoeld als vervanging van mondelinge informatie."
557,0.0,Anale fissuur,Vragen,"Deze brochure is niet bedoeld als vervanging van mondelinge informatie, maar als aanvulling hierop. Hierdoor is het mogelijk alles nog eens rustig na te lezen. Heeft u na het lezen van deze folder nog vragen, stel deze dan gerust aan uw behandelend arts of verpleegkundig specialist. Ook kunt u van maandag tot en met vrijdag van 08.00 - 16.30 uur bellen met het secretariaat van de polikliniek chirurgie, telefoonnummer 088 708 52 31. Op onze website zgt.nl/proctologiepolikliniek vindt u meer informatie over de proctologiepolikliniek, proctologische aandoeningen en de behandelingen.",Wanneer is het mogelijk om meer informatie te vinden over de proctologiepolikliniek?,U kunt meer informatie over de proctologiepolikliniek vinden op onze website.
177,0.0,"Angiografie, dotterbehandeling en_of stentplaatsing",Neem contact op indien,"- U koorts krijgt (38,5°C of hoger). 
- De lies erg gevoelig/pijnlijk is. 
- Een zwelling in de lies optreedt. 
- De lies rood verkleurt en erg warm aanvoelt. 
- Uw been gevoelloos of pijnlijk aanvoelt. 
- U huiduitslag heeft. Tijdens kantooruren kunt u contact opnemen met het secretariaat vaatchirurgie, telefoonnummer 088 708 52 43. Heeft u klachten die niet tot de volgende dag kunnen wachten, dan kunt u buiten kantooruren contact opnemen met de afdeling spoedeisende hulp, telefoonnummer 088 708 78 78.","Wat moet ik doen als mijn lies rood verkleurt en erg warm aanvoelt na een angiografie, dotterbehandeling of stentplaatsing?","Als uw lies rood verkleurt en erg warm aanvoelt na een angiografie, dotterbehandeling of stentplaatsing, neem dan contact op met het secretariaat vaatchirurgie tijdens kantooruren of met de afdeling spoedeisende hulp buiten kantooruren."
166,0.0,"Astma, thuis en op school",Polikliniek kinderartsen,"Telefoonnummer 088 708 31 20 De kosten van de cursus bedragen € 5,- voor het huiswerkmapje.",Wat zijn de kosten van de cursus?,"De kosten van de cursus bedragen € 5,- voor het huiswerkmapje."
556,0.0,Autonoom Functie Onderzoek (AFO),Belangrijke telefoonnummers,"Voor het maken en wijzigen van afspraken kunt u contact opnemen met het secretariaat neurologie, telefoonnummer 088 708 43 20, locatie Almelo. Voor vragen over het onderzoek kunt u contact opnemen met de KNF-afdeling, telefoonnummer 088 708 33 13, locatie Almelo.",Waar kunt u het secretariaat neurologie vinden voor het AFO-onderzoek?,Het secretariaat neurologie voor het AFO-onderzoek is gevestigd op locatie Almelo.
163,0.0,Bevalling en kraambed,Wanneer komt u naar het ziekenhuis?,"Als u op eigen verzoek of met een medium risk in ZGT gaat bevallen, dient u contact op te nemen met uw verloskundige of huisarts als de bevalling begint. Als u met een medische indicatie in ZGT moet bevallen dan neemt u contact op met de dienstdoende verpleegkundige van locatie Almelo.",Moet ik ook contact opnemen met de dienstdoende verpleegkundige van locatie Almelo als ik op eigen verzoek of met een medium risk in ZGT wil bevallen?,"Nee, als u op eigen verzoek of met een medium risk in ZGT wil bevallen, hoeft u alleen contact op te nemen met uw verloskundige of huisarts."
175,0.0,Borstkliniek Oost-Nederland,Vragen,"Heeft u na het lezen van deze folder nog vragen? Dan kunt u contact opnemen met de Borstkliniek Oost-Nederland, telefoonnummer 088 708 52 32 of per e-mail mammapoli@zgt.nl. Neemt u tijdens uw eerste bezoek het ingevulde vragenformulier mee.",Wat moet ik meenemen tijdens mijn eerste bezoek aan de Borstkliniek Oost-Nederland?,Tijdens uw eerste bezoek dient u het ingevulde vragenformulier mee te nemen.
609,0.0,CT schedel kind  (ZGT Almelo),Verhindering,"Wanneer u en uw kind door omstandigheden niet kunt komen, neem dan zo spoedig mogelijk telefonisch contact met ons op. Op werkdagen zijn wij tussen 08.00 en 16.30 uur telefonisch bereikbaar op het volgende telefoonnummer: 088 708 37 00.",Wat is het belang van telefonisch contact opnemen in geval van verhindering?,"Wanneer u en uw kind door omstandigheden niet kunt komen, is het belangrijk dat u zo spoedig mogelijk telefonisch contact met ons opneemt."
567,0.0,CT urografie,Vragen,"Mocht u na het lezen van deze informatie nog vragen hebben, stel deze gerust. Wij willen ze graag voor u beantwoorden. Op werkdagen zijn wij tussen 08.00 en 16.30 uur telefonisch bereikbaar op het volgende telefoonnummer: 088 708 37 00.",Wat moet ik doen als ik na het lezen van deze informatie nog vragen heb?,U kunt uw vragen stellen en wij zullen ons best doen om ze te beantwoorden.
178,0.0,Coloscopie klinisch,Vragen,"Mocht u nog vragen hebben stel ze dan gerust. U kunt bellen naar het MDL-centrum, telefoonnummer 088 708 34 00.",Kan ik nog vragen stellen over de coloscopie?,"Ja, als u nog vragen heeft kunt u deze stellen aan het MDL-centrum."
161,0.0,Communicatie en slikproblemen,Vragen,"Mocht u na het lezen van bovenstaande informatie nog vragen hebben, dan kunt u contact opnemen met de afdeling logopedie op 088 708 3210.",Waar kunt u terecht met eventuele vragen na het lezen van de informatie over Communicatie en Slikproblemen?,U kunt contact opnemen met de afdeling logopedie op 088 708 3210.
116,0.0,"Continentiepolikliniek, de poepklas",De poepklas Inleiding,"Binnenkort kom je in de poepklas op de continentiepolikliniek, routenummer 0.11 in de ZGT ziekenhuislocatie Hengelo. Je wordt samen met je vader, moeder of verzorger verwacht op: Datum: ___________________________ Dag: ___________________________ Tijdstip: ___________________________ De poepklas duurt tot ongeveer ________uur. In deze folder leggen we je uit wat je allemaal gaat doen.",Hoe lang duurt de poepklas op de continentiepolikliniek?,De poepklas duurt tot ongeveer ________uur.
120,0.0,"Continentiepolikliniek, vragenlijst nachtelijke incontinentie",Poepdagboek,"Naam: Geboortedatum: Dag en datum Tijd Gepoept op WC, hoeveelheid en type Gepoept in broek/luier hoeveelheid en type Poepveeg in broek/luier Hoeveel zakjes laxantia Buikpijn, pijn bij poepen Toilet oefeningen Overig",Wat is de naam van het document waaruit deze informatie komt?,"Continentiepolikliniek, vragenlijst nachtelijke incontinentie: Poepdagboek"
552,0.0,Cystolithotripsie,Wanneer neemt u contact op?,"U neemt contact op bij: 
- Koorts hoger dan 38,5; 
- Pijn in de buik en/of flanken; 
- Niet meer kunnen plassen, bijvoorbeeld door stolsels; 
- Stroperige/bloederige urine.",Wat is de definitie van koorts in dit geval?,"Koorts wordt in dit geval gedefinieerd als een lichaamstemperatuur hoger dan 38,5 graden Celsius."
113,0.0,Dagopname bij kinderen,Wat te doen bij complicaties thuis?,"Als zich de volgende situaties voordoen: 
- Nabloeding; 
- Koorts hoger dan 39°C; 
- Aanhoudende pijn ondanks de pijnbestrijding. verzoeken wij u contact op te nemen met het ziekenhuis. Tijdens kantooruren met de behandelend specialist. Buiten kantooruren met de spoedeisende hulp.",Wat moet ik doen als ik een nabloeding krijg na dagbehandeling bij kinderen?,Neem contact op met het ziekenhuis als u een nabloeding heeft na dagbehandeling bij kinderen.
142,0.0,Dagopname,Wat te doen bij complicaties thuis?,"Doen zich na de behandeling of operatie problemen voor, dan kunt u de eerste 24 uur contact opnemen met de dagopname. Bereikbaar van maandag tot en met vrijdag van 8.00 tot 17.30 uur. 
- Locatie Almelo, telefoonnummer 088 708 36 67. 
- Locatie Hengelo, telefoonnummer 088 708 55 13. Heeft u klachten en/of vragen die niet kunnen wachten tot de volgende werkdag, dan belt u met de afdeling spoedeisende hulp, telefoonnummer 088 708 78 78.",Hoe lang kan ik na de behandeling of operatie contact opnemen met de dagopname?,U kunt tot 24 uur na de behandeling of operatie contact opnemen met de dagopname bij problemen.
126,0.0,Deeltijd (psychiatrie),Aanwezigheid,"Indien u instemt met de behandeling dan verwachten wij dat u bij alle programmaonderdelen aanwezig zult zijn. Voor bijzondere gebeurtenissen kan er verlof worden aangevraagd. Mocht u een keer onverwachts verhinderd zijn, dan vragen wij u dit telefonisch door te geven via 088-708 31 10.",Wat wordt er van mij verwacht als ik instem met de behandeling?,"Als u instemt met de behandeling, verwachten wij dat u bij alle programmaonderdelen aanwezig zult zijn. Voor bijzondere gebeurtenissen kunt u verlof aanvragen. Mocht u onverwachts verhinderd zijn, dan vragen wij u telefonisch door te geven via 088-708 31 10."
146,0.0,Defecatie expertise centrum (DEF poli),Heeft u vragen?,Stel uw vragen gerust aan ons. U kunt bellen met het secretariaat van de polikliniek chirurgie van maandag t/m vrijdag van 08.00 - 16.30 uur. Telefoonnummer: 088 708 52 31. Ook kunt u kijken op onze website: zgt.nl/defecatie-expertise-centrum.,Wanneer is het DEF poli geopend?,Het secretariaat van de polikliniek chirurgie is geopend van maandag t/m vrijdag van 08.00 - 16.30 uur.
104,0.0,Dialysekatheter,Mogelijke complicaties/ problemen Probleem Actie,(ook ’s nachts) Irritatie of pijn aan de insteekopening van de katheter Temperaturen en bij 38 graden of hoger contact opnemen met de afdeling dialyse Koorts: 38 graden of hoger Contact opnemen met de afdeling dialyse Losraken van de hechtingen of het geheel uit het bloedvat raken van de katheter De huid afdrukken met een gaasje en contact opnemen met de afdeling dialyse De katheter bloedt na op de plaats waar deze is ingebracht Als het bloed onder de pleister doorloopt: contact op te nemen met de afdeling dialyse,Wat zijn mogelijke complicaties/problemen betreffende een dialysekatheter?,"Mogelijke complicaties/problemen van een dialysekatheter zijn: irritatie of pijn aan de insteekopening van de katheter, koorts van 38 graden of hoger, losraken van de hechtingen of het geheel uit het bloedvat raken van de katheter, en bloeding op de plaats waar de katheter is ingebracht."
143,0.0,Ductaal carcinoom in situ (DCIS),Vragen,Heeft u na het lezen van deze folder vragen? Neem dan contact op met uw medisch specialist of mammacareverpleegkundige van de Borstkliniek Oost-Nederland in Hengelo via telefoonnummer 088 708 52 32 of e-mail: mammapoli@zgt.nl,Wat is DCIS en waarvoor staat het?,DCIS staat voor Ductaal carcinoom in situ en het is een vorm van borstkanker waarbij de afwijkende cellen zich nog niet hebben uitgezaaid buiten de melkgangen.
132,0.0,Echopunctie,Vragen,"Mocht u na het lezen van deze folder nog vragen hebben, stel ze dan gerust. De specialist of verpleegkundige wil ze graag beantwoorden. Op werkdagen is de afdeling radiologie tussen 08.30 – 12.30 uur en van 13.00 - 16.30 uur telefonisch bereikbaar op het volgende telefoonnummer: 088 708 37 00.",Waar kan ik terecht met vragen over de echopunctie?,U kunt uw vragen over de echopunctie stellen aan de specialist of verpleegkundige. Zij staan klaar om uw vragen te beantwoorden. Op werkdagen is de afdeling radiologie telefonisch bereikbaar.
