,topic_id,filename,header,section_text,Question,Answer
45,10,Adviezen toiletgedrag ontlasten,Adviezen als de ontlasting niet goedkomt,"- Adem een aantal keren rustig in en uit, en beweeg uw buik hierbij goed mee (buikademhaling). 
- Daarna probeert u nogmaals op de juiste manier te persen. 
- Als dan de ontlasting nog niet komt, kantelt u 10 keer het bekken voor- en achterover in het ritme van de ademhaling: o tijdens de uitademing het bekken achterover kantelen en de buik intrekken o tijdens de inademing het bekken voorover kantelen en de buik loslaten. Doe dit in een rustig tempo: door de wisselende druk ontstaat als het ware een massage van de darmen 
- Komt de ontlasting dan niet, terwijl u toch behoorlijke aandrang heeft, probeer dan ongeveer 10 minuten intensief te bewegen. 
- Ga daarna weer naar het toilet, ga ontspannen zitten en probeer of de ontlasting wil komen met de hierboven beschreven tips. 
- Als er na ongeveer 5 minuten nog niets is, ga dan niet hard persen, maar wacht een volgende gelegenheid af. Door dwingen neemt de reflex juist af! Neem tussendoor wat lichaams-beweging.",Wat zijn de adviezen voor toiletgedrag bij ontlasten?,"Adviezen voor toiletgedrag bij ontlasten zijn: adem een aantal keren rustig in en uit, beweeg uw buik goed mee (buikademhaling), probeer nogmaals op de juiste manier te persen en kantel 10 keer het bekken voor- en achterover in het ritme van de ademhaling."
293,10,Inhaleren met behulp van redihaler,Stap 12.,"Inhaleer volledig met een langzame, gelijkmatige en diepe teug. De Redihaler® zal tegelijkertijd een dosis afgeven.",Wat is de twaalfde stap bij het inhaleren met een redihaler?,"De twaalfde stap is om volledig in te ademen met een langzame, gelijkmatige en diepe teug."
284,10,Oorsuizen,Behandeling van oorsuizen,"Als oorsuizen een bijkomend verschijnsel is zal dit kunnen verdwijnen als de oorzaak of de onderliggende ziekte is behandeld. Veelal verdwijnt het oorsuizen echter niet zoals in geval van lawaaibeschadiging en na behandeling van hoge bloeddruk. In de loop van de tijd is er veel onderzoek gedaan naar de werking van medicijnen tegen het oorsuizen. Helaas bestaat er momenteel nog steeds geen geneesmiddel dat hinderlijk oorsuizen geneest. Sommige patiënten hebben soms echter wel baat bij bepaalde medicijnen; uw arts kan u zo nodig een medicijn op proef voorschrijven. Ook andere manieren van behandeling zijn geprobeerd. Elektrische prikkeling van het oor heeft weinig resultaat en zou het oor (verder) kunnen beschadigen. Het uitschakelen van het binnenoor door middel van een operatie, waardoor natuurlijk ook het gehoor weggenomen wordt, blijkt op langere termijn weinig effectief te zijn. In meer dan de helft van de gevallen is het oorsuizen na een jaar weer teruggekeerd en is dan soms nog hinderlijker aanwezig dan voor de operatie. De methode die nog de meeste verlichting kan geven is het maskeren van oorsuizen. Hierdoor wordt het oorsuizen door geluid van buitenaf overstemd. Dit kan door een gewoon hoortoestel, dat immers de natuurlijke geluiden van buitenaf versterkt doorgeeft aan het oor, waardoor nogal eens het oorsuizen wordt overstemd. Ook is het mogelijk het toestel zelf een geluid te laten produceren. Een heel zacht geluid, dat niet door omstanders wordt gehoord, kan al voldoende zijn om het oorsuizen te overstemmen. Niet iedereen heeft hier echter baat bij. Vervanging van het eigen suizen door een andere geluid van buitenaf wordt soms nog hinderlijker gevonden dan hun eigen oorsuizen. Er is dus zelden een echte behandeling mogelijk.",Wat is de methode die het meeste verlichting kan geven bij oorsuizen?,Het maskeren van oorsuizen door geluid van buitenaf overstemmen is de methode die vaak het meeste verlichting geeft.
279,10,Spirografie en bodyplethysmografie met reversibiliteit,Doel van het onderzoek,"Met dit onderzoek wordt uw longfunctie, de weerstand over uw luchtwegen en uw totale longcapaciteit gemeten. In deze folder leest u meer over de voorbereiding, het verloop en de duur van het onderzoek.",Wat moet u doen ter voorbereiding op dit onderzoek?,In de folder wordt beschreven wat u moet doen ter voorbereiding op dit onderzoek.
277,10,Spirografie en bodyplethysmografie met reversibiliteit,Spirometrie,Eerst mag u rustig door het apparaat ademen. Uw rustademhaling wordt gemeten. Daarna wordt u gevraagd om zo diep mogelijk in te ademen en vervolgens met maximale kracht de longen leeg te blazen.,Wat wordt gemeten bij een spirometrie?,Bij een spirometrie wordt uw rustademhaling en uw kracht bij het leegblazen van uw longen gemeten.
289,10,Zuurstof thuis,Leverdag,"De zuurstofleverancier spreekt een vaste leverdag in de week met u af. Als er voor die tijd iets nodig is, kunt u altijd bellen met de zuurstofleverancier. U krijgt een telefoonnummer dat 7 dagen in de week en 24 uur per dag bereikbaar is.",Wat is de zuurstofleverancier?,De zuurstofleverancier spreekt een vaste leverdag in de week met u af.
286,10,Zuurstof thuis,Veiligheid/Brand voorkomen,"Brand voorkomen Als u in huis extra zuurstof gebruikt, is het belangrijk dat u de veiligheidsvoorschriften opvolgt. Anders bestaat er gevaar voor brand en (ernstige) brandwonden. Door de zuurstofbehandeling zit er in de lucht die u uitademt, namelijk meer zuurstof dan normaal het geval is. Hierdoor wordt de lucht in huis zuurstofrijk. Zuurstof zelf is niet brandbaar, maar kan wel andere materialen zeer heftig laten branden. Neemt u daarom uit voorzorg de volgende maatregelen: 
- Luchtverversing: Ventileer alle ruimtes in huis 24 uur per dag, zeker de kamer waar u verblijft, en lucht alle ruimten een keer per dag door de ramen tegen elkaar open te zetten. 
- Olie en vet: Voorkom dat er vet, boter, olie of alcohol (drank, gezichtscrèmes, lotions) aan de zuurstofapparatuur of het neusbrilletje komt. Olie en vet kunnen door contact met zuivere zuurstof spontaan ontbranden. 
- Niet roken: Zorg dat andere mensen absoluut niet roken in uw nabijheid of in ruimten waar u verblijft, terwijl u extra zuurstof gebruikt. Om dit duidelijk te maken, kunt u op verschillende plekken stickers plakken met de tekst ‘verboden te roken'. 
- Open vuur: U mag niet koken op gas en geen waxinelichtjes of kaarsen branden. Houdt u minstens 3 meter afstand van een open haard, vuurkorf of fakkel. Blijft u liefst uit de buurt van open vuur. 
- Brandweer: U moet altijd de plaatselijke brandweer op de hoogte stellen dat u een zuurstofbron in huis krijgt. U moet dit zelf doen; uw arts, zorgverzekeraar of leverancier doen dit niet. o Brandweer Hengelo: telefoonnummer: 074 245 11 11 o Brandweer Enschede, telefoonnummer: 053 482 68 26 o Brandweer Almelo, telefoonnummer: 0546 541 641. 
- Verzekering: Stelt u ook uw brandverzekering op de hoogte. De verzekeraar wil op de hoogte zijn van een verhoogd risico. Doorgaans wordt de melding van ‘zuurstof in huis’ voor kennisgeving aangenomen, zonder gevolgen voor de premie die u betaalt. Volgt u verder de veiligheidsmaatregelen op die uw zuurstofleverancier aangeeft voor uw situatie.",Welke voorzorgsmaatregelen moeten worden genomen bij het gebruik van extra zuurstof thuis?,"Er moet voldoende luchtverversing zijn in huis en er moet voorkomen worden dat vet, boter, olie of alcohol in contact komen met de zuurstofapparatuur. "
131,11,Adviezen toiletgedrag ontlasten,Adviezen ten aanzien van het ontlasten,"In deze folder krijgt u informatie over hoe u het beste naar het toilet kunt gaan voor het ontlasten. Goed toiletgedrag is belangrijk voor het goed functioneren van uw darmen en kan bijdragen aan een goede gezondheid. Ga naar het toilet zodra u aandrang voelt en stel het niet uit. Aandrang kan bijvoorbeeld ontstaan binnen een half uur na de maaltijd, na het ontwaken of na het drinken van koffie. Aandrang voor ontlasting uitstellen, betekent vaak dat de aandrang verdwijnt en voorlopig niet meer terugkomt. Dit kan tot verstopping leiden. Neem altijd rustig de tijd om naar het toilet te gaan. Hoe rustiger, hoe effectiever. Een normale frequentie voor ontlasting varieert van 3x per dag tot 1x per 3 dagen.",Wat is de normale frequentie voor ontlasting?,Een normale frequentie voor ontlasting varieert van 3 keer per dag tot 1 keer per 3 dagen.
294,11,"Adviezen toiletgedrag, plassen (vrouwen)",Adviezen ten aanzien van het plassen voor vrouwen,"In deze folder krijgt u informatie over hoe u het beste naar het toilet kunt gaan als u moet plassen. Goed toiletgedrag is belangrijk voor het goed functioneren van uw blaas en kan bijdragen aan een goede gezondheid. Neem altijd de tijd om naar het toilet te gaan! Hoe rustiger, hoe effectiever! Hoe beter uw blaas geleegd is, hoe langer het meestal duurt voordat u weer naar het toilet moet. In een gezonde, volwassen blaas kan 400 tot 600 ml urine. Wanneer de blaas ongeveer driekwart gevuld is, geeft hij een seintje (= drang) en weten we dat het tijd is om naar het toilet te gaan. Als u het drinken van 1½ tot 2 liter verdeelt over de dag, zult u 6 tot 8 keer per etmaal plassen.",Wanneer geeft de blaas een seintje?,De blaas geeft een seintje wanneer deze ongeveer driekwart gevuld is.
296,11,Ganglion Sphenopalatinum blokkade (Nocepta),Nuchterbeleid,"Het kan zijn dat met u besproken is de behandeling onder lichte sedatie uit te voeren. U mag dan van tevoren niet eten en drinken en nuchter zijn voor deze behandeling, dit houdt in dat u zich aan de volgende richtlijnen behoort te houden: 
- tot zes uur voor de behandeling mag u een lichte maaltijd hebben, zoals brood of beschuit met beleg, aangevuld met melkproducten 
- tot twee uur voor de behandeling mag u heldere vloeistof drinken (aanmaaklimonade, appelsap, thee, bouillon, water) 
- Vanaf 2 uur voor uw behandeling mag u niets meer eten of drinken 
- Voor de behandeling geen alcohol of drugs gebruiken 
- Liefst niet roken of (nicotine)kauwgum kauwen; dit vergroot de hoeveelheid maagzuur",Wat moet ik doen als ik een behandeling onder lichte sedatie ga ondergaan?,"Als u een behandeling onder lichte sedatie gaat ondergaan, moet u van tevoren niet eten en drinken en nuchter zijn. Dit betekent dat u zich aan de volgende richtlijnen moet houden: tot zes uur voor de behandeling mag u een lichte maaltijd hebben, tot twee uur voor de behandeling mag u heldere vloeistof drinken en vanaf 2 uur voor de behandeling mag u niets meer eten of drinken."
