Question no,Question,Answer_x,Section,Unnamed: 0,topic_id,filename,header,section_text,Fold,Fact,Declined_to_answer_on_train_fold_one,Answer_on_train_fold_one,Declined_to_answer_on_train_fold_two,Answer_on_train_fold_two
23,Wanneer moet ik contact opnemen met het ziekenhuis na een anale fissuur ingreep?,"Als er problemen zijn op de eerste avond of nacht na de ingreep, kunt u bellen naar de afdeling spoedeisende hulp van het ziekenhuis. Telefoonnummer: 088 708 78 78.","Anale fissuur --- Wanneer contact opnemen met het ziekenhuis? --- Als er zich de eerste avond of nacht na de ingreep problemen voordoen, dan kunt u bellen naar het ziekenhuis en vragen naar de afdeling spoedeisende hulp. Telefoonnummer: 088 708 78 78. Heeft u de volgende ochtend na de ingreep problemen, dan belt u naar de polikliniek chirurgie. De polikliniek chirurgie is telefonisch bereikbaar van maandag tot en met vrijdag van 08.30- 12.30 en van 13.00 - 16.30 uur, telefoonnummer 088 708 52 31.",170,0,Anale fissuur,Wanneer contact opnemen met het ziekenhuis?,"Als er zich de eerste avond of nacht na de ingreep problemen voordoen, dan kunt u bellen naar het ziekenhuis en vragen naar de afdeling spoedeisende hulp. Telefoonnummer: 088 708 78 78. Heeft u de volgende ochtend na de ingreep problemen, dan belt u naar de polikliniek chirurgie. De polikliniek chirurgie is telefonisch bereikbaar van maandag tot en met vrijdag van 08.30- 12.30 en van 13.00 - 16.30 uur, telefoonnummer 088 708 52 31.",train_fold_one,"{'entityType': 'Phone', 'value': '+31887087878'}",TRUE,This document does not answer the question,,
24,Hoe kan ik contact opnemen met de ZGT polikliniek preoperatieve screening en anesthesie?,U kunt bellen naar 088 708 53 96 tussen 8.30-12.00 uur en 13.00-16.30 uur.,"Anesthesie, jongeren (POS) --- Vragen --- Mocht u nog vragen hebben na het lezen van deze folder. Neem gerust contact op met ZGT polikliniek preoperatieve screening en anesthesie. Je kan bellen op maandag t/m vrijdag van 8.30-12.00 uur en van 13.00 tot 16.30 uur via telefoonnummer 088 708 53 96. Het is handig om je vragen op te schrijven. Heb je vragen voor de opnameplanning dan kan je bellen met de afdeling opnameplanning, telefoonnummer 088 708 42 28.",50,0,"Anesthesie, jongeren (POS)",Vragen,"Mocht u nog vragen hebben na het lezen van deze folder. Neem gerust contact op met ZGT polikliniek preoperatieve screening en anesthesie. Je kan bellen op maandag t/m vrijdag van 8.30-12.00 uur en van 13.00 tot 16.30 uur via telefoonnummer 088 708 53 96. Het is handig om je vragen op te schrijven. Heb je vragen voor de opnameplanning dan kan je bellen met de afdeling opnameplanning, telefoonnummer 088 708 42 28.",train_fold_one,"{'entityType': 'Phone', 'value': '+31887085396'}",,,,
25,Wat is het telefoonnummer van de afdeling radiologie?,Het telefoonnummer van de afdeling radiologie is 088 708 37 00.,"Echografie, armen _ benen (spieren & gewrichten) --- Afzeggen van het onderzoek --- Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.",30,0,"Echografie, armen _ benen (spieren & gewrichten)",Afzeggen van het onderzoek,"Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.",train_fold_one,"{'entityType': 'Phone', 'value': '+31887083700'}",,Telefoonnummer: 088 708 37 00,TRUE,The context does not provide information about the specific departments within Ziekenhuisgroep Twente or how to find the phone numbers of specific departments. 
26,Wat moet ik doen als ik vragen of complicaties heb?,U kunt tijdens kantooruren contact opnemen met het secretariaat heelkunde van ZGT op telefoonnummer 088 708 52 33.,"Gebroken heup --- Vragen --- Bij vragen of complicaties kunt u tot twee weken na opname tijdens kantooruren contact opnemen met het secretariaat heelkunde van ZGT, telefoonnummer 088 708 52 33. Na twee weken kunt u contact opnemen met de huisartsenpost. Bij zeer dringende gevallen, welke echt niet kunnen wachten tot de volgende dag, kunt u buiten kantoortijd contact opnemen met ZGT, telefoonnummer 088 708 78 78.",80,0,Gebroken heup,Vragen,"Bij vragen of complicaties kunt u tot twee weken na opname tijdens kantooruren contact opnemen met het secretariaat heelkunde van ZGT, telefoonnummer 088 708 52 33. Na twee weken kunt u contact opnemen met de huisartsenpost. Bij zeer dringende gevallen, welke echt niet kunnen wachten tot de volgende dag, kunt u buiten kantoortijd contact opnemen met ZGT, telefoonnummer 088 708 78 78.",train_fold_one,"{'entityType': 'Phone', 'value': '+31887085233'}",,"U kunt op werkdagen tussen 08.00 en 16.30 uur telefonisch contact opnemen met het secretariaat urologie van ZGT via telefoonnummer 088 708 33 60 of 088 708 52 60. Buiten kantoortijden kunt u contact opnemen met de afdeling spoedeisende hulp van ZGT via telefoonnummer 088 708 78 78. Daarnaast kunt u uw vragen ook stellen via het patiëntenportaal MijnZGT, waar u uw medisch dossier kunt inzien en communiceren met ZGT. U kunt meer informatie vinden op www.zgt.nl/mijnzgt.",,"U kunt altijd contact opnemen met een medewerker van ZGT als u vragen of complicaties heeft. Dit staat vermeld in de tekst: ""Als u klachten krijgt die u niet vertrouwt mag u altijd contact met ons opnemen."" U kunt contact opnemen door uw dossier te checken op MijnZGT, het patiëntenportaal van ZGT. Op MijnZGT kunt u delen van uw medisch dossier inzien, persoonlijke gegevens checken en vragenlijsten invullen die voor u klaargezet zijn. U kunt ook meer informatie vinden op zgt.nl/mijnzgt."
27,Wat is het emailadres van de Vereniging aangeboren heupafwijkingen?,Het emailadres van de Vereniging aangeboren heupafwijkingen is info@heupafwijkingen.nl.,Congenitale heupdysplasie --- Informatie --- Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,20,61,Congenitale heupdysplasie,Informatie,Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,train_fold_one,"{'entityType': 'Email', 'value': 'info@heupafwijkingen.nl'}",TRUE,This document does not provide the email address of the Vereniging aangeboren heupafwijkingen.,TRUE,This document does not answer the question
28,Wat moet ik doen als ik mijn baby onvoldoende voel bewegen?,U dient contact op te nemen als u uw baby onvoldoende voelt bewegen.,"(Langdurig) gebroken vliezen --- Contact opnemen --- Wij vragen u contact op te nemen als: 
- Uw temperatuur hoger dan 37,8o C is; 
- Uw vliezen breken vóór uw 37e zwangerschapsweek; 
- Uw vliezen breken wanneer u om medische reden in het ziekenhuis moet bevallen; 
- Uw vruchtwater niet helder is; 
- U zich ziek of niet lekker voelt; 
- U uw baby onvoldoende voelt bewegen; 
- Bij de laatste controle het hoofdje niet was ingedaald.",86,0,(Langdurig) gebroken vliezen,Contact opnemen,"Wij vragen u contact op te nemen als: 
- Uw temperatuur hoger dan 37,8o C is; 
- Uw vliezen breken vóór uw 37e zwangerschapsweek; 
- Uw vliezen breken wanneer u om medische reden in het ziekenhuis moet bevallen; 
- Uw vruchtwater niet helder is; 
- U zich ziek of niet lekker voelt; 
- U uw baby onvoldoende voelt bewegen; 
- Bij de laatste controle het hoofdje niet was ingedaald.",train_fold_one,,,,TRUE,This document does not answer the question
30,Hoe kan ik mijn vragen het beste voorbereiden?,Het is handig om je vragen op te schrijven voordat je contact opneemt.,"Anesthesie, jongeren (POS) --- Vragen --- Mocht u nog vragen hebben na het lezen van deze folder. Neem gerust contact op met ZGT polikliniek preoperatieve screening en anesthesie. Je kan bellen op maandag t/m vrijdag van 8.30-12.00 uur en van 13.00 tot 16.30 uur via telefoonnummer 088 708 53 96. Het is handig om je vragen op te schrijven. Heb je vragen voor de opnameplanning dan kan je bellen met de afdeling opnameplanning, telefoonnummer 088 708 42 28.",99,0,"Anesthesie, jongeren (POS)",Vragen,"Mocht u nog vragen hebben na het lezen van deze folder. Neem gerust contact op met ZGT polikliniek preoperatieve screening en anesthesie. Je kan bellen op maandag t/m vrijdag van 8.30-12.00 uur en van 13.00 tot 16.30 uur via telefoonnummer 088 708 53 96. Het is handig om je vragen op te schrijven. Heb je vragen voor de opnameplanning dan kan je bellen met de afdeling opnameplanning, telefoonnummer 088 708 42 28.",train_fold_one,,,,,
32,Welke afdeling in ziekenhuislocatie Almelo is verantwoordelijk voor coloscopie bij kinderen?,De verpleegafdeling kindergeneeskunde is verantwoordelijk voor coloscopie bij kinderen in ziekenhuislocatie Almelo.,Coloscopie bij kinderen --- Verpleegafdeling kindergeneeskunde --- Ziekenhuislocatie Almelo Telefoonnummer 088 708 44 50,240,0,Coloscopie bij kinderen,Verpleegafdeling kindergeneeskunde,Ziekenhuislocatie Almelo Telefoonnummer 088 708 44 50,train_fold_one,,,Verpleegafdeling kindergeneeskunde,TRUE,This document does not answer the question
33,Wanneer vindt de Droge Bed Training plaats?,De Droge Bed Training vindt plaats op _____dag __-__-__ om 16.00 uur.,"Continentiepolikliniek, klinische opname droge bed training --- Klinische droge bed training --- Hallo_________________ , Omdat je mee gaat doen aan de Droge Bed Training van _______________ ben je _______dag __-__-__ om 16.00 uur welkom op de continentiepolikliniek van ZGT ziekenhuislocatie Hengelo. Routenummer 0.11 op de polikliniek kindergeneeskunde. Je maakt dan kennis met de kinderen die de training ook gaan volgen. Jij en je ouder(s) krijgen uitleg over de training, en je ontvangt het droge bed boek. Natuurlijk kun je ook vragen stellen. Dit alles duurt ongeveer een uur.",102,0,"Continentiepolikliniek, klinische opname droge bed training",Klinische droge bed training,"Hallo_________________ , Omdat je mee gaat doen aan de Droge Bed Training van _______________ ben je _______dag __-__-__ om 16.00 uur welkom op de continentiepolikliniek van ZGT ziekenhuislocatie Hengelo. Routenummer 0.11 op de polikliniek kindergeneeskunde. Je maakt dan kennis met de kinderen die de training ook gaan volgen. Jij en je ouder(s) krijgen uitleg over de training, en je ontvangt het droge bed boek. Natuurlijk kun je ook vragen stellen. Dit alles duurt ongeveer een uur.",train_fold_one,,,Op dinsdag __-__-__ om 18.30 uur begint de Droge Bed Training in het ZGT ziekenhuislocatie Hengelo.,TRUE,This document does not answer the question
34,Wat zijn de gevolgen als ik de afspraak niet op tijd afzeg?,"Als u de afspraak niet op tijd afzegt, kan dit leiden tot verloren tijd voor het onderzoek.","Echografie, armen _ benen (spieren & gewrichten) --- Afzeggen van het onderzoek --- Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.",242,0,"Echografie, armen _ benen (spieren & gewrichten)",Afzeggen van het onderzoek,"Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.",train_fold_one,,,"Het beleid van ZGT is dat als een patiënt een afspraak niet tijdig afzegt, dit kan resulteren in kosten voor de patiënt. Het is mogelijk om afspraken tot 24 uur van tevoren digitaal of telefonisch te wijzigen of annuleren. Het is belangrijk om op tijd af te zeggen om kosten te voorkomen.",TRUE,This document does not answer the question
