,topic_id,filename,header,section_text,Question,Answer
86,0.0,(Langdurig) gebroken vliezen,Contact opnemen,"Wij vragen u contact op te nemen als: 
- Uw temperatuur hoger dan 37,8o C is; 
- Uw vliezen breken vóór uw 37e zwangerschapsweek; 
- Uw vliezen breken wanneer u om medische reden in het ziekenhuis moet bevallen; 
- Uw vruchtwater niet helder is; 
- U zich ziek of niet lekker voelt; 
- U uw baby onvoldoende voelt bewegen; 
- Bij de laatste controle het hoofdje niet was ingedaald.",Wat moet ik doen als ik mijn baby onvoldoende voel bewegen?,U dient contact op te nemen als u uw baby onvoldoende voelt bewegen.
119,0.0,Anale fissuur,Wanneer contact opnemen met het ziekenhuis?,"Als er zich de eerste avond of nacht na de ingreep problemen voordoen, dan kunt u bellen naar het ziekenhuis en vragen naar de afdeling spoedeisende hulp. Telefoonnummer: 088 708 78 78. Heeft u de volgende ochtend na de ingreep problemen, dan belt u naar de polikliniek chirurgie. De polikliniek chirurgie is telefonisch bereikbaar van maandag tot en met vrijdag van 08.30- 12.30 en van 13.00 - 16.30 uur, telefoonnummer 088 708 52 31.",Wanneer is de polikliniek chirurgie telefonisch bereikbaar?,De polikliniek chirurgie is van maandag tot en met vrijdag telefonisch bereikbaar van 08.30- 12.30 en van 13.00 - 16.30 uur.
99,0.0,"Anesthesie, jongeren (POS)",Vragen,"Mocht u nog vragen hebben na het lezen van deze folder. Neem gerust contact op met ZGT polikliniek preoperatieve screening en anesthesie. Je kan bellen op maandag t/m vrijdag van 8.30-12.00 uur en van 13.00 tot 16.30 uur via telefoonnummer 088 708 53 96. Het is handig om je vragen op te schrijven. Heb je vragen voor de opnameplanning dan kan je bellen met de afdeling opnameplanning, telefoonnummer 088 708 42 28.",Hoe kan ik mijn vragen het beste voorbereiden?,Het is handig om je vragen op te schrijven voordat je contact opneemt.
122,0.0,CT schedel kind  (ZGT Almelo),Verhindering,"Wanneer u en uw kind door omstandigheden niet kunt komen, neem dan zo spoedig mogelijk telefonisch contact met ons op. Op werkdagen zijn wij tussen 08.00 en 16.30 uur telefonisch bereikbaar op het volgende telefoonnummer: 088 708 37 00.",Wat moet ik doen als ik en mijn kind niet kunnen komen voor het onderzoek?,Neem zo spoedig mogelijk telefonisch contact op met het ziekenhuis op werkdagen tussen 08.00 en 16.30 uur.
240,0.0,Coloscopie bij kinderen,Verpleegafdeling kindergeneeskunde,Ziekenhuislocatie Almelo Telefoonnummer 088 708 44 50,Welke afdeling in ziekenhuislocatie Almelo is verantwoordelijk voor coloscopie bij kinderen?,De verpleegafdeling kindergeneeskunde is verantwoordelijk voor coloscopie bij kinderen in ziekenhuislocatie Almelo.
102,0.0,"Continentiepolikliniek, klinische opname droge bed training",Klinische droge bed training,"Hallo_________________ , Omdat je mee gaat doen aan de Droge Bed Training van _______________ ben je _______dag __-__-__ om 16.00 uur welkom op de continentiepolikliniek van ZGT ziekenhuislocatie Hengelo. Routenummer 0.11 op de polikliniek kindergeneeskunde. Je maakt dan kennis met de kinderen die de training ook gaan volgen. Jij en je ouder(s) krijgen uitleg over de training, en je ontvangt het droge bed boek. Natuurlijk kun je ook vragen stellen. Dit alles duurt ongeveer een uur.",Wanneer vindt de Droge Bed Training plaats?,De Droge Bed Training vindt plaats op _____dag __-__-__ om 16.00 uur.
242,0.0,"Echografie, armen _ benen (spieren & gewrichten)",Afzeggen van het onderzoek,"Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat.",Wat zijn de gevolgen als ik de afspraak niet op tijd afzeg?,"Als u de afspraak niet op tijd afzegt, kan dit leiden tot verloren tijd voor het onderzoek."
105,0.0,Gebroken heup,Vragen,"Bij vragen of complicaties kunt u tot twee weken na opname tijdens kantooruren contact opnemen met het secretariaat heelkunde van ZGT, telefoonnummer 088 708 52 33. Na twee weken kunt u contact opnemen met de huisartsenpost. Bij zeer dringende gevallen, welke echt niet kunnen wachten tot de volgende dag, kunt u buiten kantoortijd contact opnemen met ZGT, telefoonnummer 088 708 78 78.",Hoeveel tijd heb ik om contact op te nemen met het secretariaat heelkunde van ZGT na opname?,Tot twee weken na opname tijdens kantooruren.
124,0.0,Ik heb een klacht,Contact Geschillencommissie,Ziekenhuizen De Geschillencommissie Ziekenhuizen Postbus 90600 2509 LP Den Haag De Geschillencommissie Ziekenhuizen is bereikbaar via telefoonnummer: 070 310 53 10. Website: degeschillencommissiezorg.nl,Wat is het doel van de Geschillencommissie Ziekenhuizen?,Het doel van de Geschillencommissie Ziekenhuizen is om geschillen tussen patiënten en ziekenhuizen op te lossen.
111,0.0,Inbrengen dubbel JJ,Neem contact op indien,"- U koorts krijgt (38,5°C of hoger). 
- Toename van pijn. 
- Urine verandert van kleur (roder wordt) Tijdens kantooruren kunt u contact opnemen met het secretariaat urologie: 
- Ziekenhuislocatie Almelo, telefoonnummer 088 708 33 60. 
- Ziekenhuislocatie Hengelo, telefoonnummer 088 708 52 60. Buiten kantoortijden kunt u (bij deze klachten of andere klachten die niet kunnen wachten tot de volgende werkdag) contact opnemen met de afdeling spoedeisende hulp van ZGT: telefoonnummer 088 708 78 78.",Waar moet ik naartoe bellen als ik koorts krijg?,"Als u koorts krijgt (38,5°C of hoger), neem dan contact op met het secretariaat urologie tijdens kantooruren op Ziekenhuislocatie Almelo of Hengelo."
