filename,page number,page text
Dagopname,page_1,"Title: De dag van de opname
Op het afgesproken tijdstip kunt u zich melden bij de receptie in de centrale hal. Eventueel kan een vrijwilliger van de gastenbegeleiding u naar de verpleegafdeling begeleiden. In het ZGT-ziekenhuis wordt gemengd verpleegd. Dit betekent dat mannen en vrouwen op één kamer liggen. Voordat u naar de behandelkamer of operatiekamer wordt gebracht, vinden er een aantal voorbereidingen plaats zoals: 
- Een anamnese gesprek. 
- Het eventueel controleren van temperatuur, pols en bloeddruk.

Title: Na de behandeling
Na de behandeling of operatie komt u terug op de dagopname. De verpleegkundige zorgt ervoor dat de pijnstilling na de behandeling of operatie voldoende is. U krijgt als u voldoende hersteld bent wat te eten en te drinken op de dagopname. Wanneer u weer naar huis kunt, wordt in overleg met u, uw contactpersoon gebeld. Wanneer u nog geen afspraak heeft voor nacontrole op de polikliniek, zorgt de verpleegkundige dat dit geregeld wordt. Verder krijgt u op de afdeling dagopname ontslaginstructies voor thuis mee.

Title: Belangrijk om te weten
Op de afdeling dagopname is er geen bezoekregeling. Voor de rust en privacy van u en andere patiënten mag uw begeleider in principe niet op de kamer wachten (na de) behandeling of operatie. Uw begeleiding kan eventueel elders in het ziekenhuis wachten. U kunt uw mobiele telefoon gewoon gebruiken. Het ZGT-ziekenhuis maakt gebruik van gratis Wifi.

Title: Wat te doen bij complicaties thuis?
Doen zich na de behandeling of operatie problemen voor, dan kunt u de eerste 24 uur contact opnemen met de dagopname. Bereikbaar van maandag tot en met vrijdag van 8.00 tot 17.30 uur. 
- Locatie Almelo, telefoonnummer 088 708 36 67. 
- Locatie Hengelo, telefoonnummer 088 708 55 13. Heeft u klachten en/of vragen die niet kunnen wachten tot de volgende werkdag, dan belt u met de afdeling spoedeisende hulp, telefoonnummer 088 708 78 78.

Title: Veiligheid
ZGT ziet veiligheid als basisvereiste voor goede zorg en dienstverlening. Alle patiënten kunnen er op vertrouwen dat zij veilige en goede zorg ontvangen. In het teken van de patiëntveiligheid en om fouten te voorkomen worden een aantal zaken meerdere keren gecontroleerd. Dit gebeurt door verschillende medewerkers. Zo controleren zij onder andere uw naam, geboortedatum, medicijngebruik en voor welke behandeling of operatie u komt.

Title: Huisregels
ZGT verleent u de best mogelijke zorg. Om dat goed te laten verlopen hanteert ZGT een gedragscode en huisregels. Op zgt.nl/huisregels leest u hierover meer.

Title: Suggesties en klachten
Wij vinden het belangrijk dat patiënten en bezoekers tevreden zijn. Toch kan het voorkomen dat u niet tevreden bent over hoe het in ons ziekenhuis gaat. Als u klachten heeft over uw verzorging, behandeling of hoe er met u wordt omgegaan, bespreek dit met de persoon om wie het gaat of iemand van de afdeling. Zo kan de klacht of het probleem misschien direct worden verholpen. Ook kunt u gebruikmaken van onze klachtenregeling. Kijk op onze website voor meer informatie. zgt.nl/uwmening

Title: Check uw dossier op MijnZGT
MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt."
Afdeling 4 west Neuro Care Unit (ZGT Almelo),page_0,"Title: Afdeling neurologie/Neuro Care Unit, 4 West, route 4.4.
Uw naaste/familielid/kennis is opgenomen op de Neuro Care Unit (NCU). Op deze unit verblijven patiënten met neurologische aandoeningen in de acute fase. Dit houdt in dat de patiënt de eerste dag(en) extra geobserveerd wordt, onder andere door middel van monitorbewaking. De Neuro Care Unit is een onderdeel van de afdeling neurologie. Op deze afdeling liggen patiënten met neurologische aandoeningen (ziekten van de hersenen en het zenuwstelsel).

Title: Uw contactpersonen op de afdeling
Uw aanspreekpunten op de afdeling zijn de verantwoordelijke verpleegkundige, verpleegkundig specialist en medisch specialist. Gegevens over deze mensen zijn te vinden op het whiteboard op de patiëntenkamer.

Title: Contactpersoon
Graag zien we dat er één familielid/naaste optreedt als contactpersoon. 
- Gelet op uw privacy van uw naaste geven wij alleen informatie aan de contactpersoon. 
- Personen die niet als contactpersonen staan genoteerd worden doorverwezen naar de contactpersoon. 
- Doel van deze afspraken is om te vermijden dat er informatie langs elkaar heen loopt. Heeft u door welke reden dan ook het idee dat dit niet op de juiste manier verloopt maak dit bespreekbaar. Tijdens het bezoekuur staat de verpleegkundige u te woord. Tijdens dit gesprek kunnen er verschillende onderwerpen aan bod komen: ziekte verloop, mogelijke gevolgen van de ziekte, multidisciplinair overleg (MDO) vervolgbehandeling en verwachtingen van de familie. Bij bijzonderheden wordt u altijd gebeld.

Title: Bezoektijden
Per bezoekmoment maximaal 2 bezoekers aan bed. Het bezoekmoment is elke dag van 13.30 tot 14.15 uur en van 18.00 tot 19.30 uur. Informatie voor de patiënt:

Title: Hoofdbehandelaar
Bij opname op de Neurocare Unit /neurologie heeft u een neuroloog als hoofdbehandelaar. De hoofdbehandelaar is tijdens uw hele verblijf verantwoordelijk voor de zorg. Op maandag wisselt de hoofdbehandelaar. In de avonden en nachten neemt een dienstdoende neuroloog de hoofdbehandelaar waar. De naam van de hoofdbehandelaar staat op een whiteboard in elke patiëntenkamer. Als u bekend bent bij een neuroloog wil dat dus niet zeggen dat die neuroloog u tijdens de opname behandelt. Binnen de afdeling neurologie zijn ook verpleegkundig specialisten werkzaam. Zij hebben zowel medische als verpleegkundige kennis. De verpleegkundig specialist maakt samen met de neuroloog het behandelplan. Dit wordt besproken met de patiënt. U of contactpersoon kan zelf ook een gesprek aanvragen met uw behandelaar. De verpleegkundige zal deze gesprekken plannen.

Title: Patiënten identificatie/veiligheid
Er wordt op meerdere momenten naar uw naam en geboorte datum gevraagd. Dit wordt gedaan om de patiënten veiligheid te borgen zodat de juiste behandeling en/of onderzoek op het juiste moment wordt uitgevoerd bij de juiste patiënt.

Title: Informatie
In de eerste dagen van uw opname komt er veel informatie op u en uw familie af. In de informatiemap; CVA Keten Twente kunt u deze informatie teruglezen. Informatie over de globale dagindeling kunt u vinden op het whiteboard op de patiëntenkamer."
(Langdurig) gebroken vliezen,page_0,"Title: (Langdurig) gebroken vliezen
Als de vliezen gebroken zijn, bij een zwangerschapsduur van 37 tot 42 weken, kan het zijn dat de weeën nog even op zich laten wachten en de bevalling dus nog niet begint. De kans is wel groot dat u spontaan weeën krijgt binnen 24 uur. In deze folder leest u wat u kunt verwachten en wat u kunt doen wanneer uw vliezen gebroken zijn.

Title: Vruchtwater
Het vruchtwater is normaal gesproken helder/grijs-wit van kleur met witte vlokjes erin. Wanneer er bijmenging van ontlasting van de baby optreedt kan het vruchtwater groen of bruin verkleuren. Een rode verkleuring ontstaat door bijmenging van wat bloed. Het vruchtwater wordt steeds opnieuw aangemaakt, dus u kunt steeds een beetje vruchtwater blijven verliezen, nadat de vliezen zijn gebroken.

Title: De functie van het vruchtwater
Het vruchtwater maakt onder andere groei en beweging mogelijk van de baby, net zoals adembewegingen, drinken en slikken. Als de vliezen zijn gebroken, is er minder vruchtwater aanwezig.

Title: Risico’s
Het breken van de vliezen geeft een verhoogde kans op een infectie in de baarmoeder. Dit komt omdat de natuurlijke afscherming voor de buitenwereld die de vliezen aan de baarmoeder biedt, nu verbroken is.

Title: Adviezen
Zijn uw vliezen gebroken? Dan adviseren wij u, om bijvoorbeeld het risico op infectie te verkleinen, het volgende te doen: 
- Drie keer per dag rectaal uw temperatuur meten; 
- Verwissel regelmatig uw kraamverband (altijd na toiletbezoek); 
- Geen tampons gebruiken; 
- Geen geslachtsgemeenschap; 
- Ga niet zwemmen of in bad (douchen mag wel).

Title: Contact opnemen
Wij vragen u contact op te nemen als: 
- Uw temperatuur hoger dan 37,8o C is; 
- Uw vliezen breken vóór uw 37e zwangerschapsweek; 
- Uw vliezen breken wanneer u om medische reden in het ziekenhuis moet bevallen; 
- Uw vruchtwater niet helder is; 
- U zich ziek of niet lekker voelt; 
- U uw baby onvoldoende voelt bewegen; 
- Bij de laatste controle het hoofdje niet was ingedaald.

Title: Langdurig gebroken vliezen
Wij spreken van langdurig gebroken vliezen wanneer de vliezen langer dan 24 uur gebroken zijn. Dit is een reden om in het ziekenhuis te bevallen. Voor, tijdens en na de bevalling houden wij uw conditie en die van uw baby in de gaten. Binnen 24 tot 48 uur na het breken van de vliezen wordt u opgenomen op de afdeling geboorte. Daar wordt gestart met het inleiden van de bevalling. Meer informatie vindt u in de folders “Inleiding van de baring” en “Bevalling en kraambed”. Bij controle of bij opname in het ziekenhuis kunt u het volgende verwachten: 
- De indaling van de baby wordt uitwendig bepaald, soms volgt een echo; 
- Er wordt een CTG (cardiotocogram) gemaakt om de conditie van de baby en de weeën activiteit te beoordelen; 
- Vaak wordt het vruchtwaterverlies beoordeeld door onderzoek. Hierbij letten we op geur en kleur van het vruchtwater; 
- Er wordt een vaginakweek afgenomen en zo nodig wordt de urine onderzocht; 
- We meten uw temperatuur en polsslag; 
- Een inwendig onderzoek wordt in principe niet verricht, om de kans op infectie te beperken."
Acupunctuur  (Nocepta),page_1,"Title: Vragen
Als u voorafgaand aan uw behandeling medisch inhoudelijke vragen heeft óf vragen heeft over bijwerkingen na een behandeling anders dan genoemd in de folder, dan kunt u gebruik maken van het telefonisch spreekuur van Nocepta op maandag t/m vrijdag tussen 11:00 en 12:00 uur  088-708 7060. Het secretariaat is op werkdagen te bereiken van 08:30-12:00 uur en van 13:00-15:30 uur op  088-708 5080.

Title: Nacontrole
In overleg met u wordt een afspraak voor de volgende behandeling gepland. Tijdens deze afspraken bespreekt u het resultaat van de behandeling.

Title: Vergoeding
Acupunctuur wordt niet vergoed vanuit de basisverzekering. U betaalt de kosten van € 55,60 vooraf aan de behandeling bij de secretaresse van de polikliniek Pijnbestrijding. Er staat een pin automaat bij de receptie. U krijgt een nota mee voor declaratie bij uw zorgverzekeraar. De vergoeding van de zorgverzekeraar is afhankelijk van hoe u verzekerd bent. Informeert u daarom vooraf bij uw zorgverzekeraar of deze behandeling wordt vergoed."
Bipolaire enucleatie van de prostaat,page_3,"Title: Tot slot
Deze folder betreft een algemene voorlichting en is bedoeld als extra informatie naast het gesprek met uw behandelend specialist. Bijzondere omstandigheden kunnen tot wijzigingen aanleiding geven. Dit zal altijd door uw behandelend specialist aan u kenbaar worden gemaakt. Bij vragen kunt u contact opnemen met de polikliniek urologie.

Title: Check uw dossier op MijnZGT
MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt."
Activiteitentherapie,page_0,"Title: Activiteitentherapie
Een ziekenhuisopname is meestal geen prettige tijd. U kunt last hebben van lichamelijke klachten en beperkingen, pijn, problemen met uw geheugen en concentratie en/of verminderde stemming. Het is belangrijk om wel actief te blijven tijdens uw opname. Wanneer u niet actief bent, kan dit ervoor zorgen dat uw lichamelijke of geestelijke gezondheid vermindert en u uw zelfstandigheid (deels) verliest. Het kan er ook voor zorgen dat u opnieuw in het ziekenhuis moet worden opgenomen. Uw zorgprofessional heeft u daarom aangemeld voor activiteitentherapie. Activiteitentherapie helpt u om fysiek en mentaal (geestelijk) actief te blijven door verschillende activiteiten aan te bieden. Voorbeelden hiervan zijn: bewegen, denkopdrachten, muziek, creativiteit en ontspanningsoefeningen. Hierbij kunnen we digitale hulpmiddelen inzetten. Deze activiteiten doet u alleen met een activiteitentherapeut, of in een groep.

Title: Wat kan ik van activiteitentherapie
verwachten? Na een kennismakingsgesprek bespreken we met u met welk doel u gaat deelnemen aan de therapie. Hierbij houden we rekening met uw lichamelijke gezondheid. We werken samen met medisch specialisten en verpleegkundigen die bij uw behandeling betrokken zijn. De therapie kunt u alleen of in een groep doen, in overleg met u kijken we wat het beste bij u past. Individuele therapie gebeurt op uw kamer of in de therapieruimte. U werkt 1-op-1 met de therapeut aan uw doelen. De groepstherapie gebeurt in een kleine groep in de therapieruimte. Tussendoor bespreekt u met de therapeut of de therapie nog bij u past. Wanneer het nodig is, passen we de therapie aan. Na uw ontslag uit het ziekenhuis stopt de activiteitentherapie, maar we kunnen u wel tips meegeven voor thuis.

Title: Waar kunnen we u bij helpen?
- Revalideren. 
- Ondersteunen bij het voorkomen van beperkingen in uw dagelijks leven. 
- Verbeteren van uw stemming en het verminderen van spanningsklachten. 
- Vergroten van zelfvertrouwen en het vertrouwen in het lichamelijk functioneren. 
- Ontwikkelen van ritme (dagstructuur) met aandacht voor het in balans houden van uw energie. 
- Gevoel van verbinding vergroten door contacten met lotgenoten. 
- Beeld krijgen van uw functioneren voor de juiste behandeling en passende nazorg.

Title: Contact
Voor meer informatie kunt u of uw eerste contactpersoon contact opnemen met de activiteitentherapeuten. Wij zijn bereikbaar van maandag tot en met vrijdag van 8.30 uur tot 17.00 uur op telefoonnummer: 088 708 40 43.

Title: Check uw dossier op MijnZGT
MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt"
Acupunctuur  (Nocepta),page_1,"Title: Vragen
Als u voorafgaand aan uw behandeling medisch inhoudelijke vragen heeft óf vragen heeft over bijwerkingen na een behandeling anders dan genoemd in de folder, dan kunt u gebruik maken van het telefonisch spreekuur van Nocepta op maandag t/m vrijdag tussen 11:00 en 12:00 uur  088-708 7060. Het secretariaat is op werkdagen te bereiken van 08:30-12:00 uur en van 13:00-15:30 uur op  088-708 5080.

Title: Nacontrole
In overleg met u wordt een afspraak voor de volgende behandeling gepland. Tijdens deze afspraken bespreekt u het resultaat van de behandeling.

Title: Vergoeding
Acupunctuur wordt niet vergoed vanuit de basisverzekering. U betaalt de kosten van € 55,60 vooraf aan de behandeling bij de secretaresse van de polikliniek Pijnbestrijding. Er staat een pin automaat bij de receptie. U krijgt een nota mee voor declaratie bij uw zorgverzekeraar. De vergoeding van de zorgverzekeraar is afhankelijk van hoe u verzekerd bent. Informeert u daarom vooraf bij uw zorgverzekeraar of deze behandeling wordt vergoed."
(Langdurig) gebroken vliezen,page_1,"Title: Wat als de vliezen langdurig gebroken zijn
In 95 procent van de gevallen komt de bevalling binnen 72 uur op gang. Wanneer het langer duurt, neemt de kans op een infectie bij moeder en ongeboren baby iets toe. U kunt ervoor kiezen de baring in te laten leiden, of het spontane begin van de bevalling af te wachten. Het volgende is hierbij van belang: 
- Bij het inleiden van de baring bij een eerste kind is er een iets hogere kans op langdurige weeën en kunstverlossing. De kans op een keizersnede is even groot als bij afwachten; 
- Als u het spontane begin van de bevalling wil afwachten mag dat, maar het advies is om niet langer dan 72 uur af te wachten vanwege het oplopen van het infectierisico; 
- Als u tussen 24 tot 48 uur na het breken van de vliezen ingeleid wilt worden, mag dat ook. We spreken hiervoor dan een gunstig tijdstip af; 
- Als u geen uitgesproken keuze heeft, wordt de inleiding gepland op de ochtend nadat de vliezen 48 uur gebroken zijn.

Title: Wat doen bij langdurig gebroken vliezen
- Drie keer per dag rectaal uw temperatuur meten; 
- Verwissel regelmatig uw kraamverband (altijd na toiletbezoek); 
- Geen tampons gebruiken; 
- Geen geslachtsgemeenschap; 
- Ga niet zwemmen of in bad (douchen mag wel); 
- Elke 24 uur worden de controles in het ziekenhuis herhaald (CTG, temperatuur en pols).

Title: Controles bij uw baby
Omdat er bij langdurig gebroken vliezen een verhoogde kans op infectie bestaat, wordt u samen met uw baby na de bevalling minimaal twaalf uur opgenomen op de afdeling moeder en kind. Ook komt de kinderarts langs om uw baby na te kijken. In overleg met de kinderarts wordt ontslag afgesproken. Als uw baby mee naar huis mag, moet u contact opnemen met uw verloskundige als uw baby: 
- Slecht drinkt; 
- Regelmatig kreunt; 
- Een te snelle of te langzame ademhaling heeft; 
- Slap is; 
- Een nare kleur heeft (grauw); 
- Geen constante temperatuur tussen de 36.5º C en 37.5º C heeft, maar een sterk wisselende temperatuur. Meer informatie vind u in de folder “Vroege infectie herkennen bij uw baby”.

Title: Vragen
Mocht u na het lezen van deze folder nog vragen hebben, uw gynaecoloog, verloskundige, verpleegkundige of huisarts is altijd bereid ze te beantwoorden.

Title: Algemene informatie Telefoonnummers
- Voor zwangeren is onze polikliniek/afdeling verloskunde op locatie Almelo bereikbaar op nummer: 088 708 44 16

Title: Check uw dossier op MijnZGT
MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt."
Gemalen voeding,page_2,"Title: Vitamine D
Voor een aantal groepen is het aan te raden extra vitamine D te gebruiken als aanvulling op de voeding. Aan vrouwen tussen 50-70 jaar wordt 10 mcg/dag (400 IE) en aan alle ouderen vanaf 70 jaar wordt 20 mcg/dag (800 IC) geadviseerd. Voor mensen met een donkere huidskleur geldt het advies 10 mcg/dag extra. Vraag uw diëtist voor meer informatie hierover of kijk op voedingscentrum.nl.

Title: Vragen
Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl

Title: Check uw dossier op MijnZGT
MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt."
Aanvraagformulier kopie medische gegevens,page_0,"Title: Gegevens patiënt
Achternaam en voorletters Meisjesnaam (indien gehuwd) Geboortedatum Geslacht Adres Postcode en woonplaats Telefoon (vast) Telefoon (mobiel) E-mailadres Indien de aanvrager een andere persoon is dan de patiënt

Title: *Voeg voor het aanvragen een kopie legitimatie toe aan dit formulier! Ondertekening
Plaats Datum Handtekening patiënt Handtekening gemachtigde U stuurt het aanvraagformulier op naar: Ziekenhuisgroep Twente Afdeling Patiënteninformatie Antwoordnummer 41 7550 VB Hengelo

Title: Telefoon: 088 708 58 41
of per mail naar het e-mailadres (patientinfo@zgt.nl). Door het tekenen van dit formulier verklaart u kennis te hebben genomen van de toelichting

Title: Toelichting
U helpt ons met het opzoeken van uw dossier als u de voorzijde van dit formulier zo volledig mogelijk invult. De door u ingevulde gegevens worden door ons vertrouwelijk behandeld. Nadat wij het formulier van u hebben ontvangen en uw gegevens hebben opgezocht, nemen wij contact met u op. U kunt uw dossier krijgen: 1. Via een beveiligde mail; 2. Via aangetekende post; 3. Ophalen op afspraak in ZGT Hengelo.

Title: Identificatie
Voeg voor het aanvragen een kopie legitimatie (rijbewijs/ID-kaart/paspoort) toe aan dit formulier. Bij het ophalen van de gegevens dient een geldige legitimatie te worden getoond. Bij machtiging dient de patiënt en de gemachtigde het aanvraagformulier te tekenen. Hierbij geeft de patiënt toestemming dat betreffende gemachtigde zijn of haar gegevens in ontvangst kan nemen. In dat geval moet bij het afhalen behalve een ingevuld formulier ook een kopie van het legitimatiebewijs van de patiënt worden overgelegd.

Title: Opvragen medische gegevens overleden patiënt
Het beroepsgeheim van hulpverleners geldt ook na het overlijden van een patiënt. Met ingang van 1 januari 2020 is wettelijk vastgelegd dat nabestaanden inzage kunnen krijgen in het medisch dossier van de overleden patiënt, maar alleen als er sprake is van één of meer van de in de wet genoemde gevallen: 1. Wanneer de patiënt bij leven hiervoor toestemming heeft gegeven; 2. Wanneer de nabestaande een mededeling van een incident heeft ontvangen, of; 3. Op grond van een zwaarwegend belang. U zult uw aanvraag altijd moeten onderbouwen. Ad 1: Als u meent dat sprake is van verleende toestemming, dan moet u aangeven waaruit dat blijkt. Misschien beschikt u over een schriftelijke toestemmingsverklaring. Het kan ook zijn dat toestemming mondeling is gegeven en opgetekend in het medisch dossier. Ad 2. Als u, als nabestaande, een mededeling over een incident heeft ontvangen, dan heeft u recht op gegevens uit het dossier over dat incident. Als u geen mededeling heeft gekregen over een incident, maar u vermoedt dat een incident heeft plaatsgevonden, kan een beroep worden gedaan op een zwaarwegend belang. Ad 3. De persoon die inzage vraagt op grond van een zwaarwegend belang moet toelichten wat het zwaarwegend belang is. Met voldoende concrete aanwijzingen moet aannemelijk worden gemaakt dat het belang wordt geschaad als er geen inzage wordt verleend. Ook moet aannemelijk worden gemaakt dat de inzage noodzakelijk is."
