,Document,Question,Answer,Fact
0,"{'Secukinumab': {'Astma, thuis en op school': {'Astma, thuis en op school': 'Eén op de tien kinderen op de basisschool heeft in meer of mindere mate last van astma. Kinderen met astma kunnen zich onbegrepen en onzeker voelen.', 'Inleiding': 'In de cursus ‘Astma, thuis en op school’ leert uw kind hoe hij/zij beter om kan gaan met astma in allerlei dagelijkse situaties. Op een speelse manier komen verschillende onderwerpen aan de orde. Uw kind leert onder andere wat astma is; hoe dit kan worden uitgelegd aan klasgenootjes; hoe medicijnen werken en wat hij/zij kan doen als hij/zij geplaagd wordt vanwege astma. Hierdoor zullen de beperkingen als gevolg van astma verminderen. Het schoolverzuim neemt af en het zelfvertrouwen van uw kind zal vergroot worden. De cursus wordt in groepsverband gegeven en is bedoeld voor kinderen met astma in de leeftijd van 8 tot en met 12 jaar (basisschool groep 5 t/m 8). De cursus vindt na schooltijd plaats.', 'Inhoud cursus': 'Zelfmanagement staat centraal in de cursus. Uw kind leert onder meer: \n- Hoe kan je een astma-aanval voorkomen? \n- Wat kan je doen bij benauwdheid? \n- Hoe gebruik je de inhalator goed en wat is het doel en de functie van de medicatie? \n- Hoe kan je je angsten rondom benauwdheid verminderen of zelfs kwijt raken? \n- Hoe praat je met je eigen- of een vreemde arts over je astma? \n- Zich minder te schamen om over astma te praten of medicatie op school in te nemen. Tijdens de cursus wordt extra aandacht besteed aan de relatie tussen astma en school.', 'Wanneer?': 'De cursus ‘Astma, thuis en op school’ gaat bij voldoende deelname ieder jaar opnieuw van start in januari. De cursus bestaat uit zes wekelijkse bijeenkomsten van 75 minuten en wordt gegeven door de kinderlongverpleegkundige en de fysiotherapeut.', 'Tot slot': 'Deze folder betreft een algemene voorlichting en is bedoeld als extra informatie naast het gesprek met uw behandelend arts. Bijzondere omstandigheden kunnen tot wijzigingen aanleiding geven. Dit zal altijd door uw kinderarts aan u kenbaar gemaakt worden. Voor meer informatie of aanmelding voor de cursus kunt u contact opnemen met de polikliniek kinderartsen of via e-mail: kinderastmapoli@zgt.nl', 'Polikliniek kinderartsen': 'Telefoonnummer 088 708 31 20 De kosten van de cursus bedragen € 5,- voor het huiswerkmapje.', 'Check het dossier van uw kind op': 'MijnZGT MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van het medisch dossier van uw kind inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij hebben klaargezet. Kijk voor meer info op: https://www.zgt.nl/media/20045/40082905- folder-inloggen-mijnzgt-machtiging-18-06- 2019.pdf'}}}",Wat is het telefoonnummer van de polikliniek kinderartsen?,Het telefoonnummer van de polikliniek kinderartsen is 088 708 31 20.,088 708 31 20
1,"{'Secukinumab': {'Astma, thuis en op school': {'Astma, thuis en op school': 'Eén op de tien kinderen op de basisschool heeft in meer of mindere mate last van astma. Kinderen met astma kunnen zich onbegrepen en onzeker voelen.', 'Inleiding': 'In de cursus ‘Astma, thuis en op school’ leert uw kind hoe hij/zij beter om kan gaan met astma in allerlei dagelijkse situaties. Op een speelse manier komen verschillende onderwerpen aan de orde. Uw kind leert onder andere wat astma is; hoe dit kan worden uitgelegd aan klasgenootjes; hoe medicijnen werken en wat hij/zij kan doen als hij/zij geplaagd wordt vanwege astma. Hierdoor zullen de beperkingen als gevolg van astma verminderen. Het schoolverzuim neemt af en het zelfvertrouwen van uw kind zal vergroot worden. De cursus wordt in groepsverband gegeven en is bedoeld voor kinderen met astma in de leeftijd van 8 tot en met 12 jaar (basisschool groep 5 t/m 8). De cursus vindt na schooltijd plaats.', 'Inhoud cursus': 'Zelfmanagement staat centraal in de cursus. Uw kind leert onder meer: \n- Hoe kan je een astma-aanval voorkomen? \n- Wat kan je doen bij benauwdheid? \n- Hoe gebruik je de inhalator goed en wat is het doel en de functie van de medicatie? \n- Hoe kan je je angsten rondom benauwdheid verminderen of zelfs kwijt raken? \n- Hoe praat je met je eigen- of een vreemde arts over je astma? \n- Zich minder te schamen om over astma te praten of medicatie op school in te nemen. Tijdens de cursus wordt extra aandacht besteed aan de relatie tussen astma en school.', 'Wanneer?': 'De cursus ‘Astma, thuis en op school’ gaat bij voldoende deelname ieder jaar opnieuw van start in januari. De cursus bestaat uit zes wekelijkse bijeenkomsten van 75 minuten en wordt gegeven door de kinderlongverpleegkundige en de fysiotherapeut.', 'Tot slot': 'Deze folder betreft een algemene voorlichting en is bedoeld als extra informatie naast het gesprek met uw behandelend arts. Bijzondere omstandigheden kunnen tot wijzigingen aanleiding geven. Dit zal altijd door uw kinderarts aan u kenbaar gemaakt worden. Voor meer informatie of aanmelding voor de cursus kunt u contact opnemen met de polikliniek kinderartsen of via e-mail: kinderastmapoli@zgt.nl', 'Polikliniek kinderartsen': 'Telefoonnummer 088 708 31 20 De kosten van de cursus bedragen € 5,- voor het huiswerkmapje.', 'Check het dossier van uw kind op': 'MijnZGT MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van het medisch dossier van uw kind inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij hebben klaargezet. Kijk voor meer info op: https://www.zgt.nl/media/20045/40082905- folder-inloggen-mijnzgt-machtiging-18-06- 2019.pdf'}}}","Hoeveel kost de cursus 'Astma, thuis en op school'?","De kosten van de cursus bedragen € 5,- voor het huiswerkmapje.",088 708 31 20
2,"{'Secukinumab': {'Astma, thuis en op school': {'Astma, thuis en op school': 'Eén op de tien kinderen op de basisschool heeft in meer of mindere mate last van astma. Kinderen met astma kunnen zich onbegrepen en onzeker voelen.', 'Inleiding': 'In de cursus ‘Astma, thuis en op school’ leert uw kind hoe hij/zij beter om kan gaan met astma in allerlei dagelijkse situaties. Op een speelse manier komen verschillende onderwerpen aan de orde. Uw kind leert onder andere wat astma is; hoe dit kan worden uitgelegd aan klasgenootjes; hoe medicijnen werken en wat hij/zij kan doen als hij/zij geplaagd wordt vanwege astma. Hierdoor zullen de beperkingen als gevolg van astma verminderen. Het schoolverzuim neemt af en het zelfvertrouwen van uw kind zal vergroot worden. De cursus wordt in groepsverband gegeven en is bedoeld voor kinderen met astma in de leeftijd van 8 tot en met 12 jaar (basisschool groep 5 t/m 8). De cursus vindt na schooltijd plaats.', 'Inhoud cursus': 'Zelfmanagement staat centraal in de cursus. Uw kind leert onder meer: \n- Hoe kan je een astma-aanval voorkomen? \n- Wat kan je doen bij benauwdheid? \n- Hoe gebruik je de inhalator goed en wat is het doel en de functie van de medicatie? \n- Hoe kan je je angsten rondom benauwdheid verminderen of zelfs kwijt raken? \n- Hoe praat je met je eigen- of een vreemde arts over je astma? \n- Zich minder te schamen om over astma te praten of medicatie op school in te nemen. Tijdens de cursus wordt extra aandacht besteed aan de relatie tussen astma en school.', 'Wanneer?': 'De cursus ‘Astma, thuis en op school’ gaat bij voldoende deelname ieder jaar opnieuw van start in januari. De cursus bestaat uit zes wekelijkse bijeenkomsten van 75 minuten en wordt gegeven door de kinderlongverpleegkundige en de fysiotherapeut.', 'Tot slot': 'Deze folder betreft een algemene voorlichting en is bedoeld als extra informatie naast het gesprek met uw behandelend arts. Bijzondere omstandigheden kunnen tot wijzigingen aanleiding geven. Dit zal altijd door uw kinderarts aan u kenbaar gemaakt worden. Voor meer informatie of aanmelding voor de cursus kunt u contact opnemen met de polikliniek kinderartsen of via e-mail: kinderastmapoli@zgt.nl', 'Polikliniek kinderartsen': 'Telefoonnummer 088 708 31 20 De kosten van de cursus bedragen € 5,- voor het huiswerkmapje.', 'Check het dossier van uw kind op': 'MijnZGT MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van het medisch dossier van uw kind inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij hebben klaargezet. Kijk voor meer info op: https://www.zgt.nl/media/20045/40082905- folder-inloggen-mijnzgt-machtiging-18-06- 2019.pdf'}}}",Waar kan ik meer informatie vinden over MijnZGT?,U kunt meer informatie vinden over MijnZGT op https://www.zgt.nl/media/20045/40082905- folder-inloggen-mijnzgt-machtiging-18-06- 2019.pdf,088 708 31 20
3,"{'Secukinumab': {'Astma, thuis en op school': {'Astma, thuis en op school': 'Eén op de tien kinderen op de basisschool heeft in meer of mindere mate last van astma. Kinderen met astma kunnen zich onbegrepen en onzeker voelen.', 'Inleiding': 'In de cursus ‘Astma, thuis en op school’ leert uw kind hoe hij/zij beter om kan gaan met astma in allerlei dagelijkse situaties. Op een speelse manier komen verschillende onderwerpen aan de orde. Uw kind leert onder andere wat astma is; hoe dit kan worden uitgelegd aan klasgenootjes; hoe medicijnen werken en wat hij/zij kan doen als hij/zij geplaagd wordt vanwege astma. Hierdoor zullen de beperkingen als gevolg van astma verminderen. Het schoolverzuim neemt af en het zelfvertrouwen van uw kind zal vergroot worden. De cursus wordt in groepsverband gegeven en is bedoeld voor kinderen met astma in de leeftijd van 8 tot en met 12 jaar (basisschool groep 5 t/m 8). De cursus vindt na schooltijd plaats.', 'Inhoud cursus': 'Zelfmanagement staat centraal in de cursus. Uw kind leert onder meer: \n- Hoe kan je een astma-aanval voorkomen? \n- Wat kan je doen bij benauwdheid? \n- Hoe gebruik je de inhalator goed en wat is het doel en de functie van de medicatie? \n- Hoe kan je je angsten rondom benauwdheid verminderen of zelfs kwijt raken? \n- Hoe praat je met je eigen- of een vreemde arts over je astma? \n- Zich minder te schamen om over astma te praten of medicatie op school in te nemen. Tijdens de cursus wordt extra aandacht besteed aan de relatie tussen astma en school.', 'Wanneer?': 'De cursus ‘Astma, thuis en op school’ gaat bij voldoende deelname ieder jaar opnieuw van start in januari. De cursus bestaat uit zes wekelijkse bijeenkomsten van 75 minuten en wordt gegeven door de kinderlongverpleegkundige en de fysiotherapeut.', 'Tot slot': 'Deze folder betreft een algemene voorlichting en is bedoeld als extra informatie naast het gesprek met uw behandelend arts. Bijzondere omstandigheden kunnen tot wijzigingen aanleiding geven. Dit zal altijd door uw kinderarts aan u kenbaar gemaakt worden. Voor meer informatie of aanmelding voor de cursus kunt u contact opnemen met de polikliniek kinderartsen of via e-mail: kinderastmapoli@zgt.nl', 'Polikliniek kinderartsen': 'Telefoonnummer 088 708 31 20 De kosten van de cursus bedragen € 5,- voor het huiswerkmapje.', 'Check het dossier van uw kind op': 'MijnZGT MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van het medisch dossier van uw kind inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij hebben klaargezet. Kijk voor meer info op: https://www.zgt.nl/media/20045/40082905- folder-inloggen-mijnzgt-machtiging-18-06- 2019.pdf'}}}",Wat is de relatie tussen astma en school?,"Tijdens de cursus 'Astma, thuis en op school' wordt extra aandacht besteed aan de relatie tussen astma en school.",088 708 31 20
4,"{'Secukinumab': {'Astma, thuis en op school': {'Astma, thuis en op school': 'Eén op de tien kinderen op de basisschool heeft in meer of mindere mate last van astma. Kinderen met astma kunnen zich onbegrepen en onzeker voelen.', 'Inleiding': 'In de cursus ‘Astma, thuis en op school’ leert uw kind hoe hij/zij beter om kan gaan met astma in allerlei dagelijkse situaties. Op een speelse manier komen verschillende onderwerpen aan de orde. Uw kind leert onder andere wat astma is; hoe dit kan worden uitgelegd aan klasgenootjes; hoe medicijnen werken en wat hij/zij kan doen als hij/zij geplaagd wordt vanwege astma. Hierdoor zullen de beperkingen als gevolg van astma verminderen. Het schoolverzuim neemt af en het zelfvertrouwen van uw kind zal vergroot worden. De cursus wordt in groepsverband gegeven en is bedoeld voor kinderen met astma in de leeftijd van 8 tot en met 12 jaar (basisschool groep 5 t/m 8). De cursus vindt na schooltijd plaats.', 'Inhoud cursus': 'Zelfmanagement staat centraal in de cursus. Uw kind leert onder meer: \n- Hoe kan je een astma-aanval voorkomen? \n- Wat kan je doen bij benauwdheid? \n- Hoe gebruik je de inhalator goed en wat is het doel en de functie van de medicatie? \n- Hoe kan je je angsten rondom benauwdheid verminderen of zelfs kwijt raken? \n- Hoe praat je met je eigen- of een vreemde arts over je astma? \n- Zich minder te schamen om over astma te praten of medicatie op school in te nemen. Tijdens de cursus wordt extra aandacht besteed aan de relatie tussen astma en school.', 'Wanneer?': 'De cursus ‘Astma, thuis en op school’ gaat bij voldoende deelname ieder jaar opnieuw van start in januari. De cursus bestaat uit zes wekelijkse bijeenkomsten van 75 minuten en wordt gegeven door de kinderlongverpleegkundige en de fysiotherapeut.', 'Tot slot': 'Deze folder betreft een algemene voorlichting en is bedoeld als extra informatie naast het gesprek met uw behandelend arts. Bijzondere omstandigheden kunnen tot wijzigingen aanleiding geven. Dit zal altijd door uw kinderarts aan u kenbaar gemaakt worden. Voor meer informatie of aanmelding voor de cursus kunt u contact opnemen met de polikliniek kinderartsen of via e-mail: kinderastmapoli@zgt.nl', 'Polikliniek kinderartsen': 'Telefoonnummer 088 708 31 20 De kosten van de cursus bedragen € 5,- voor het huiswerkmapje.', 'Check het dossier van uw kind op': 'MijnZGT MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van het medisch dossier van uw kind inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij hebben klaargezet. Kijk voor meer info op: https://www.zgt.nl/media/20045/40082905- folder-inloggen-mijnzgt-machtiging-18-06- 2019.pdf'}}}","Hoeveel keer vindt de cursus 'Astma, thuis en op school' plaats?","De cursus 'Astma, thuis en op school' bestaat uit zes wekelijkse bijeenkomsten van 75 minuten en wordt gegeven door de kinderlongverpleegkundige en de fysiotherapeut.",088 708 31 20
5,"{'Laserontharing (ZGT Helon)': {'Instructies voor het spoelen van de jejunostomie in de thuissituatie': {'Instructies voor het spoelen van de jejunostomie/het sondesysteem': 'Hieronder wordt stap voor stap beschreven hoe u de jejunostomie/het sondesysteem kunt spoelen. Dit dient vier tot zes keer per dag gedaan te worden.', 'Benodigdheden': '\uf0f0 10cc spuit \uf0f0 Bakje met water', 'Stap 1: Trek 10 cc water op met': 'behulp van het spuitje', 'Stap 2: Zorg dat er geen lucht in het': 'spuitje zit door te ontluchten Stap 4: Draai de spuit op het bijspuitpunt van het sondevoedingssysteem Stap 3: Zet de sondevoedingspomp stop', 'Stap 5: Draai het driewegkraantje naar': 'de patiënt toe en dien het water toe totdat de spuit leeg is. Stap 6: Draai het driewegkraantje weer dicht Stap 7: Draai het dopje weer op het bijspuitpunt Stap 8: Zet de sondevoedingspomp weer aan', 'Instructievideo ZGT.nl': 'Voorlichtingsmateriaal: doorspoelen van de jejunostomie', 'Vragen': 'Voor eventuele vragen naar aanleiding van deze informatie kunt u contact opnemen met afdeling 5 noord, ziekenhuislocatie Almelo. Telefoonnummer 088 708 36 40.', 'Check uw dossier op MijnZGT': 'MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.'}}}",Wat is het telefoonnummer van afdeling 5 noord op ziekenhuislocatie Almelo?,Het telefoonnummer van afdeling 5 noord op ziekenhuislocatie Almelo is 088 708 36 40.,088 708 36 40
6,"{'Laserontharing (ZGT Helon)': {'Instructies voor het spoelen van de jejunostomie in de thuissituatie': {'Instructies voor het spoelen van de jejunostomie/het sondesysteem': 'Hieronder wordt stap voor stap beschreven hoe u de jejunostomie/het sondesysteem kunt spoelen. Dit dient vier tot zes keer per dag gedaan te worden.', 'Benodigdheden': '\uf0f0 10cc spuit \uf0f0 Bakje met water', 'Stap 1: Trek 10 cc water op met': 'behulp van het spuitje', 'Stap 2: Zorg dat er geen lucht in het': 'spuitje zit door te ontluchten Stap 4: Draai de spuit op het bijspuitpunt van het sondevoedingssysteem Stap 3: Zet de sondevoedingspomp stop', 'Stap 5: Draai het driewegkraantje naar': 'de patiënt toe en dien het water toe totdat de spuit leeg is. Stap 6: Draai het driewegkraantje weer dicht Stap 7: Draai het dopje weer op het bijspuitpunt Stap 8: Zet de sondevoedingspomp weer aan', 'Instructievideo ZGT.nl': 'Voorlichtingsmateriaal: doorspoelen van de jejunostomie', 'Vragen': 'Voor eventuele vragen naar aanleiding van deze informatie kunt u contact opnemen met afdeling 5 noord, ziekenhuislocatie Almelo. Telefoonnummer 088 708 36 40.', 'Check uw dossier op MijnZGT': 'MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.'}}}",Hoe vaak per dag moet de jejunostomie/het sondesysteem gespoeld worden?,De jejunostomie/het sondesysteem dient vier tot zes keer per dag gespoeld te worden.,088 708 36 40
7,"{'Laserontharing (ZGT Helon)': {'Instructies voor het spoelen van de jejunostomie in de thuissituatie': {'Instructies voor het spoelen van de jejunostomie/het sondesysteem': 'Hieronder wordt stap voor stap beschreven hoe u de jejunostomie/het sondesysteem kunt spoelen. Dit dient vier tot zes keer per dag gedaan te worden.', 'Benodigdheden': '\uf0f0 10cc spuit \uf0f0 Bakje met water', 'Stap 1: Trek 10 cc water op met': 'behulp van het spuitje', 'Stap 2: Zorg dat er geen lucht in het': 'spuitje zit door te ontluchten Stap 4: Draai de spuit op het bijspuitpunt van het sondevoedingssysteem Stap 3: Zet de sondevoedingspomp stop', 'Stap 5: Draai het driewegkraantje naar': 'de patiënt toe en dien het water toe totdat de spuit leeg is. Stap 6: Draai het driewegkraantje weer dicht Stap 7: Draai het dopje weer op het bijspuitpunt Stap 8: Zet de sondevoedingspomp weer aan', 'Instructievideo ZGT.nl': 'Voorlichtingsmateriaal: doorspoelen van de jejunostomie', 'Vragen': 'Voor eventuele vragen naar aanleiding van deze informatie kunt u contact opnemen met afdeling 5 noord, ziekenhuislocatie Almelo. Telefoonnummer 088 708 36 40.', 'Check uw dossier op MijnZGT': 'MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.'}}}",Welke benodigdheden zijn er nodig voor het spoelen van de jejunostomie/het sondesysteem?,Voor het spoelen van de jejunostomie/het sondesysteem zijn een 10cc spuit en een bakje met water nodig.,088 708 36 40
8,"{'Laserontharing (ZGT Helon)': {'Instructies voor het spoelen van de jejunostomie in de thuissituatie': {'Instructies voor het spoelen van de jejunostomie/het sondesysteem': 'Hieronder wordt stap voor stap beschreven hoe u de jejunostomie/het sondesysteem kunt spoelen. Dit dient vier tot zes keer per dag gedaan te worden.', 'Benodigdheden': '\uf0f0 10cc spuit \uf0f0 Bakje met water', 'Stap 1: Trek 10 cc water op met': 'behulp van het spuitje', 'Stap 2: Zorg dat er geen lucht in het': 'spuitje zit door te ontluchten Stap 4: Draai de spuit op het bijspuitpunt van het sondevoedingssysteem Stap 3: Zet de sondevoedingspomp stop', 'Stap 5: Draai het driewegkraantje naar': 'de patiënt toe en dien het water toe totdat de spuit leeg is. Stap 6: Draai het driewegkraantje weer dicht Stap 7: Draai het dopje weer op het bijspuitpunt Stap 8: Zet de sondevoedingspomp weer aan', 'Instructievideo ZGT.nl': 'Voorlichtingsmateriaal: doorspoelen van de jejunostomie', 'Vragen': 'Voor eventuele vragen naar aanleiding van deze informatie kunt u contact opnemen met afdeling 5 noord, ziekenhuislocatie Almelo. Telefoonnummer 088 708 36 40.', 'Check uw dossier op MijnZGT': 'MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.'}}}",Hoe kan er gecontroleerd worden of er geen lucht in het spuitje zit?,Er kan gecontroleerd worden of er geen lucht in het spuitje zit door te ontluchten.,088 708 36 40
9,"{'Laserontharing (ZGT Helon)': {'Instructies voor het spoelen van de jejunostomie in de thuissituatie': {'Instructies voor het spoelen van de jejunostomie/het sondesysteem': 'Hieronder wordt stap voor stap beschreven hoe u de jejunostomie/het sondesysteem kunt spoelen. Dit dient vier tot zes keer per dag gedaan te worden.', 'Benodigdheden': '\uf0f0 10cc spuit \uf0f0 Bakje met water', 'Stap 1: Trek 10 cc water op met': 'behulp van het spuitje', 'Stap 2: Zorg dat er geen lucht in het': 'spuitje zit door te ontluchten Stap 4: Draai de spuit op het bijspuitpunt van het sondevoedingssysteem Stap 3: Zet de sondevoedingspomp stop', 'Stap 5: Draai het driewegkraantje naar': 'de patiënt toe en dien het water toe totdat de spuit leeg is. Stap 6: Draai het driewegkraantje weer dicht Stap 7: Draai het dopje weer op het bijspuitpunt Stap 8: Zet de sondevoedingspomp weer aan', 'Instructievideo ZGT.nl': 'Voorlichtingsmateriaal: doorspoelen van de jejunostomie', 'Vragen': 'Voor eventuele vragen naar aanleiding van deze informatie kunt u contact opnemen met afdeling 5 noord, ziekenhuislocatie Almelo. Telefoonnummer 088 708 36 40.', 'Check uw dossier op MijnZGT': 'MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.'}}}",Hoe kan er contact opgenomen worden met afdeling 5 noord op ziekenhuislocatie Almelo?,Er kan contact opgenomen worden met afdeling 5 noord op ziekenhuislocatie Almelo via het telefoonnummer 088 708 36 40.,088 708 36 40
