,Document,Question,Answer,Question-Context Similarity,Answer-Context Similarity,LLM Score
0,"{'Choline PET-scan, Bijschildklier': {'Shuntbepaling': {'Shuntmeting': 'Bij een shuntmeting wordt gemeten of al uw bloed door de longen stroomt om zuurstof op te nemen of dat het gedeeltelijk een andere route volgt.', 'Voorbereiding': 'Voor dit onderzoek is geen voorbereiding nodig. U mag uw voorgeschreven medicatie doorgebruiken. Verricht 30 minuten voor het onderzoek geen zware lichamelijke inspanning.', 'Het onderzoek': 'Tijdens het onderzoek zit u op een stoel. U krijgt een masker op waardoor u 20 minuten ademt. Aan het masker zit een ademzak, gevuld met 100% zuurstof. Tijdens deze test wordt uw zuurstofsaturatie gemeten. Dit is een maat voor de hoeveelheid zuurstof in uw bloed. Na 20 minuten wordt er bloed afgenomen uit uw polsslagader om de exacte hoeveelheid zuurstof te meten in uw bloed. U krijgt daarna een drukverband om uw pols. Het drukverband mag u er zelf na een uur afhalen.', 'Duur van het onderzoek': 'Het onderzoek duurt 45 minuten.', 'Vragen': 'Mocht u na het lezen van deze folder nog vragen hebben, dan kunt u van maandag t/m vrijdag van 8.00-17.00uur bellen met het secretariaat van het Hart Long Centrum, telefoonnummer 088 708 33 00.', 'Locatie en route': 'Voor het onderzoek kunt u zich melden bij het secretariaat van het Hart Long Centrum, ziekenhuislocatie Hengelo, routenummer 0.19.', 'Check uw dossier op MijnZGT': 'MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.'}}}",Wat wordt gemeten bij een shuntmeting?,Bij een shuntmeting wordt gemeten of al uw bloed door de longen stroomt om zuurstof op te nemen of dat het gedeeltelijk een andere route volgt.,0.0,0.0661764705882353,100.0
1,"{'Choline PET-scan, Bijschildklier': {'Shuntbepaling': {'Shuntmeting': 'Bij een shuntmeting wordt gemeten of al uw bloed door de longen stroomt om zuurstof op te nemen of dat het gedeeltelijk een andere route volgt.', 'Voorbereiding': 'Voor dit onderzoek is geen voorbereiding nodig. U mag uw voorgeschreven medicatie doorgebruiken. Verricht 30 minuten voor het onderzoek geen zware lichamelijke inspanning.', 'Het onderzoek': 'Tijdens het onderzoek zit u op een stoel. U krijgt een masker op waardoor u 20 minuten ademt. Aan het masker zit een ademzak, gevuld met 100% zuurstof. Tijdens deze test wordt uw zuurstofsaturatie gemeten. Dit is een maat voor de hoeveelheid zuurstof in uw bloed. Na 20 minuten wordt er bloed afgenomen uit uw polsslagader om de exacte hoeveelheid zuurstof te meten in uw bloed. U krijgt daarna een drukverband om uw pols. Het drukverband mag u er zelf na een uur afhalen.', 'Duur van het onderzoek': 'Het onderzoek duurt 45 minuten.', 'Vragen': 'Mocht u na het lezen van deze folder nog vragen hebben, dan kunt u van maandag t/m vrijdag van 8.00-17.00uur bellen met het secretariaat van het Hart Long Centrum, telefoonnummer 088 708 33 00.', 'Locatie en route': 'Voor het onderzoek kunt u zich melden bij het secretariaat van het Hart Long Centrum, ziekenhuislocatie Hengelo, routenummer 0.19.', 'Check uw dossier op MijnZGT': 'MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.'}}}",Is er een specifieke voorbereiding nodig voor dit onderzoek?,Voor dit onderzoek is geen voorbereiding nodig. U mag uw voorgeschreven medicatie doorgebruiken. Verricht 30 minuten voor het onderzoek geen zware lichamelijke inspanning.,0.007246376811594203,0.09558823529411764,85.0
2,"{'Choline PET-scan, Bijschildklier': {'Shuntbepaling': {'Shuntmeting': 'Bij een shuntmeting wordt gemeten of al uw bloed door de longen stroomt om zuurstof op te nemen of dat het gedeeltelijk een andere route volgt.', 'Voorbereiding': 'Voor dit onderzoek is geen voorbereiding nodig. U mag uw voorgeschreven medicatie doorgebruiken. Verricht 30 minuten voor het onderzoek geen zware lichamelijke inspanning.', 'Het onderzoek': 'Tijdens het onderzoek zit u op een stoel. U krijgt een masker op waardoor u 20 minuten ademt. Aan het masker zit een ademzak, gevuld met 100% zuurstof. Tijdens deze test wordt uw zuurstofsaturatie gemeten. Dit is een maat voor de hoeveelheid zuurstof in uw bloed. Na 20 minuten wordt er bloed afgenomen uit uw polsslagader om de exacte hoeveelheid zuurstof te meten in uw bloed. U krijgt daarna een drukverband om uw pols. Het drukverband mag u er zelf na een uur afhalen.', 'Duur van het onderzoek': 'Het onderzoek duurt 45 minuten.', 'Vragen': 'Mocht u na het lezen van deze folder nog vragen hebben, dan kunt u van maandag t/m vrijdag van 8.00-17.00uur bellen met het secretariaat van het Hart Long Centrum, telefoonnummer 088 708 33 00.', 'Locatie en route': 'Voor het onderzoek kunt u zich melden bij het secretariaat van het Hart Long Centrum, ziekenhuislocatie Hengelo, routenummer 0.19.', 'Check uw dossier op MijnZGT': 'MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.'}}}",Hoe verloopt het onderzoek?,"Tijdens het onderzoek zit u op een stoel. U krijgt een masker op waardoor u 20 minuten ademt. Aan het masker zit een ademzak, gevuld met 100% zuurstof. Tijdens deze test wordt uw zuurstofsaturatie gemeten. Dit is een maat voor de hoeveelheid zuurstof in uw bloed. Na 20 minuten wordt er bloed afgenomen uit uw polsslagader om de exacte hoeveelheid zuurstof te meten in uw bloed. U krijgt daarna een drukverband om uw pols. Het drukverband mag u er zelf na een uur afhalen.",0.0,0.2773722627737226,95.0
3,"{'Choline PET-scan, Bijschildklier': {'Shuntbepaling': {'Shuntmeting': 'Bij een shuntmeting wordt gemeten of al uw bloed door de longen stroomt om zuurstof op te nemen of dat het gedeeltelijk een andere route volgt.', 'Voorbereiding': 'Voor dit onderzoek is geen voorbereiding nodig. U mag uw voorgeschreven medicatie doorgebruiken. Verricht 30 minuten voor het onderzoek geen zware lichamelijke inspanning.', 'Het onderzoek': 'Tijdens het onderzoek zit u op een stoel. U krijgt een masker op waardoor u 20 minuten ademt. Aan het masker zit een ademzak, gevuld met 100% zuurstof. Tijdens deze test wordt uw zuurstofsaturatie gemeten. Dit is een maat voor de hoeveelheid zuurstof in uw bloed. Na 20 minuten wordt er bloed afgenomen uit uw polsslagader om de exacte hoeveelheid zuurstof te meten in uw bloed. U krijgt daarna een drukverband om uw pols. Het drukverband mag u er zelf na een uur afhalen.', 'Duur van het onderzoek': 'Het onderzoek duurt 45 minuten.', 'Vragen': 'Mocht u na het lezen van deze folder nog vragen hebben, dan kunt u van maandag t/m vrijdag van 8.00-17.00uur bellen met het secretariaat van het Hart Long Centrum, telefoonnummer 088 708 33 00.', 'Locatie en route': 'Voor het onderzoek kunt u zich melden bij het secretariaat van het Hart Long Centrum, ziekenhuislocatie Hengelo, routenummer 0.19.', 'Check uw dossier op MijnZGT': 'MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.'}}}",Hoe lang duurt het onderzoek?,Het onderzoek duurt 45 minuten.,0.0,0.022058823529411766,100.0
4,"{'Choline PET-scan, Bijschildklier': {'Shuntbepaling': {'Shuntmeting': 'Bij een shuntmeting wordt gemeten of al uw bloed door de longen stroomt om zuurstof op te nemen of dat het gedeeltelijk een andere route volgt.', 'Voorbereiding': 'Voor dit onderzoek is geen voorbereiding nodig. U mag uw voorgeschreven medicatie doorgebruiken. Verricht 30 minuten voor het onderzoek geen zware lichamelijke inspanning.', 'Het onderzoek': 'Tijdens het onderzoek zit u op een stoel. U krijgt een masker op waardoor u 20 minuten ademt. Aan het masker zit een ademzak, gevuld met 100% zuurstof. Tijdens deze test wordt uw zuurstofsaturatie gemeten. Dit is een maat voor de hoeveelheid zuurstof in uw bloed. Na 20 minuten wordt er bloed afgenomen uit uw polsslagader om de exacte hoeveelheid zuurstof te meten in uw bloed. U krijgt daarna een drukverband om uw pols. Het drukverband mag u er zelf na een uur afhalen.', 'Duur van het onderzoek': 'Het onderzoek duurt 45 minuten.', 'Vragen': 'Mocht u na het lezen van deze folder nog vragen hebben, dan kunt u van maandag t/m vrijdag van 8.00-17.00uur bellen met het secretariaat van het Hart Long Centrum, telefoonnummer 088 708 33 00.', 'Locatie en route': 'Voor het onderzoek kunt u zich melden bij het secretariaat van het Hart Long Centrum, ziekenhuislocatie Hengelo, routenummer 0.19.', 'Check uw dossier op MijnZGT': 'MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.'}}}",Waar kunt u terecht met eventuele vragen?,"Mocht u na het lezen van deze folder nog vragen hebben, dan kunt u van maandag t/m vrijdag van 8.00-17.00uur bellen met het secretariaat van het Hart Long Centrum, telefoonnummer 088 708 33 00.",0.0,0.12408759124087591,100.0
5,"{'Borstvoeding na ontslag uit ZGT': {'Vinorelbine monotherapie, patiënteninformatie': {'Het verloop van de vinorelbine kuur U begint met een chemokuur. Deze kuur bestaat uit één medicijn.': '1. Vinorelbine', '1 2': '3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21', 'V V': 'Wijze van toediening: De medicijnen worden u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De Vinorelbine wordt gegeven op dag één en acht en duurt ongeveer een uur. De kuur wordt afhankelijk van de bloeduitslagen om de drie weken gegeven. Naast de algemene bijwerkingen kunnen de volgende specifieke bijwerkingen optreden: \n- Bij koorts boven de 38,5° moet u contact met ons opnemen. \n- Uw haar gaat in principe niet uitvallen, mogelijk wordt het alleen wat dunner. Haaruitval begint meestal met een pijnlijke hoofdhuid. \n- Vinorelbine kan irriterend werken op uw bloedvaten, daarom wordt er na de toediening altijd een half uur extra gespoeld met NaCl 0,9% infuusvloeistof. \n- U kunt last krijgen van tintelingen en/of een doof gevoel in de vingertoppen en/of tenen. Meldt dit altijd bij het volgende bezoek aan het ziekenhuis. \n- Obstipatie (verstopping) komt regelmatig voor. \n- Resten cytostatica kunnen tot dag vijftien in het lichaamsvocht (onder meer urine, ontlasting, sperma, speeksel en braaksel) aanwezig zijn. In het ziekenhuis krijgt u adviezen over hoe u hiermee om kunt gaan.', 'Als u klachten krijgt die u niet vertrouwt mag u altijd contact met ons opnemen.': 'Check uw dossier op MijnZGT MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.'}}}",Wat is de gebruikelijke dosis van Vinorelbine voor een chemokuur?,De gebruikelijke dosis van Vinorelbine voor een chemokuur is 1. De Vinorelbine wordt gegeven op dag één en acht en duurt ongeveer een uur. De kuur wordt afhankelijk van de bloeduitslagen om de drie weken gegeven.,0.0,0.07065217391304347,20.0
6,"{'Borstvoeding na ontslag uit ZGT': {'Vinorelbine monotherapie, patiënteninformatie': {'Het verloop van de vinorelbine kuur U begint met een chemokuur. Deze kuur bestaat uit één medicijn.': '1. Vinorelbine', '1 2': '3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21', 'V V': 'Wijze van toediening: De medicijnen worden u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De Vinorelbine wordt gegeven op dag één en acht en duurt ongeveer een uur. De kuur wordt afhankelijk van de bloeduitslagen om de drie weken gegeven. Naast de algemene bijwerkingen kunnen de volgende specifieke bijwerkingen optreden: \n- Bij koorts boven de 38,5° moet u contact met ons opnemen. \n- Uw haar gaat in principe niet uitvallen, mogelijk wordt het alleen wat dunner. Haaruitval begint meestal met een pijnlijke hoofdhuid. \n- Vinorelbine kan irriterend werken op uw bloedvaten, daarom wordt er na de toediening altijd een half uur extra gespoeld met NaCl 0,9% infuusvloeistof. \n- U kunt last krijgen van tintelingen en/of een doof gevoel in de vingertoppen en/of tenen. Meldt dit altijd bij het volgende bezoek aan het ziekenhuis. \n- Obstipatie (verstopping) komt regelmatig voor. \n- Resten cytostatica kunnen tot dag vijftien in het lichaamsvocht (onder meer urine, ontlasting, sperma, speeksel en braaksel) aanwezig zijn. In het ziekenhuis krijgt u adviezen over hoe u hiermee om kunt gaan.', 'Als u klachten krijgt die u niet vertrouwt mag u altijd contact met ons opnemen.': 'Check uw dossier op MijnZGT MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.'}}}",Wat moet ik doen als mijn haar begint uit te vallen tijdens de behandeling met Vinorelbine?,"Als uw haar begint uit te vallen tijdens de behandeling met Vinorelbine, meld dit dan bij het volgende bezoek aan het ziekenhuis. Uw haar gaat in principe niet uitvallen, mogelijk wordt het alleen wat dunner. Haaruitval begint meestal met een pijnlijke hoofdhuid.",0.0,0.06451612903225806,90.0
7,"{'Borstvoeding na ontslag uit ZGT': {'Vinorelbine monotherapie, patiënteninformatie': {'Het verloop van de vinorelbine kuur U begint met een chemokuur. Deze kuur bestaat uit één medicijn.': '1. Vinorelbine', '1 2': '3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21', 'V V': 'Wijze van toediening: De medicijnen worden u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De Vinorelbine wordt gegeven op dag één en acht en duurt ongeveer een uur. De kuur wordt afhankelijk van de bloeduitslagen om de drie weken gegeven. Naast de algemene bijwerkingen kunnen de volgende specifieke bijwerkingen optreden: \n- Bij koorts boven de 38,5° moet u contact met ons opnemen. \n- Uw haar gaat in principe niet uitvallen, mogelijk wordt het alleen wat dunner. Haaruitval begint meestal met een pijnlijke hoofdhuid. \n- Vinorelbine kan irriterend werken op uw bloedvaten, daarom wordt er na de toediening altijd een half uur extra gespoeld met NaCl 0,9% infuusvloeistof. \n- U kunt last krijgen van tintelingen en/of een doof gevoel in de vingertoppen en/of tenen. Meldt dit altijd bij het volgende bezoek aan het ziekenhuis. \n- Obstipatie (verstopping) komt regelmatig voor. \n- Resten cytostatica kunnen tot dag vijftien in het lichaamsvocht (onder meer urine, ontlasting, sperma, speeksel en braaksel) aanwezig zijn. In het ziekenhuis krijgt u adviezen over hoe u hiermee om kunt gaan.', 'Als u klachten krijgt die u niet vertrouwt mag u altijd contact met ons opnemen.': 'Check uw dossier op MijnZGT MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.'}}}",Wat zijn de mogelijke bijwerkingen van Vinorelbine?,"Naast de algemene bijwerkingen kunnen de volgende specifieke bijwerkingen optreden: 
- Bij koorts boven de 38,5° moet u contact met ons opnemen. 
- Uw haar gaat in principe niet uitvallen, mogelijk wordt het alleen wat dunner. Haaruitval begint meestal met een pijnlijke hoofdhuid. 
- Vinorelbine kan irriterend werken op uw bloedvaten, daarom wordt er na de toediening altijd een half uur extra gespoeld met NaCl 0,9% infuusvloeistof. 
- U kunt last krijgen van tintelingen en/of een doof gevoel in de vingertoppen en/of tenen. Meldt dit altijd bij het volgende bezoek aan het ziekenhuis. 
- Obstipatie (verstopping) komt regelmatig voor. 
- Resten cytostatica kunnen tot dag vijftien in het lichaamsvocht (onder meer urine, ontlasting, sperma, speeksel en braaksel) aanwezig zijn. In het ziekenhuis krijgt u adviezen over hoe u hiermee om kunt gaan.",0.0,0.34594594594594597,
8,"{'Borstvoeding na ontslag uit ZGT': {'Vinorelbine monotherapie, patiënteninformatie': {'Het verloop van de vinorelbine kuur U begint met een chemokuur. Deze kuur bestaat uit één medicijn.': '1. Vinorelbine', '1 2': '3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21', 'V V': 'Wijze van toediening: De medicijnen worden u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De Vinorelbine wordt gegeven op dag één en acht en duurt ongeveer een uur. De kuur wordt afhankelijk van de bloeduitslagen om de drie weken gegeven. Naast de algemene bijwerkingen kunnen de volgende specifieke bijwerkingen optreden: \n- Bij koorts boven de 38,5° moet u contact met ons opnemen. \n- Uw haar gaat in principe niet uitvallen, mogelijk wordt het alleen wat dunner. Haaruitval begint meestal met een pijnlijke hoofdhuid. \n- Vinorelbine kan irriterend werken op uw bloedvaten, daarom wordt er na de toediening altijd een half uur extra gespoeld met NaCl 0,9% infuusvloeistof. \n- U kunt last krijgen van tintelingen en/of een doof gevoel in de vingertoppen en/of tenen. Meldt dit altijd bij het volgende bezoek aan het ziekenhuis. \n- Obstipatie (verstopping) komt regelmatig voor. \n- Resten cytostatica kunnen tot dag vijftien in het lichaamsvocht (onder meer urine, ontlasting, sperma, speeksel en braaksel) aanwezig zijn. In het ziekenhuis krijgt u adviezen over hoe u hiermee om kunt gaan.', 'Als u klachten krijgt die u niet vertrouwt mag u altijd contact met ons opnemen.': 'Check uw dossier op MijnZGT MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.'}}}",Hoe kan ik mijn medisch dossier inzien en persoonlijke gegevens checken?,"U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.",0.027932960893854747,0.11173184357541899,80.0
9,"{'Borstvoeding na ontslag uit ZGT': {'Vinorelbine monotherapie, patiënteninformatie': {'Het verloop van de vinorelbine kuur U begint met een chemokuur. Deze kuur bestaat uit één medicijn.': '1. Vinorelbine', '1 2': '3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21', 'V V': 'Wijze van toediening: De medicijnen worden u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De Vinorelbine wordt gegeven op dag één en acht en duurt ongeveer een uur. De kuur wordt afhankelijk van de bloeduitslagen om de drie weken gegeven. Naast de algemene bijwerkingen kunnen de volgende specifieke bijwerkingen optreden: \n- Bij koorts boven de 38,5° moet u contact met ons opnemen. \n- Uw haar gaat in principe niet uitvallen, mogelijk wordt het alleen wat dunner. Haaruitval begint meestal met een pijnlijke hoofdhuid. \n- Vinorelbine kan irriterend werken op uw bloedvaten, daarom wordt er na de toediening altijd een half uur extra gespoeld met NaCl 0,9% infuusvloeistof. \n- U kunt last krijgen van tintelingen en/of een doof gevoel in de vingertoppen en/of tenen. Meldt dit altijd bij het volgende bezoek aan het ziekenhuis. \n- Obstipatie (verstopping) komt regelmatig voor. \n- Resten cytostatica kunnen tot dag vijftien in het lichaamsvocht (onder meer urine, ontlasting, sperma, speeksel en braaksel) aanwezig zijn. In het ziekenhuis krijgt u adviezen over hoe u hiermee om kunt gaan.', 'Als u klachten krijgt die u niet vertrouwt mag u altijd contact met ons opnemen.': 'Check uw dossier op MijnZGT MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.'}}}",Wat moet ik doen als ik tijdens de behandeling klachten krijg die ik niet vertrouw?,Als u klachten krijgt die u niet vertrouwt mag u altijd contact met ons opnemen.,0.0,0.027932960893854747,100.0
