,Document,Question,Answer,Question-Context N-gram Similarity,Answer-Context N-gram Similarity,TF-IDF,Max TF-IDF
0,Voor meer informatie kunt u of uw eerste contactpersoon contact opnemen met de activiteitentherapeuten. Wij zijn bereikbaar van maandag tot en met vrijdag van 8.30 uur tot 17.00 uur op telefoonnummer: 088 708 40 43.,Hoe kan ik contact opnemen met de activiteitentherapeuten?,U kunt contact opnemen met de activiteitentherapeuten door uw eerste contactpersoon te benaderen. Zij zijn bereikbaar van maandag tot en met vrijdag van 8.30 uur tot 17.00 uur op telefoonnummer: 088 708 40 43.,0.10526315789473684,0.6086956521739131,"[0, 0, 0, 0]",0
1,Voor meer informatie kunt u of uw eerste contactpersoon contact opnemen met de activiteitentherapeuten. Wij zijn bereikbaar van maandag tot en met vrijdag van 8.30 uur tot 17.00 uur op telefoonnummer: 088 708 40 43.,Wanneer kan ik contact opnemen met de activiteitentherapeuten?,U kunt contact opnemen met de activiteitentherapeuten van maandag tot en met vrijdag van 8.30 uur tot 17.00 uur op telefoonnummer: 088 708 40 43.,0.1,0.5714285714285714,"[0, 0, 0, 0]",0
2,Voor meer informatie kunt u of uw eerste contactpersoon contact opnemen met de activiteitentherapeuten. Wij zijn bereikbaar van maandag tot en met vrijdag van 8.30 uur tot 17.00 uur op telefoonnummer: 088 708 40 43.,Met wie kan ik contact opnemen voor meer informatie?,U kunt contact opnemen met uw eerste contactpersoon voor meer informatie over de activiteitentherapeuten. Zij zijn bereikbaar van maandag tot en met vrijdag van 8.30 uur tot 17.00 uur op telefoonnummer: 088 708 40 43.,0.05,0.5416666666666666,"[0, 0, 0, 0]",0
3,Voor meer informatie kunt u of uw eerste contactpersoon contact opnemen met de activiteitentherapeuten. Wij zijn bereikbaar van maandag tot en met vrijdag van 8.30 uur tot 17.00 uur op telefoonnummer: 088 708 40 43.,Op welke dagen zijn de activiteitentherapeuten bereikbaar?,De activiteitentherapeuten zijn bereikbaar van maandag tot en met vrijdag van 8.30 uur tot 17.00 uur op telefoonnummer: 088 708 40 43.,0.0,0.55,"[0, 0, 0, 0, 0]",0
4,Voor meer informatie kunt u of uw eerste contactpersoon contact opnemen met de activiteitentherapeuten. Wij zijn bereikbaar van maandag tot en met vrijdag van 8.30 uur tot 17.00 uur op telefoonnummer: 088 708 40 43.,Hoe laat kan ik de activiteitentherapeuten bereiken?,U kunt de activiteitentherapeuten bereiken van maandag tot en met vrijdag van 8.30 uur tot 17.00 uur op telefoonnummer: 088 708 40 43.,0.0,0.45454545454545453,"[0, 0, 0, 0]",0
5,Nucleaire geneeskunde ZGT Hengelo (Ziekenhuisgroep Twente) Geerdinksweg 141 7555 DL Hengelo,Wat is het adres van de nucleaire geneeskunde in ZGT Hengelo?,"Het adres van de nucleaire geneeskunde ZGT Hengelo is Geerdinksweg 141, 7555 DL Hengelo.",0.2727272727272727,0.5833333333333334,"[0, 0, 0, 0, 0, 0]",0
6,Nucleaire geneeskunde ZGT Hengelo (Ziekenhuisgroep Twente) Geerdinksweg 141 7555 DL Hengelo,Welke ziekenhuisgroep is verantwoordelijk voor de nucleaire geneeskunde in Hengelo?,De nucleaire geneeskunde in ZGT Hengelo wordt verzorgd door Ziekenhuisgroep Twente.,0.07142857142857142,0.3333333333333333,"[0, 0, 0, 0, 0, 0]",0
7,Nucleaire geneeskunde ZGT Hengelo (Ziekenhuisgroep Twente) Geerdinksweg 141 7555 DL Hengelo,Welke locatie in het ziekenhuis is verantwoordelijk voor nucleaire geneeskunde?,De nucleaire geneeskunde in ZGT Hengelo is gevestigd op de locatie Geerdinksweg 141.,0.07142857142857142,0.3076923076923077,"[0, 0, 0, 0, 0, 0]",0
8,Nucleaire geneeskunde ZGT Hengelo (Ziekenhuisgroep Twente) Geerdinksweg 141 7555 DL Hengelo,Wat is de volledige naam van ZGT?,ZGT staat voor Ziekenhuisgroep Twente.,0.0,0.08333333333333333,"[0, 0, 0, 0]",0
9,Nucleaire geneeskunde ZGT Hengelo (Ziekenhuisgroep Twente) Geerdinksweg 141 7555 DL Hengelo,Wat is het volledige adres van ZGT Hengelo?,"ZGT Hengelo is gevestigd aan de Geerdinksweg 141, 7555 DL Hengelo.",0.08333333333333333,0.4166666666666667,"[0, 0, 0, 0, 0]",0
10,Wij hechten veel waarde aan uw mening. Daarom vragen wij u om uw opmerkingen/wensen/suggesties met ons te delen via de ZGT website zgt.nl/vertelhetons,Waar kan ik mijn opmerkingen/wensen/suggesties delen met ZGT?,U kunt uw opmerkingen/wensen/suggesties delen via de ZGT website zgt.nl/vertelhetons.,0.07142857142857142,0.38461538461538464,"[0, 0, 0, 0]",0
11,Wij hechten veel waarde aan uw mening. Daarom vragen wij u om uw opmerkingen/wensen/suggesties met ons te delen via de ZGT website zgt.nl/vertelhetons,Hoe belangrijk is uw mening voor ZGT?,ZGT hecht veel waarde aan uw mening en vraagt u daarom om uw opmerkingen/wensen/suggesties te delen.,0.0,0.11764705882352941,"[0, 0, 0, 0]",0
