,Document,Question,Answer,Question-Context N-gram Similarity,Answer-Context N-gram Similarity,Question-Context BLEU,Answer-Context BLEU,Question-Context ROUGE,Answer-Context ROUGE,Question-Context ROUGE-L F1,Answer-Context ROUGE-L F1
0,"- Reinig de huid ’s ochtends en ’s avonds met een reinigingsgel en water. 
- Exfolieer minstens 2 keer per week met een scrub en/of salicylzuur om de bovenste laag dode huidcellen dun te houden en het ontstaan van mee-eters te voorkomen. 
- Wanneer er veel ontstekingen aanwezig zijn kan het zinvol zijn om een product met benzoylperoxide te gebruiken. Dit bestrijdt de bacteriën die acne veroorzaken. 
- Wanneer er al sprake is van huidschade door de acne (rode en bruine vlekjes, littekentjes en grove huidstructuur) is het aan te raden producten te gebruiken met hoge concentraties vitamine C en vitamine A (retinol). Deze ingrediënten stimuleren de aanmaak van collageen, verstevigen en egaliseren de huid en verminderen verstopte poriën. 
- Gebruik dagelijks een zonnebrandcrème met minimaal SPF30. Zonblootstelling verdikt op lange termijn de opperhuid waardoor meer puistjes en mee-eters kunnen ontstaan. Daarnaast is zonbescherming erg belangrijk als je peelings ondergaat of producten gebruikt die je huid gevoeliger maken voor zonlicht (bijvoorbeeld salicylzuur, glycolzuur, benzoylperoxide, vitamine A/retinol). (Indicatie: acne comedonica. Resultaat na combinatie van producten thuis en dieptereiniging in praktijk)",Hoe vaak per week moet ik mijn huid exfoliëren om mee-eters te voorkomen?,Minstens 2 keer per week wordt aanbevolen om mee-eters te voorkomen. Dit kan gedaan worden met een scrub en/of salicylzuur.,0.017857142857142856,0.0625,4.54527535881173e-84,0.0001014152004346348,"[{'rouge-1': {'r': 0.04838709677419355, 'p': 0.46153846153846156, 'f': 0.0875912391581864}, 'rouge-2': {'r': 0.011560693641618497, 'p': 0.16666666666666666, 'f': 0.021621620408473406}, 'rouge-l': {'r': 0.04838709677419355, 'p': 0.46153846153846156, 'f': 0.0875912391581864}}]","[{'rouge-1': {'r': 0.12096774193548387, 'p': 0.75, 'f': 0.20833333094135806}, 'rouge-2': {'r': 0.05202312138728324, 'p': 0.47368421052631576, 'f': 0.0937499982166884}, 'rouge-l': {'r': 0.12096774193548387, 'p': 0.75, 'f': 0.20833333094135806}}]",0.0875912391581864,0.20833333094135806
1,"- Reinig de huid ’s ochtends en ’s avonds met een reinigingsgel en water. 
- Exfolieer minstens 2 keer per week met een scrub en/of salicylzuur om de bovenste laag dode huidcellen dun te houden en het ontstaan van mee-eters te voorkomen. 
- Wanneer er veel ontstekingen aanwezig zijn kan het zinvol zijn om een product met benzoylperoxide te gebruiken. Dit bestrijdt de bacteriën die acne veroorzaken. 
- Wanneer er al sprake is van huidschade door de acne (rode en bruine vlekjes, littekentjes en grove huidstructuur) is het aan te raden producten te gebruiken met hoge concentraties vitamine C en vitamine A (retinol). Deze ingrediënten stimuleren de aanmaak van collageen, verstevigen en egaliseren de huid en verminderen verstopte poriën. 
- Gebruik dagelijks een zonnebrandcrème met minimaal SPF30. Zonblootstelling verdikt op lange termijn de opperhuid waardoor meer puistjes en mee-eters kunnen ontstaan. Daarnaast is zonbescherming erg belangrijk als je peelings ondergaat of producten gebruikt die je huid gevoeliger maken voor zonlicht (bijvoorbeeld salicylzuur, glycolzuur, benzoylperoxide, vitamine A/retinol). (Indicatie: acne comedonica. Resultaat na combinatie van producten thuis en dieptereiniging in praktijk)",Welke ingrediënten in producten kunnen helpen bij het verminderen van acne?,Benzoylperoxide en hoge concentraties vitamine C en vitamine A (retinol) kunnen helpen bij het verminderen van acne.,0.0,0.05357142857142857,1.704443429314416e-238,5.007484931333919e-05,"[{'rouge-1': {'r': 0.056451612903225805, 'p': 0.6363636363636364, 'f': 0.10370370220685872}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.056451612903225805, 'p': 0.6363636363636364, 'f': 0.10370370220685872}}]","[{'rouge-1': {'r': 0.0967741935483871, 'p': 0.8, 'f': 0.17266186857823096}, 'rouge-2': {'r': 0.04046242774566474, 'p': 0.4375, 'f': 0.07407407252428548}, 'rouge-l': {'r': 0.0967741935483871, 'p': 0.8, 'f': 0.17266186857823096}}]",0.10370370220685872,0.17266186857823096
3,"- Reinig de huid ’s ochtends en ’s avonds met een reinigingsgel en water. 
- Exfolieer minstens 2 keer per week met een scrub en/of salicylzuur om de bovenste laag dode huidcellen dun te houden en het ontstaan van mee-eters te voorkomen. 
- Wanneer er veel ontstekingen aanwezig zijn kan het zinvol zijn om een product met benzoylperoxide te gebruiken. Dit bestrijdt de bacteriën die acne veroorzaken. 
- Wanneer er al sprake is van huidschade door de acne (rode en bruine vlekjes, littekentjes en grove huidstructuur) is het aan te raden producten te gebruiken met hoge concentraties vitamine C en vitamine A (retinol). Deze ingrediënten stimuleren de aanmaak van collageen, verstevigen en egaliseren de huid en verminderen verstopte poriën. 
- Gebruik dagelijks een zonnebrandcrème met minimaal SPF30. Zonblootstelling verdikt op lange termijn de opperhuid waardoor meer puistjes en mee-eters kunnen ontstaan. Daarnaast is zonbescherming erg belangrijk als je peelings ondergaat of producten gebruikt die je huid gevoeliger maken voor zonlicht (bijvoorbeeld salicylzuur, glycolzuur, benzoylperoxide, vitamine A/retinol). (Indicatie: acne comedonica. Resultaat na combinatie van producten thuis en dieptereiniging in praktijk)",Welke producten kunnen gebruikt worden om de huid te verstevigen en egaliseren na schade door acne?,Producten met hoge concentraties vitamine C en vitamine A (retinol) kunnen helpen om de huid te verstevigen en egaliseren na schade door acne.,0.026785714285714284,0.06140350877192982,6.462281435414229e-83,0.0005297523409510115,"[{'rouge-1': {'r': 0.0967741935483871, 'p': 0.75, 'f': 0.17142856940408163}, 'rouge-2': {'r': 0.023121387283236993, 'p': 0.26666666666666666, 'f': 0.042553190020937125}, 'rouge-l': {'r': 0.07258064516129033, 'p': 0.5625, 'f': 0.12857142654693882}}]","[{'rouge-1': {'r': 0.14516129032258066, 'p': 0.8571428571428571, 'f': 0.24827585959191445}, 'rouge-2': {'r': 0.06936416184971098, 'p': 0.5454545454545454, 'f': 0.12307692107508221}, 'rouge-l': {'r': 0.11290322580645161, 'p': 0.6666666666666666, 'f': 0.19310344579881095}}]",0.12857142654693882,0.19310344579881095
10,"Indien u voor dit onderzoek bepaalde medicatie moet stoppen, dan hoort u dat van uw behandelend medisch specialist. Verder is er geen speciale voorbereiding noodzakelijk. U mag dus normaal eten en drinken en uw gewone dagelijkse bezigheden uitvoeren. 
- Metalen voorwerpen kunnen het onderzoek verstoren. Daarom kan u gevraagd worden sieraden, sleutels en andere metalen voorwerpen te verwijderen of bepaalde kledingstukken uit te trekken. 
- Begeleiding is toegestaan, maar in verband met de beperkte wachtruimte vragen wij u niet meer dan één persoon mee te nemen. 
- Tijdens het onderzoek zelf kan er in principe geen begeleider bij u zijn. 
- Bent u zwanger, denkt u dit te zijn, of geeft u op dit moment borstvoeding, neem dan zo snel mogelijk contact op met de afdeling nucleaire geneeskunde.",Hoe kan ik me voorbereiden op het onderzoek?,"Indien u voor dit onderzoek bepaalde medicatie moet stoppen, dan hoort u dat van uw behandelend medisch specialist. Verder is er geen speciale voorbereiding noodzakelijk. U mag dus normaal eten en drinken en uw gewone dagelijkse bezigheden uitvoeren.",0.0,0.32786885245901637,2.766602377060711e-161,0.09246247606291999,"[{'rouge-1': {'r': 0.031914893617021274, 'p': 0.375, 'f': 0.0588235279661669}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.031914893617021274, 'p': 0.375, 'f': 0.0588235279661669}}]","[{'rouge-1': {'r': 0.3723404255319149, 'p': 1.0, 'f': 0.5426356549606394}, 'rouge-2': {'r': 0.296, 'p': 1.0, 'f': 0.456790119932175}, 'rouge-l': {'r': 0.3723404255319149, 'p': 1.0, 'f': 0.5426356549606394}}]",0.0588235279661669,0.5426356549606394
11,"Indien u voor dit onderzoek bepaalde medicatie moet stoppen, dan hoort u dat van uw behandelend medisch specialist. Verder is er geen speciale voorbereiding noodzakelijk. U mag dus normaal eten en drinken en uw gewone dagelijkse bezigheden uitvoeren. 
- Metalen voorwerpen kunnen het onderzoek verstoren. Daarom kan u gevraagd worden sieraden, sleutels en andere metalen voorwerpen te verwijderen of bepaalde kledingstukken uit te trekken. 
- Begeleiding is toegestaan, maar in verband met de beperkte wachtruimte vragen wij u niet meer dan één persoon mee te nemen. 
- Tijdens het onderzoek zelf kan er in principe geen begeleider bij u zijn. 
- Bent u zwanger, denkt u dit te zijn, of geeft u op dit moment borstvoeding, neem dan zo snel mogelijk contact op met de afdeling nucleaire geneeskunde.",Is begeleiding toegestaan tijdens het onderzoek?,"Ja, begeleiding is toegestaan, maar in verband met de beperkte wachtruimte vragen wij u niet meer dan één persoon mee te nemen.",0.03225806451612903,0.16393442622950818,3.2468401887313736e-163,0.008181992267541377,"[{'rouge-1': {'r': 0.010638297872340425, 'p': 0.16666666666666666, 'f': 0.019999998872000067}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.010638297872340425, 'p': 0.16666666666666666, 'f': 0.019999998872000067}}]","[{'rouge-1': {'r': 0.2127659574468085, 'p': 0.9090909090909091, 'f': 0.34482758313317485}, 'rouge-2': {'r': 0.152, 'p': 0.9047619047619048, 'f': 0.26027397013980114}, 'rouge-l': {'r': 0.2127659574468085, 'p': 0.9090909090909091, 'f': 0.34482758313317485}}]",0.019999998872000067,0.34482758313317485
12,"Indien u voor dit onderzoek bepaalde medicatie moet stoppen, dan hoort u dat van uw behandelend medisch specialist. Verder is er geen speciale voorbereiding noodzakelijk. U mag dus normaal eten en drinken en uw gewone dagelijkse bezigheden uitvoeren. 
- Metalen voorwerpen kunnen het onderzoek verstoren. Daarom kan u gevraagd worden sieraden, sleutels en andere metalen voorwerpen te verwijderen of bepaalde kledingstukken uit te trekken. 
- Begeleiding is toegestaan, maar in verband met de beperkte wachtruimte vragen wij u niet meer dan één persoon mee te nemen. 
- Tijdens het onderzoek zelf kan er in principe geen begeleider bij u zijn. 
- Bent u zwanger, denkt u dit te zijn, of geeft u op dit moment borstvoeding, neem dan zo snel mogelijk contact op met de afdeling nucleaire geneeskunde.",Mag ik metalen voorwerpen dragen tijdens het onderzoek?,"Metalen voorwerpen kunnen het onderzoek verstoren. Daarom kan u gevraagd worden sieraden, sleutels en andere metalen voorwerpen te verwijderen of bepaalde kledingstukken uit te trekken.",0.03125,0.19672131147540983,3.290063231183993e-161,0.01705300965579995,"[{'rouge-1': {'r': 0.031914893617021274, 'p': 0.375, 'f': 0.0588235279661669}, 'rouge-2': {'r': 0.008, 'p': 0.14285714285714285, 'f': 0.015151514147153418}, 'rouge-l': {'r': 0.031914893617021274, 'p': 0.375, 'f': 0.0588235279661669}}]","[{'rouge-1': {'r': 0.24468085106382978, 'p': 1.0, 'f': 0.39316239000365255}, 'rouge-2': {'r': 0.192, 'p': 1.0, 'f': 0.3221476483041305}, 'rouge-l': {'r': 0.24468085106382978, 'p': 1.0, 'f': 0.39316239000365255}}]",0.0588235279661669,0.39316239000365255
14,"Indien u voor dit onderzoek bepaalde medicatie moet stoppen, dan hoort u dat van uw behandelend medisch specialist. Verder is er geen speciale voorbereiding noodzakelijk. U mag dus normaal eten en drinken en uw gewone dagelijkse bezigheden uitvoeren. 
- Metalen voorwerpen kunnen het onderzoek verstoren. Daarom kan u gevraagd worden sieraden, sleutels en andere metalen voorwerpen te verwijderen of bepaalde kledingstukken uit te trekken. 
- Begeleiding is toegestaan, maar in verband met de beperkte wachtruimte vragen wij u niet meer dan één persoon mee te nemen. 
- Tijdens het onderzoek zelf kan er in principe geen begeleider bij u zijn. 
- Bent u zwanger, denkt u dit te zijn, of geeft u op dit moment borstvoeding, neem dan zo snel mogelijk contact op met de afdeling nucleaire geneeskunde.",Wat moet ik doen als ik zwanger ben of borstvoeding geef?,"Bent u zwanger, denkt u dit te zijn, of geeft u op dit moment borstvoeding, neem dan zo snel mogelijk contact op met de afdeling nucleaire geneeskunde.",0.0,0.19672131147540983,2.731310803858764e-236,0.027857719733938618,"[{'rouge-1': {'r': 0.02127659574468085, 'p': 0.2, 'f': 0.03846153672337286}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.02127659574468085, 'p': 0.2, 'f': 0.03846153672337286}}]","[{'rouge-1': {'r': 0.24468085106382978, 'p': 1.0, 'f': 0.39316239000365255}, 'rouge-2': {'r': 0.208, 'p': 1.0, 'f': 0.3443708580764002}, 'rouge-l': {'r': 0.24468085106382978, 'p': 1.0, 'f': 0.39316239000365255}}]",0.03846153672337286,0.39316239000365255
15,"Adalimumab wordt één keer per twee weken via onderhuidse injecties gegeven. In de eerste vier weken wordt Adalimumab in een hogere dosering gegeven. Dit kan verschillen per patiënt. Na deze periode is de gebruikelijke dosering 40mg per twee weken. De injectie wordt door uzelf toegediend. Het zelf spuiten kunt u goed aanleren. U ontvangt de spuitinstructies van de verpleegkundig specialist. Wilt u de injectie liever niet zelf toedienen, dan kan bijvoorbeeld een familielid getraind worden. Na verloop van tijd kan de werking van Adalimumab afnemen. Soms is dan een wekelijkse injectie nodig. Adalimumab wordt soms als enige middel gebruikt (monotherapie). U kunt het ook gebruiken in combinatie met andere middelen. De combinatie van geneesmiddelen werkt vaak beter en zorgt voor een betere werking van Adalimumab. Als u tijdens het gebruik van Adalimumab verschijnselen van een infectie heeft, zoals koorts, hoesten of diarree, overleeg dan altijd met uw medisch of verpleegkundig specialist. Vaak zal de medicatie worden onderbroken totdat de infectie weer over is. U dient Adalimumab in de koelkast te bewaren.",Hoe vaak wordt Adalimumab toegediend?,Adalimumab wordt één keer per twee weken via onderhuidse injecties gegeven.,0.0,0.0989010989010989,2.626609720792662e-168,2.8144372139985425e-07,"[{'rouge-1': {'r': 0.02727272727272727, 'p': 0.6, 'f': 0.052173912211720234}, 'rouge-2': {'r': 0.006172839506172839, 'p': 0.25, 'f': 0.012048192300769358}, 'rouge-l': {'r': 0.02727272727272727, 'p': 0.6, 'f': 0.052173912211720234}}]","[{'rouge-1': {'r': 0.1, 'p': 1.0, 'f': 0.18181818016528928}, 'rouge-2': {'r': 0.06172839506172839, 'p': 1.0, 'f': 0.11627906867225528}, 'rouge-l': {'r': 0.1, 'p': 1.0, 'f': 0.18181818016528928}}]",0.052173912211720234,0.18181818016528928
16,"Adalimumab wordt één keer per twee weken via onderhuidse injecties gegeven. In de eerste vier weken wordt Adalimumab in een hogere dosering gegeven. Dit kan verschillen per patiënt. Na deze periode is de gebruikelijke dosering 40mg per twee weken. De injectie wordt door uzelf toegediend. Het zelf spuiten kunt u goed aanleren. U ontvangt de spuitinstructies van de verpleegkundig specialist. Wilt u de injectie liever niet zelf toedienen, dan kan bijvoorbeeld een familielid getraind worden. Na verloop van tijd kan de werking van Adalimumab afnemen. Soms is dan een wekelijkse injectie nodig. Adalimumab wordt soms als enige middel gebruikt (monotherapie). U kunt het ook gebruiken in combinatie met andere middelen. De combinatie van geneesmiddelen werkt vaak beter en zorgt voor een betere werking van Adalimumab. Als u tijdens het gebruik van Adalimumab verschijnselen van een infectie heeft, zoals koorts, hoesten of diarree, overleeg dan altijd met uw medisch of verpleegkundig specialist. Vaak zal de medicatie worden onderbroken totdat de infectie weer over is. U dient Adalimumab in de koelkast te bewaren.",Wat is de gebruikelijke dosering van Adalimumab?,Na de eerste vier weken is de gebruikelijke dosering 40mg per twee weken.,0.010869565217391304,0.07608695652173914,3.723257687693776e-11,2.2324864225722964e-06,"[{'rouge-1': {'r': 0.045454545454545456, 'p': 0.7142857142857143, 'f': 0.08547008434509462}, 'rouge-2': {'r': 0.018518518518518517, 'p': 0.5, 'f': 0.03571428502551022}, 'rouge-l': {'r': 0.045454545454545456, 'p': 0.7142857142857143, 'f': 0.08547008434509462}}]","[{'rouge-1': {'r': 0.1, 'p': 1.0, 'f': 0.18181818016528928}, 'rouge-2': {'r': 0.06172839506172839, 'p': 0.8333333333333334, 'f': 0.1149425274514467}, 'rouge-l': {'r': 0.1, 'p': 1.0, 'f': 0.18181818016528928}}]",0.08547008434509462,0.18181818016528928
20,"- U mag van tevoren eten en drinken. U hoeft niet nuchter te zijn. 
- Uw medicatie kunt u gewoon innemen, tenzij de pijnspecialist andere afspraken met u heeft gemaakt. 
- Na de behandeling mag u de rest van de dag niet actief deelnemen aan het verkeer. Regel daarom van tevoren dat iemand u naar huis brengt. 
- Draag makkelijk zittende kleding.",Moet ik nuchter zijn voor de behandeling?,"Nee, u mag van tevoren gewoon eten en drinken en hoeft niet nuchter te zijn.",0.0,0.125,3.76395811745305e-158,0.021319368619745368,"[{'rouge-1': {'r': 0.06382978723404255, 'p': 0.42857142857142855, 'f': 0.11111110885459538}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.06382978723404255, 'p': 0.42857142857142855, 'f': 0.11111110885459538}}]","[{'rouge-1': {'r': 0.2765957446808511, 'p': 0.9285714285714286, 'f': 0.4262295046600377}, 'rouge-2': {'r': 0.13333333333333333, 'p': 0.5714285714285714, 'f': 0.21621621314828346}, 'rouge-l': {'r': 0.2765957446808511, 'p': 0.9285714285714286, 'f': 0.4262295046600377}}]",0.11111110885459538,0.4262295046600377
